! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may12.cable.cal/bot.20.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/12/2018 01:46:13 PM	05/12/2018 01:41:40 PM
! INTERNAL TEMP:    	49.0 C	49.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.184 368 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  12.184 368 MHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.253000E+00	  0.020000000	1.546570E+02	  0.020000000	2.057900E+01	  0.020000000	9.414000E+00
2	  0.020200402	-7.254000E+00	  0.020200402	1.544130E+02	  0.020200402	2.059900E+01	  0.020200402	9.506000E+00
3	  0.020400802	-7.254000E+00	  0.020400802	1.541710E+02	  0.020400802	2.061400E+01	  0.020400802	9.598000E+00
4	  0.020601204	-7.253000E+00	  0.020601204	1.539160E+02	  0.020601204	2.062900E+01	  0.020601204	9.694000E+00
5	  0.020801604	-7.253000E+00	  0.020801604	1.536690E+02	  0.020801604	2.064700E+01	  0.020801604	9.788000E+00
6	  0.021002004	-7.253000E+00	  0.021002004	1.534150E+02	  0.021002004	2.066500E+01	  0.021002004	9.884000E+00
7	  0.021202406	-7.254000E+00	  0.021202406	1.531780E+02	  0.021202406	2.068400E+01	  0.021202406	9.973000E+00
8	  0.021402806	-7.253000E+00	  0.021402806	1.529260E+02	  0.021402806	2.070000E+01	  0.021402806	1.007000E+01
9	  0.021603208	-7.254000E+00	  0.021603208	1.526640E+02	  0.021603208	2.072200E+01	  0.021603208	1.016800E+01
10	  0.021803608	-7.255000E+00	  0.021803608	1.524230E+02	  0.021803608	2.074300E+01	  0.021803608	1.025900E+01
11	  0.022004008	-7.257000E+00	  0.022004008	1.521660E+02	  0.022004008	2.076500E+01	  0.022004008	1.035600E+01
12	  0.022204408	-7.258000E+00	  0.022204408	1.519170E+02	  0.022204408	2.078700E+01	  0.022204408	1.045000E+01
13	  0.022404809	-7.256000E+00	  0.022404809	1.516770E+02	  0.022404809	2.080000E+01	  0.022404809	1.054200E+01
14	  0.022605211	-7.255000E+00	  0.022605211	1.514210E+02	  0.022605211	2.081700E+01	  0.022605211	1.064100E+01
15	  0.022805611	-7.256000E+00	  0.022805611	1.511750E+02	  0.022805611	2.083900E+01	  0.022805611	1.073300E+01
16	  0.023006011	-7.256000E+00	  0.023006011	1.509270E+02	  0.023006011	2.085800E+01	  0.023006011	1.082800E+01
17	  0.023206413	-7.255000E+00	  0.023206413	1.506670E+02	  0.023206413	2.087600E+01	  0.023206413	1.092700E+01
