! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/bot..194p65.1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 03:38:13 PM	05/08/2018 03:25:16 PM
! INTERNAL TEMP:    	51.5 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-21.19°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(31.419 ohm, -53.950 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.531000E+00	  0.020000000	-2.118700E+01	  0.020000000	1.319370E+02	  0.020000000	-8.738300E+01
2	  0.020200402	-4.531000E+00	  0.020200402	-2.140000E+01	  0.020200402	1.310810E+02	  0.020200402	-8.764100E+01
3	  0.020400802	-4.531000E+00	  0.020400802	-2.161900E+01	  0.020400802	1.302060E+02	  0.020400802	-8.791600E+01
4	  0.020601204	-4.532000E+00	  0.020601204	-2.184100E+01	  0.020601204	1.293120E+02	  0.020601204	-8.813900E+01
5	  0.020801604	-4.534000E+00	  0.020801604	-2.206000E+01	  0.020801604	1.284310E+02	  0.020801604	-8.833700E+01
6	  0.021002004	-4.535000E+00	  0.021002004	-2.227500E+01	  0.021002004	1.275710E+02	  0.021002004	-8.852700E+01
7	  0.021202406	-4.535000E+00	  0.021202406	-2.250000E+01	  0.021202406	1.266860E+02	  0.021202406	-8.875100E+01
8	  0.021402806	-4.537000E+00	  0.021402806	-2.271200E+01	  0.021402806	1.258450E+02	  0.021402806	-8.892500E+01
9	  0.021603208	-4.537000E+00	  0.021603208	-2.291700E+01	  0.021603208	1.250480E+02	  0.021603208	-8.911200E+01
10	  0.021803608	-4.537000E+00	  0.021803608	-2.314600E+01	  0.021803608	1.241550E+02	  0.021803608	-8.929700E+01
11	  0.022004008	-4.541000E+00	  0.022004008	-2.335400E+01	  0.022004008	1.233300E+02	  0.022004008	-8.936800E+01
12	  0.022204408	-4.542000E+00	  0.022204408	-2.357000E+01	  0.022204408	1.224990E+02	  0.022204408	-8.952500E+01
13	  0.022404809	-4.541000E+00	  0.022404809	-2.379500E+01	  0.022404809	1.216420E+02	  0.022404809	-8.972000E+01
14	  0.022605211	-4.542000E+00	  0.022605211	-2.401700E+01	  0.022605211	1.207950E+02	  0.022605211	-8.985300E+01
15	  0.022805611	-4.543000E+00	  0.022805611	-2.422300E+01	  0.022805611	1.200120E+02	  0.022805611	-8.998700E+01
16	  0.023006011	-4.548000E+00	  0.023006011	-2.444000E+01	  0.023006011	1.191730E+02	  0.023006011	-8.998600E+01
17	  0.023206413	-4.548000E+00	  0.023206413	-2.464400E+01	  0.023206413	1.184140E+02	  0.023206413	-9.012300E+01
18	  0.023406813	-4.548000E+00	  0.023406813	-2.486300E+01	  0.023406813	1.175990E+02	  0.023406813	-9.023100E+01
19	  0.023607215	-4.547000E+00	  0.023607215	-2.508500E+01	  0.023607215	1.167830E+02	  0.023607215	-9.038900E+01
20	  0.023807615	-4.546000E+00	  0.023807615	-2.530200E+01	  0.023807615	1.159860E+02	  0.023807615	-9.050800E+01
21	  0.024008015	-4.551000E+00	  0.024008015	-2.552300E+01	  0.024008015	1.151680E+02	  0.024008015	-9.050500E+01
22	  0.024208417	-4.550000E+00	  0.024208417	-2.574500E+01	  0.024208417	1.143620E+02	  0.024208417	-9.061600E+01
