! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/bot.19p46.1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 03:30:11 PM	05/08/2018 03:25:16 PM
! INTERNAL TEMP:    	52.8 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:155.94°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(30.555 ohm, 33.172 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.237000E+00	  0.020000000	1.559430E+02	  0.020000000	2.045400E+01	  0.020000000	8.935000E+00
2	  0.020200402	-7.237000E+00	  0.020200402	1.557340E+02	  0.020200402	2.046700E+01	  0.020200402	9.015000E+00
3	  0.020400802	-7.235000E+00	  0.020400802	1.554870E+02	  0.020400802	2.047700E+01	  0.020400802	9.109000E+00
4	  0.020601204	-7.236000E+00	  0.020601204	1.552490E+02	  0.020601204	2.049600E+01	  0.020601204	9.198000E+00
5	  0.020801604	-7.237000E+00	  0.020801604	1.550240E+02	  0.020801604	2.051500E+01	  0.020801604	9.282000E+00
6	  0.021002004	-7.237000E+00	  0.021002004	1.547830E+02	  0.021002004	2.052900E+01	  0.021002004	9.374000E+00
7	  0.021202406	-7.239000E+00	  0.021202406	1.545430E+02	  0.021202406	2.055100E+01	  0.021202406	9.464000E+00
8	  0.021402806	-7.236000E+00	  0.021402806	1.543160E+02	  0.021402806	2.056000E+01	  0.021402806	9.551000E+00
9	  0.021603208	-7.238000E+00	  0.021603208	1.540780E+02	  0.021603208	2.058000E+01	  0.021603208	9.640000E+00
10	  0.021803608	-7.239000E+00	  0.021803608	1.538310E+02	  0.021803608	2.060100E+01	  0.021803608	9.733000E+00
11	  0.022004008	-7.239000E+00	  0.022004008	1.536160E+02	  0.022004008	2.061500E+01	  0.022004008	9.815000E+00
12	  0.022204408	-7.240000E+00	  0.022204408	1.533670E+02	  0.022204408	2.063600E+01	  0.022204408	9.908000E+00
13	  0.022404809	-7.243000E+00	  0.022404809	1.531410E+02	  0.022404809	2.065800E+01	  0.022404809	9.993000E+00
14	  0.022605211	-7.239000E+00	  0.022605211	1.528890E+02	  0.022605211	2.066700E+01	  0.022605211	1.009000E+01
15	  0.022805611	-7.239000E+00	  0.022805611	1.526500E+02	  0.022805611	2.068500E+01	  0.022805611	1.018100E+01
16	  0.023006011	-7.240000E+00	  0.023006011	1.524190E+02	  0.023006011	2.070500E+01	  0.023006011	1.026800E+01
17	  0.023206413	-7.242000E+00	  0.023206413	1.521790E+02	  0.023206413	2.072800E+01	  0.023206413	1.035800E+01
