! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/bot.200.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 06:11:05 PM	05/08/2018 05:57:55 PM
! INTERNAL TEMP:    	49.3 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-21.16°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(31.633 ohm, -53.607 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.559000E+00	  0.020000000	-2.115600E+01	  0.020000000	1.318230E+02	  0.020000000	-8.659600E+01
2	  0.020200402	-4.558000E+00	  0.020200402	-2.138100E+01	  0.020200402	1.309350E+02	  0.020200402	-8.690900E+01
3	  0.020400802	-4.559000E+00	  0.020400802	-2.158700E+01	  0.020400802	1.301150E+02	  0.020400802	-8.714900E+01
4	  0.020601204	-4.561000E+00	  0.020601204	-2.180100E+01	  0.020601204	1.292510E+02	  0.020601204	-8.732900E+01
5	  0.020801604	-4.562000E+00	  0.020801604	-2.201000E+01	  0.020801604	1.284260E+02	  0.020801604	-8.755000E+01
6	  0.021002004	-4.561000E+00	  0.021002004	-2.224900E+01	  0.021002004	1.274910E+02	  0.021002004	-8.782200E+01
7	  0.021202406	-4.563000E+00	  0.021202406	-2.245000E+01	  0.021202406	1.266990E+02	  0.021202406	-8.799300E+01
8	  0.021402806	-4.563000E+00	  0.021402806	-2.266500E+01	  0.021402806	1.258630E+02	  0.021402806	-8.819800E+01
9	  0.021603208	-4.565000E+00	  0.021603208	-2.288300E+01	  0.021603208	1.250070E+02	  0.021603208	-8.835600E+01
10	  0.021803608	-4.565000E+00	  0.021803608	-2.310000E+01	  0.021803608	1.241680E+02	  0.021803608	-8.854200E+01
11	  0.022004008	-4.566000E+00	  0.022004008	-2.331300E+01	  0.022004008	1.233540E+02	  0.022004008	-8.872200E+01
12	  0.022204408	-4.566000E+00	  0.022204408	-2.353000E+01	  0.022204408	1.225220E+02	  0.022204408	-8.888900E+01
13	  0.022404809	-4.569000E+00	  0.022404809	-2.375600E+01	  0.022404809	1.216530E+02	  0.022404809	-8.900500E+01
14	  0.022605211	-4.567000E+00	  0.022605211	-2.396200E+01	  0.022605211	1.208830E+02	  0.022605211	-8.918400E+01
15	  0.022805611	-4.568000E+00	  0.022805611	-2.417900E+01	  0.022805611	1.200660E+02	  0.022805611	-8.933100E+01
16	  0.023006011	-4.570000E+00	  0.023006011	-2.439400E+01	  0.023006011	1.192560E+02	  0.023006011	-8.942600E+01
17	  0.023206413	-4.570000E+00	  0.023206413	-2.461700E+01	  0.023206413	1.184250E+02	  0.023206413	-8.956200E+01
18	  0.023406813	-4.570000E+00	  0.023406813	-2.482800E+01	  0.023406813	1.176470E+02	  0.023406813	-8.967800E+01
19	  0.023607215	-4.572000E+00	  0.023607215	-2.504400E+01	  0.023607215	1.168460E+02	  0.023607215	-8.974900E+01
20	  0.023807615	-4.572000E+00	  0.023807615	-2.526300E+01	  0.023807615	1.160450E+02	  0.023807615	-8.986000E+01
21	  0.024008015	-4.573000E+00	  0.024008015	-2.547700E+01	  0.024008015	1.152660E+02	  0.024008015	-8.994800E+01
22	  0.024208417	-4.575000E+00	  0.024208417	-2.571000E+01	  0.024208417	1.144200E+02	  0.024208417	-9.000400E+01
23	  0.024408817	-4.576000E+00	  0.024408817	-2.593000E+01	  0.024408817	1.136290E+02	  0.024408817	-9.007000E+01
24	  0.024609219	-4.577000E+00	  0.024609219	-2.614300E+01	  0.024609219	1.128670E+02	  0.024609219	-9.012800E+01
25	  0.024809619	-4.577000E+00	  0.024809619	-2.636200E+01	  0.024809619	1.120940E+02	  0.024809619	-9.021100E+01
26	  0.025010020	-4.578000E+00	  0.025010020	-2.658000E+01	  0.025010020	1.113240E+02	  0.025010020	-9.026600E+01
27	  0.025210422	-4.579000E+00	  0.025210422	-2.679600E+01	  0.025210422	1.105650E+02	  0.025210422	-9.030400E+01
28	  0.025410822	-4.578000E+00	  0.025410822	-2.700400E+01	  0.025410822	1.098440E+02	  0.025410822	-9.037400E+01
29	  0.025611224	-4.580000E+00	  0.025611224	-2.721900E+01	  0.025611224	1.090990E+02	  0.025611224	-9.037200E+01
30	  0.025811624	-4.580000E+00	  0.025811624	-2.743700E+01	  0.025811624	1.083520E+02	  0.025811624	-9.042300E+01
31	  0.026012026	-4.580000E+00	  0.026012026	-2.765300E+01	  0.026012026	1.076140E+02	  0.026012026	-9.045100E+01
32	  0.026212426	-4.583000E+00	  0.026212426	-2.787200E+01	  0.026212426	1.068720E+02	  0.026212426	-9.043100E+01
