! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/bot..49p99.1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 03:36:11 PM	05/08/2018 03:25:16 PM
! INTERNAL TEMP:    	51.8 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:54.89°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(52.261 ohm, 1.331 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.953900E+01	  0.020000000	5.488700E+01	  0.020000000	5.060200E+01	  0.020000000	8.730000E-01
2	  0.020200402	-3.953600E+01	  0.020200402	5.490400E+01	  0.020200402	5.060200E+01	  0.020200402	8.730000E-01
3	  0.020400802	-3.948000E+01	  0.020400802	5.480000E+01	  0.020400802	5.060800E+01	  0.020400802	8.780000E-01
4	  0.020601204	-3.945500E+01	  0.020601204	5.431200E+01	  0.020601204	5.061700E+01	  0.020601204	8.750000E-01
5	  0.020801604	-3.940700E+01	  0.020801604	5.460600E+01	  0.020801604	5.061600E+01	  0.020801604	8.830000E-01
6	  0.021002004	-3.933400E+01	  0.021002004	5.461400E+01	  0.021002004	5.062100E+01	  0.021002004	8.910000E-01
7	  0.021202406	-3.928800E+01	  0.021202406	5.446400E+01	  0.021202406	5.062600E+01	  0.021202406	8.940000E-01
8	  0.021402806	-3.921100E+01	  0.021402806	5.427800E+01	  0.021402806	5.063500E+01	  0.021402806	9.000000E-01
9	  0.021603208	-3.915300E+01	  0.021603208	5.442900E+01	  0.021603208	5.063700E+01	  0.021603208	9.080000E-01
10	  0.021803608	-3.908800E+01	  0.021803608	5.398200E+01	  0.021803608	5.064900E+01	  0.021803608	9.100000E-01
11	  0.022004008	-3.904000E+01	  0.022004008	5.383500E+01	  0.022004008	5.065500E+01	  0.022004008	9.130000E-01
12	  0.022204408	-3.899200E+01	  0.022204408	5.397600E+01	  0.022204408	5.065600E+01	  0.022204408	9.200000E-01
13	  0.022404809	-3.896800E+01	  0.022404809	5.353300E+01	  0.022404809	5.066500E+01	  0.022404809	9.170000E-01
14	  0.022605211	-3.883100E+01	  0.022605211	5.358100E+01	  0.022605211	5.067500E+01	  0.022605211	9.330000E-01
15	  0.022805611	-3.876100E+01	  0.022805611	5.332900E+01	  0.022805611	5.068400E+01	  0.022805611	9.370000E-01
16	  0.023006011	-3.874400E+01	  0.023006011	5.373600E+01	  0.023006011	5.067900E+01	  0.023006011	9.440000E-01
17	  0.023206413	-3.861500E+01	  0.023206413	5.347100E+01	  0.023206413	5.069300E+01	  0.023206413	9.550000E-01
18	  0.023406813	-3.856200E+01	  0.023406813	5.367500E+01	  0.023406813	5.069400E+01	  0.023406813	9.640000E-01
19	  0.023607215	-3.853000E+01	  0.023607215	5.292000E+01	  0.023607215	5.071000E+01	  0.023607215	9.580000E-01
20	  0.023807615	-3.847700E+01	  0.023807615	5.328100E+01	  0.023807615	5.070800E+01	  0.023807615	9.680000E-01
21	  0.024008015	-3.840400E+01	  0.024008015	5.357600E+01	  0.024008015	5.070900E+01	  0.024008015	9.800000E-01
22	  0.024208417	-3.832900E+01	  0.024208417	5.251400E+01	  0.024208417	5.073300E+01	  0.024208417	9.760000E-01
23	  0.024408817	-3.834000E+01	  0.024408817	5.300500E+01	  0.024408817	5.072400E+01	  0.024408817	9.810000E-01
24	  0.024609219	-3.824100E+01	  0.024609219	5.324200E+01	  0.024609219	5.072800E+01	  0.024609219	9.950000E-01
25	  0.024809619	-3.815900E+01	  0.024809619	5.297700E+01	  0.024809619	5.073900E+01	  0.024809619	1.001000E+00
26	  0.025010020	-3.810700E+01	  0.025010020	5.252600E+01	  0.025010020	5.075200E+01	  0.025010020	1.001000E+00
27	  0.025210422	-3.809500E+01	  0.025210422	5.275400E+01	  0.025210422	5.074900E+01	  0.025210422	1.006000E+00
28	  0.025410822	-3.793500E+01	  0.025410822	5.319800E+01	  0.025410822	5.075500E+01	  0.025410822	1.031000E+00
29	  0.025611224	-3.797200E+01	  0.025611224	5.242300E+01	  0.025611224	5.076500E+01	  0.025611224	1.016000E+00
30	  0.025811624	-3.792100E+01	  0.025811624	5.275400E+01	  0.025811624	5.076400E+01	  0.025811624	1.026000E+00
31	  0.026012026	-3.789900E+01	  0.026012026	5.273900E+01	  0.026012026	5.076600E+01	  0.026012026	1.029000E+00
32	  0.026212426	-3.775400E+01	  0.026212426	5.243500E+01	  0.026212426	5.078500E+01	  0.026212426	1.042000E+00
33	  0.026412826	-3.773900E+01	  0.026412826	5.277300E+01	  0.026412826	5.078000E+01	  0.026412826	1.049000E+00
34	  0.026613226	-3.765800E+01	  0.026613226	5.237500E+01	  0.026613226	5.079400E+01	  0.026613226	1.053000E+00
