! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/top.194p65.1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 03:53:23 PM	05/08/2018 03:47:05 PM
! INTERNAL TEMP:    	50.5 C	50.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-21.29°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(31.369 ohm, -53.697 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.549000E+00	  0.020000000	-2.128500E+01	  0.020000000	1.313890E+02	  0.020000000	-8.702000E+01
2	  0.020200402	-4.549000E+00	  0.020200402	-2.150600E+01	  0.020200402	1.305130E+02	  0.020200402	-8.730300E+01
3	  0.020400802	-4.550000E+00	  0.020400802	-2.171500E+01	  0.020400802	1.296780E+02	  0.020400802	-8.753000E+01
4	  0.020601204	-4.551000E+00	  0.020601204	-2.192800E+01	  0.020601204	1.288230E+02	  0.020601204	-8.772900E+01
5	  0.020801604	-4.550000E+00	  0.020801604	-2.214900E+01	  0.020801604	1.279630E+02	  0.020801604	-8.800500E+01
6	  0.021002004	-4.553000E+00	  0.021002004	-2.235500E+01	  0.021002004	1.271330E+02	  0.021002004	-8.813900E+01
7	  0.021202406	-4.552000E+00	  0.021202406	-2.257800E+01	  0.021202406	1.262730E+02	  0.021202406	-8.840800E+01
8	  0.021402806	-4.552000E+00	  0.021402806	-2.278900E+01	  0.021402806	1.254490E+02	  0.021402806	-8.859100E+01
9	  0.021603208	-4.554000E+00	  0.021603208	-2.301100E+01	  0.021603208	1.245790E+02	  0.021603208	-8.875100E+01
10	  0.021803608	-4.556000E+00	  0.021803608	-2.322200E+01	  0.021803608	1.237550E+02	  0.021803608	-8.889000E+01
11	  0.022004008	-4.556000E+00	  0.022004008	-2.344500E+01	  0.022004008	1.229030E+02	  0.022004008	-8.907700E+01
12	  0.022204408	-4.556000E+00	  0.022204408	-2.366800E+01	  0.022204408	1.220510E+02	  0.022204408	-8.924000E+01
13	  0.022404809	-4.557000E+00	  0.022404809	-2.388700E+01	  0.022404809	1.212150E+02	  0.022404809	-8.938400E+01
14	  0.022605211	-4.560000E+00	  0.022605211	-2.410600E+01	  0.022605211	1.203740E+02	  0.022605211	-8.946900E+01
15	  0.022805611	-4.558000E+00	  0.022805611	-2.431900E+01	  0.022805611	1.195840E+02	  0.022805611	-8.966000E+01
16	  0.023006011	-4.561000E+00	  0.023006011	-2.453700E+01	  0.023006011	1.187610E+02	  0.023006011	-8.974000E+01
17	  0.023206413	-4.561000E+00	  0.023206413	-2.475100E+01	  0.023206413	1.179640E+02	  0.023206413	-8.984900E+01
