! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/top.19p46.1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 03:49:01 PM	05/08/2018 03:47:05 PM
! INTERNAL TEMP:    	50.5 C	50.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:155.91°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(30.600 ohm, 33.258 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.232000E+00	  0.020000000	1.559110E+02	  0.020000000	2.044400E+01	  0.020000000	8.950000E+00
2	  0.020200402	-7.233000E+00	  0.020200402	1.556740E+02	  0.020200402	2.046200E+01	  0.020200402	9.039000E+00
3	  0.020400802	-7.235000E+00	  0.020400802	1.554300E+02	  0.020400802	2.048300E+01	  0.020400802	9.130000E+00
4	  0.020601204	-7.234000E+00	  0.020601204	1.551950E+02	  0.020601204	2.049500E+01	  0.020601204	9.219000E+00
5	  0.020801604	-7.236000E+00	  0.020801604	1.549570E+02	  0.020801604	2.051500E+01	  0.020801604	9.308000E+00
6	  0.021002004	-7.233000E+00	  0.021002004	1.547290E+02	  0.021002004	2.052400E+01	  0.021002004	9.396000E+00
7	  0.021202406	-7.235000E+00	  0.021202406	1.544890E+02	  0.021202406	2.054500E+01	  0.021202406	9.486000E+00
8	  0.021402806	-7.234000E+00	  0.021402806	1.542660E+02	  0.021402806	2.055700E+01	  0.021402806	9.571000E+00
9	  0.021603208	-7.235000E+00	  0.021603208	1.540140E+02	  0.021603208	2.057800E+01	  0.021603208	9.666000E+00
10	  0.021803608	-7.234000E+00	  0.021803608	1.537740E+02	  0.021803608	2.059200E+01	  0.021803608	9.757000E+00
11	  0.022004008	-7.236000E+00	  0.022004008	1.535430E+02	  0.022004008	2.061200E+01	  0.022004008	9.844000E+00
12	  0.022204408	-7.238000E+00	  0.022204408	1.533100E+02	  0.022204408	2.063400E+01	  0.022204408	9.931000E+00
13	  0.022404809	-7.237000E+00	  0.022404809	1.530770E+02	  0.022404809	2.064900E+01	  0.022404809	1.002000E+01
14	  0.022605211	-7.238000E+00	  0.022605211	1.528370E+02	  0.022605211	2.066800E+01	  0.022605211	1.011100E+01
15	  0.022805611	-7.239000E+00	  0.022805611	1.526070E+02	  0.022805611	2.068800E+01	  0.022805611	1.019800E+01
16	  0.023006011	-7.242000E+00	  0.023006011	1.523720E+02	  0.023006011	2.071300E+01	  0.023006011	1.028500E+01
17	  0.023206413	-7.241000E+00	  0.023206413	1.521300E+02	  0.023206413	2.072900E+01	  0.023206413	1.037700E+01
