! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/top.20.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 06:13:56 PM	05/08/2018 05:57:55 PM
! INTERNAL TEMP:    	49.5 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:155.69°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(30.659 ohm, 33.404 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.257000E+00	  0.020000000	1.556900E+02	  0.020000000	2.051900E+01	  0.020000000	9.023000E+00
2	  0.020200402	-7.256000E+00	  0.020200402	1.554510E+02	  0.020200402	2.053400E+01	  0.020200402	9.113000E+00
3	  0.020400802	-7.257000E+00	  0.020400802	1.552180E+02	  0.020400802	2.055100E+01	  0.020400802	9.200000E+00
4	  0.020601204	-7.256000E+00	  0.020601204	1.549820E+02	  0.020601204	2.056500E+01	  0.020601204	9.290000E+00
5	  0.020801604	-7.256000E+00	  0.020801604	1.547470E+02	  0.020801604	2.057900E+01	  0.020801604	9.379000E+00
6	  0.021002004	-7.257000E+00	  0.021002004	1.545080E+02	  0.021002004	2.059900E+01	  0.021002004	9.468000E+00
7	  0.021202406	-7.257000E+00	  0.021202406	1.542610E+02	  0.021202406	2.061500E+01	  0.021202406	9.562000E+00
8	  0.021402806	-7.258000E+00	  0.021402806	1.540280E+02	  0.021402806	2.063300E+01	  0.021402806	9.650000E+00
9	  0.021603208	-7.257000E+00	  0.021603208	1.537940E+02	  0.021603208	2.064800E+01	  0.021603208	9.739000E+00
10	  0.021803608	-7.257000E+00	  0.021803608	1.535600E+02	  0.021803608	2.066500E+01	  0.021803608	9.827000E+00
11	  0.022004008	-7.261000E+00	  0.022004008	1.533250E+02	  0.022004008	2.069000E+01	  0.022004008	9.914000E+00
12	  0.022204408	-7.257000E+00	  0.022204408	1.530770E+02	  0.022204408	2.070000E+01	  0.022204408	1.001000E+01
13	  0.022404809	-7.259000E+00	  0.022404809	1.528410E+02	  0.022404809	2.072100E+01	  0.022404809	1.009900E+01
14	  0.022605211	-7.260000E+00	  0.022605211	1.526070E+02	  0.022605211	2.074000E+01	  0.022605211	1.018800E+01
15	  0.022805611	-7.262000E+00	  0.022805611	1.523660E+02	  0.022805611	2.076400E+01	  0.022805611	1.027800E+01
16	  0.023006011	-7.262000E+00	  0.023006011	1.521220E+02	  0.023006011	2.078100E+01	  0.023006011	1.037100E+01
17	  0.023206413	-7.259000E+00	  0.023206413	1.518970E+02	  0.023206413	2.079200E+01	  0.023206413	1.045700E+01
18	  0.023406813	-7.260000E+00	  0.023406813	1.516530E+02	  0.023406813	2.081100E+01	  0.023406813	1.055000E+01
19	  0.023607215	-7.260000E+00	  0.023607215	1.514230E+02	  0.023607215	2.083000E+01	  0.023607215	1.063700E+01
20	  0.023807615	-7.262000E+00	  0.023807615	1.511750E+02	  0.023807615	2.085500E+01	  0.023807615	1.073000E+01
