! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/unused.49p99.1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 04:29:00 PM	05/08/2018 04:21:58 PM
! INTERNAL TEMP:    	50.0 C	50.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:57.56°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(52.220 ohm, 1.319 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.976200E+01	  0.020000000	5.756100E+01	  0.020000000	5.054600E+01	  0.020000000	8.760000E-01
2	  0.020200402	-3.971900E+01	  0.020200402	5.785000E+01	  0.020200402	5.054400E+01	  0.020200402	8.840000E-01
3	  0.020400802	-3.971200E+01	  0.020400802	5.809500E+01	  0.020400802	5.054100E+01	  0.020400802	8.870000E-01
4	  0.020601204	-3.961200E+01	  0.020601204	5.753300E+01	  0.020601204	5.055600E+01	  0.020601204	8.920000E-01
5	  0.020801604	-3.949100E+01	  0.020801604	5.714200E+01	  0.020801604	5.057000E+01	  0.020801604	9.000000E-01
6	  0.021002004	-3.947400E+01	  0.021002004	5.717000E+01	  0.021002004	5.057100E+01	  0.021002004	9.030000E-01
7	  0.021202406	-3.944700E+01	  0.021202406	5.745000E+01	  0.021202406	5.056800E+01	  0.021202406	9.080000E-01
8	  0.021402806	-3.935700E+01	  0.021402806	5.640900E+01	  0.021402806	5.059100E+01	  0.021402806	9.070000E-01
9	  0.021603208	-3.930000E+01	  0.021603208	5.656300E+01	  0.021603208	5.059200E+01	  0.021603208	9.150000E-01
10	  0.021803608	-3.920300E+01	  0.021803608	5.696700E+01	  0.021803608	5.059200E+01	  0.021803608	9.290000E-01
11	  0.022004008	-3.914800E+01	  0.022004008	5.697600E+01	  0.022004008	5.059600E+01	  0.022004008	9.350000E-01
12	  0.022204408	-3.911700E+01	  0.022204408	5.710100E+01	  0.022204408	5.059600E+01	  0.022204408	9.400000E-01
13	  0.022404809	-3.906800E+01	  0.022404809	5.678500E+01	  0.022404809	5.060400E+01	  0.022404809	9.420000E-01
14	  0.022605211	-3.892200E+01	  0.022605211	5.640000E+01	  0.022605211	5.062100E+01	  0.022605211	9.540000E-01
15	  0.022805611	-3.901200E+01	  0.022805611	5.637700E+01	  0.022805611	5.061500E+01	  0.022805611	9.440000E-01
16	  0.023006011	-3.890800E+01	  0.023006011	5.564800E+01	  0.023006011	5.063500E+01	  0.023006011	9.480000E-01
17	  0.023206413	-3.875500E+01	  0.023206413	5.601000E+01	  0.023206413	5.064000E+01	  0.023206413	9.690000E-01
18	  0.023406813	-3.880400E+01	  0.023406813	5.612900E+01	  0.023406813	5.063400E+01	  0.023406813	9.650000E-01
19	  0.023607215	-3.877600E+01	  0.023607215	5.570000E+01	  0.023607215	5.064300E+01	  0.023607215	9.630000E-01
20	  0.023807615	-3.864300E+01	  0.023807615	5.603200E+01	  0.023807615	5.064700E+01	  0.023807615	9.820000E-01
21	  0.024008015	-3.860400E+01	  0.024008015	5.566900E+01	  0.024008015	5.065700E+01	  0.024008015	9.820000E-01
22	  0.024208417	-3.850900E+01	  0.024208417	5.537800E+01	  0.024208417	5.066900E+01	  0.024208417	9.900000E-01
23	  0.024408817	-3.852400E+01	  0.024408817	5.567500E+01	  0.024408817	5.066300E+01	  0.024408817	9.910000E-01
24	  0.024609219	-3.846600E+01	  0.024609219	5.577300E+01	  0.024609219	5.066500E+01	  0.024609219	9.990000E-01
25	  0.024809619	-3.840500E+01	  0.024809619	5.501500E+01	  0.024809619	5.068300E+01	  0.024809619	9.980000E-01
26	  0.025010020	-3.831200E+01	  0.025010020	5.526200E+01	  0.025010020	5.068600E+01	  0.025010020	1.011000E+00
27	  0.025210422	-3.822100E+01	  0.025210422	5.493800E+01	  0.025210422	5.069900E+01	  0.025210422	1.018000E+00
28	  0.025410822	-3.827200E+01	  0.025410822	5.547100E+01	  0.025410822	5.068600E+01	  0.025410822	1.019000E+00
29	  0.025611224	-3.816800E+01	  0.025611224	5.510900E+01	  0.025611224	5.070000E+01	  0.025611224	1.027000E+00
30	  0.025811624	-3.818200E+01	  0.025811624	5.491100E+01	  0.025811624	5.070300E+01	  0.025811624	1.023000E+00
31	  0.026012026	-3.805000E+01	  0.026012026	5.431100E+01	  0.026012026	5.072400E+01	  0.026012026	1.031000E+00
32	  0.026212426	-3.801000E+01	  0.026212426	5.501500E+01	  0.026212426	5.071500E+01	  0.026212426	1.045000E+00
33	  0.026412826	-3.797900E+01	  0.026412826	5.507400E+01	  0.026412826	5.071600E+01	  0.026412826	1.049000E+00
34	  0.026613226	-3.796600E+01	  0.026613226	5.474000E+01	  0.026613226	5.072400E+01	  0.026613226	1.047000E+00
35	  0.026813626	-3.786700E+01	  0.026813626	5.426500E+01	  0.026813626	5.074100E+01	  0.026813626	1.053000E+00
36	  0.027014028	-3.783500E+01	  0.027014028	5.443700E+01	  0.027014028	5.074000E+01	  0.027014028	1.059000E+00
37	  0.027214428	-3.779200E+01	  0.027214428	5.439500E+01	  0.027214428	5.074500E+01	  0.027214428	1.064000E+00
38	  0.027414829	-3.771400E+01	  0.027414829	5.461900E+01	  0.027414829	5.074700E+01	  0.027414829	1.076000E+00
39	  0.027615231	-3.769800E+01	  0.027615231	5.398900E+01	  0.027615231	5.076000E+01	  0.027615231	1.070000E+00
40	  0.027815631	-3.763000E+01	  0.027815631	5.362200E+01	  0.027815631	5.077300E+01	  0.027815631	1.074000E+00
41	  0.028016033	-3.761100E+01	  0.028016033	5.416700E+01	  0.028016033	5.076500E+01	  0.028016033	1.083000E+00
42	  0.028216433	-3.750400E+01	  0.028216433	5.395300E+01	  0.028216433	5.077800E+01	  0.028216433	1.094000E+00
43	  0.028416833	-3.750300E+01	  0.028416833	5.353700E+01	  0.028416833	5.078600E+01	  0.028416833	1.089000E+00
44	  0.028617235	-3.747400E+01	  0.028617235	5.372100E+01	  0.028617235	5.078500E+01	  0.028617235	1.095000E+00
45	  0.028817635	-3.743000E+01	  0.028817635	5.347700E+01	  0.028817635	5.079400E+01	  0.028817635	1.097000E+00
46	  0.029018037	-3.735400E+01	  0.029018037	5.356800E+01	  0.029018037	5.079900E+01	  0.029018037	1.108000E+00
47	  0.029218437	-3.734300E+01	  0.029218437	5.339700E+01	  0.029218437	5.080400E+01	  0.029218437	1.107000E+00
48	  0.029418837	-3.729900E+01	  0.029418837	5.295000E+01	  0.029418837	5.081600E+01	  0.029418837	1.107000E+00
49	  0.029619239	-3.725100E+01	  0.029619239	5.333700E+01	  0.029619239	5.081300E+01	  0.029619239	1.118000E+00
50	  0.029819639	-3.717200E+01	  0.029819639	5.287700E+01	  0.029819639	5.083000E+01	  0.029819639	1.122000E+00
51	  0.030020041	-3.712700E+01	  0.030020041	5.290800E+01	  0.030020041	5.083300E+01	  0.030020041	1.129000E+00
52	  0.030220442	-3.709300E+01	  0.030220442	5.284700E+01	  0.030220442	5.083800E+01	  0.030220442	1.132000E+00
53	  0.030420844	-3.709300E+01	  0.030420844	5.297200E+01	  0.030420844	5.083500E+01	  0.030420844	1.134000E+00
54	  0.030621244	-3.702500E+01	  0.030621244	5.261900E+01	  0.030621244	5.084900E+01	  0.030621244	1.138000E+00
55	  0.030821644	-3.694400E+01	  0.030821644	5.245900E+01	  0.030821644	5.086000E+01	  0.030821644	1.146000E+00
56	  0.031022044	-3.694200E+01	  0.031022044	5.246300E+01	  0.031022044	5.086000E+01	  0.031022044	1.147000E+00
57	  0.031222444	-3.688500E+01	  0.031222444	5.272300E+01	  0.031222444	5.086100E+01	  0.031222444	1.158000E+00
58	  0.031422846	-3.687600E+01	  0.031422846	5.227200E+01	  0.031422846	5.087100E+01	  0.031422846	1.153000E+00
59	  0.031623244	-3.686800E+01	  0.031623244	5.208400E+01	  0.031623244	5.087500E+01	  0.031623244	1.151000E+00
60	  0.031823646	-3.678400E+01	  0.031823646	5.246300E+01	  0.031823646	5.087600E+01	  0.031823646	1.168000E+00
61	  0.032024048	-3.675700E+01	  0.032024048	5.206400E+01	  0.032024048	5.088700E+01	  0.032024048	1.166000E+00
62	  0.032224450	-3.666600E+01	  0.032224450	5.181100E+01	  0.032224450	5.090200E+01	  0.032224450	1.174000E+00
63	  0.032424849	-3.665700E+01	  0.032424849	5.154600E+01	  0.032424849	5.090800E+01	  0.032424849	1.171000E+00
64	  0.032625251	-3.661600E+01	  0.032625251	5.131900E+01	  0.032625251	5.091700E+01	  0.032625251	1.173000E+00
65	  0.032825653	-3.664000E+01	  0.032825653	5.158400E+01	  0.032825653	5.090900E+01	  0.032825653	1.174000E+00
66	  0.033026051	-3.652000E+01	  0.033026051	5.144600E+01	  0.033026051	5.092500E+01	  0.033026051	1.189000E+00
67	  0.033226453	-3.655300E+01	  0.033226453	5.120900E+01	  0.033226453	5.092600E+01	  0.033226453	1.180000E+00
68	  0.033426855	-3.646900E+01	  0.033426855	5.073100E+01	  0.033426855	5.094500E+01	  0.033426855	1.184000E+00
69	  0.033627257	-3.641900E+01	  0.033627257	5.120200E+01	  0.033627257	5.094100E+01	  0.033627257	1.199000E+00
70	  0.033827655	-3.635300E+01	  0.033827655	5.084700E+01	  0.033827655	5.095500E+01	  0.033827655	1.202000E+00
71	  0.034028057	-3.632800E+01	  0.034028057	5.092800E+01	  0.034028057	5.095600E+01	  0.034028057	1.207000E+00
72	  0.034228459	-3.634900E+01	  0.034228459	5.063400E+01	  0.034228459	5.096000E+01	  0.034228459	1.199000E+00
73	  0.034428857	-3.627000E+01	  0.034428857	5.059000E+01	  0.034428857	5.097000E+01	  0.034428857	1.210000E+00
74	  0.034629259	-3.625800E+01	  0.034629259	5.031900E+01	  0.034629259	5.097700E+01	  0.034629259	1.207000E+00
75	  0.034829661	-3.610600E+01	  0.034829661	5.046800E+01	  0.034829661	5.099100E+01	  0.034829661	1.231000E+00
76	  0.035030060	-3.619500E+01	  0.035030060	4.999800E+01	  0.035030060	5.099100E+01	  0.035030060	1.210000E+00
77	  0.035230462	-3.614200E+01	  0.035230462	4.973800E+01	  0.035230462	5.100300E+01	  0.035230462	1.213000E+00
78	  0.035430863	-3.609000E+01	  0.035430863	5.011400E+01	  0.035430863	5.100100E+01	  0.035430863	1.227000E+00
79	  0.035631265	-3.605100E+01	  0.035631265	5.012700E+01	  0.035631265	5.100500E+01	  0.035631265	1.233000E+00
80	  0.035831664	-3.601500E+01	  0.035831664	4.993900E+01	  0.035831664	5.101300E+01	  0.035831664	1.235000E+00
