! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/uu.20.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 06:01:39 PM	05/08/2018 05:57:55 PM
! INTERNAL TEMP:    	49.3 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:156.01°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(30.450 ohm, 33.043 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.237000E+00	  0.020000000	1.560110E+02	  0.020000000	2.045000E+01	  0.020000000	8.910000E+00
2	  0.020200402	-7.239000E+00	  0.020200402	1.557790E+02	  0.020200402	2.046800E+01	  0.020200402	8.997000E+00
3	  0.020400802	-7.239000E+00	  0.020400802	1.555450E+02	  0.020400802	2.048400E+01	  0.020400802	9.085000E+00
4	  0.020601204	-7.238000E+00	  0.020601204	1.553070E+02	  0.020601204	2.049900E+01	  0.020601204	9.175000E+00
5	  0.020801604	-7.239000E+00	  0.020801604	1.550760E+02	  0.020801604	2.051500E+01	  0.020801604	9.262000E+00
6	  0.021002004	-7.241000E+00	  0.021002004	1.548360E+02	  0.021002004	2.053600E+01	  0.021002004	9.352000E+00
7	  0.021202406	-7.240000E+00	  0.021202406	1.546050E+02	  0.021202406	2.055000E+01	  0.021202406	9.440000E+00
8	  0.021402806	-7.241000E+00	  0.021402806	1.543790E+02	  0.021402806	2.056800E+01	  0.021402806	9.525000E+00
9	  0.021603208	-7.242000E+00	  0.021603208	1.541450E+02	  0.021603208	2.058500E+01	  0.021603208	9.613000E+00
10	  0.021803608	-7.241000E+00	  0.021803608	1.538940E+02	  0.021803608	2.060200E+01	  0.021803608	9.708000E+00
11	  0.022004008	-7.244000E+00	  0.022004008	1.536720E+02	  0.022004008	2.062300E+01	  0.022004008	9.791000E+00
12	  0.022204408	-7.243000E+00	  0.022204408	1.534320E+02	  0.022204408	2.063900E+01	  0.022204408	9.882000E+00
13	  0.022404809	-7.243000E+00	  0.022404809	1.531980E+02	  0.022404809	2.065500E+01	  0.022404809	9.971000E+00
14	  0.022605211	-7.245000E+00	  0.022605211	1.529510E+02	  0.022605211	2.067800E+01	  0.022605211	1.006400E+01
15	  0.022805611	-7.247000E+00	  0.022805611	1.527220E+02	  0.022805611	2.070000E+01	  0.022805611	1.015000E+01
16	  0.023006011	-7.246000E+00	  0.023006011	1.524950E+02	  0.023006011	2.071500E+01	  0.023006011	1.023600E+01
17	  0.023206413	-7.247000E+00	  0.023206413	1.522570E+02	  0.023206413	2.073300E+01	  0.023206413	1.032600E+01
18	  0.023406813	-7.246000E+00	  0.023406813	1.520040E+02	  0.023406813	2.075000E+01	  0.023406813	1.042300E+01
19	  0.023607215	-7.247000E+00	  0.023607215	1.517890E+02	  0.023607215	2.076900E+01	  0.023607215	1.050400E+01
20	  0.023807615	-7.247000E+00	  0.023807615	1.515400E+02	  0.023807615	2.078800E+01	  0.023807615	1.059900E+01
21	  0.024008015	-7.248000E+00	  0.024008015	1.513060E+02	  0.024008015	2.081000E+01	  0.024008015	1.068700E+01
