! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may08.cable.cal/uu.200.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 06:04:33 PM	05/08/2018 05:57:55 PM
! INTERNAL TEMP:    	49.3 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-21.06°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(31.842 ohm, -54.235 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.555000E+00	  0.020000000	-2.105500E+01	  0.020000000	1.322630E+02	  0.020000000	-8.658300E+01
2	  0.020200402	-4.553000E+00	  0.020200402	-2.128000E+01	  0.020200402	1.313780E+02	  0.020200402	-8.691600E+01
3	  0.020400802	-4.554000E+00	  0.020400802	-2.148200E+01	  0.020400802	1.305650E+02	  0.020400802	-8.713000E+01
4	  0.020601204	-4.558000E+00	  0.020601204	-2.169400E+01	  0.020601204	1.297000E+02	  0.020601204	-8.729500E+01
5	  0.020801604	-4.557000E+00	  0.020801604	-2.190400E+01	  0.020801604	1.288760E+02	  0.020801604	-8.754800E+01
6	  0.021002004	-4.556000E+00	  0.021002004	-2.212400E+01	  0.021002004	1.280170E+02	  0.021002004	-8.782600E+01
7	  0.021202406	-4.558000E+00	  0.021202406	-2.233300E+01	  0.021202406	1.271870E+02	  0.021202406	-8.798900E+01
8	  0.021402806	-4.558000E+00	  0.021402806	-2.255700E+01	  0.021402806	1.263150E+02	  0.021402806	-8.822500E+01
9	  0.021603208	-4.559000E+00	  0.021603208	-2.276500E+01	  0.021603208	1.254990E+02	  0.021603208	-8.838900E+01
10	  0.021803608	-4.560000E+00	  0.021803608	-2.298200E+01	  0.021803608	1.246550E+02	  0.021803608	-8.857500E+01
11	  0.022004008	-4.560000E+00	  0.022004008	-2.320000E+01	  0.022004008	1.238130E+02	  0.022004008	-8.875600E+01
12	  0.022204408	-4.562000E+00	  0.022204408	-2.340700E+01	  0.022204408	1.230110E+02	  0.022204408	-8.888400E+01
13	  0.022404809	-4.563000E+00	  0.022404809	-2.363400E+01	  0.022404809	1.221430E+02	  0.022404809	-8.904900E+01
14	  0.022605211	-4.564000E+00	  0.022605211	-2.383500E+01	  0.022605211	1.213820E+02	  0.022605211	-8.918900E+01
15	  0.022805611	-4.563000E+00	  0.022805611	-2.406300E+01	  0.022805611	1.205240E+02	  0.022805611	-8.937400E+01
16	  0.023006011	-4.566000E+00	  0.023006011	-2.427900E+01	  0.023006011	1.197010E+02	  0.023006011	-8.944900E+01
17	  0.023206413	-4.565000E+00	  0.023206413	-2.450700E+01	  0.023206413	1.188550E+02	  0.023206413	-8.962100E+01
18	  0.023406813	-4.566000E+00	  0.023406813	-2.470800E+01	  0.023406813	1.181050E+02	  0.023406813	-8.971700E+01
19	  0.023607215	-4.567000E+00	  0.023607215	-2.491100E+01	  0.023607215	1.173530E+02	  0.023607215	-8.980000E+01
20	  0.023807615	-4.567000E+00	  0.023807615	-2.513600E+01	  0.023807615	1.165280E+02	  0.023807615	-8.992700E+01
21	  0.024008015	-4.567000E+00	  0.024008015	-2.534300E+01	  0.024008015	1.157700E+02	  0.024008015	-9.002100E+01
22	  0.024208417	-4.570000E+00	  0.024208417	-2.557800E+01	  0.024208417	1.149120E+02	  0.024208417	-9.006600E+01
23	  0.024408817	-4.570000E+00	  0.024408817	-2.579400E+01	  0.024408817	1.141330E+02	  0.024408817	-9.015500E+01
24	  0.024609219	-4.572000E+00	  0.024609219	-2.600400E+01	  0.024609219	1.133740E+02	  0.024609219	-9.020000E+01
25	  0.024809619	-4.571000E+00	  0.024809619	-2.622200E+01	  0.024809619	1.126020E+02	  0.024809619	-9.031300E+01
26	  0.025010020	-4.572000E+00	  0.025010020	-2.643100E+01	  0.025010020	1.118580E+02	  0.025010020	-9.035400E+01
27	  0.025210422	-4.574000E+00	  0.025210422	-2.665900E+01	  0.025210422	1.110530E+02	  0.025210422	-9.036700E+01
28	  0.025410822	-4.573000E+00	  0.025410822	-2.686100E+01	  0.025410822	1.103520E+02	  0.025410822	-9.046400E+01
