! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may12.cable.cal/top.50.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/12/2018 01:31:00 PM	05/12/2018 01:24:18 PM
! INTERNAL TEMP:    	49.3 C	49.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.184 368 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  12.184 368 MHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.910600E+01	  0.020000000	4.877200E+01	  0.020000000	5.072800E+01	  0.020000000	8.450000E-01
2	  0.020200402	-3.913500E+01	  0.020200402	4.846300E+01	  0.020200402	5.073000E+01	  0.020200402	8.390000E-01
3	  0.020400802	-3.909300E+01	  0.020400802	4.838200E+01	  0.020400802	5.073500E+01	  0.020400802	8.420000E-01
4	  0.020601204	-3.900400E+01	  0.020601204	4.878700E+01	  0.020601204	5.073700E+01	  0.020601204	8.560000E-01
5	  0.020801604	-3.890700E+01	  0.020801604	4.875200E+01	  0.020801604	5.074500E+01	  0.020801604	8.650000E-01
6	  0.021002004	-3.888900E+01	  0.021002004	4.814400E+01	  0.021002004	5.075600E+01	  0.021002004	8.590000E-01
7	  0.021202406	-3.882100E+01	  0.021202406	4.855700E+01	  0.021202406	5.075600E+01	  0.021202406	8.710000E-01
8	  0.021402806	-3.877500E+01	  0.021402806	4.818500E+01	  0.021402806	5.076600E+01	  0.021402806	8.710000E-01
9	  0.021603208	-3.868800E+01	  0.021603208	4.874500E+01	  0.021603208	5.076400E+01	  0.021603208	8.870000E-01
10	  0.021803608	-3.867100E+01	  0.021803608	4.813500E+01	  0.021803608	5.077600E+01	  0.021803608	8.810000E-01
11	  0.022004008	-3.864600E+01	  0.022004008	4.833300E+01	  0.022004008	5.077500E+01	  0.022004008	8.860000E-01
12	  0.022204408	-3.846300E+01	  0.022204408	4.809800E+01	  0.022204408	5.079500E+01	  0.022204408	9.020000E-01
13	  0.022404809	-3.852400E+01	  0.022404809	4.812100E+01	  0.022404809	5.078900E+01	  0.022404809	8.960000E-01
14	  0.022605211	-3.843000E+01	  0.022605211	4.793900E+01	  0.022605211	5.080000E+01	  0.022605211	9.030000E-01
15	  0.022805611	-3.838700E+01	  0.022805611	4.809200E+01	  0.022805611	5.080200E+01	  0.022805611	9.100000E-01
16	  0.023006011	-3.836800E+01	  0.023006011	4.754500E+01	  0.023006011	5.081300E+01	  0.023006011	9.040000E-01
17	  0.023206413	-3.832000E+01	  0.023206413	4.752500E+01	  0.023206413	5.081700E+01	  0.023206413	9.090000E-01
