! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may12.cable.cal/uu.50.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/12/2018 01:58:44 PM	05/12/2018 01:41:40 PM
! INTERNAL TEMP:    	49.0 C	49.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  12.184 368 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  12.184 368 MHz,##.##"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.924700E+01	  0.020000000	5.323200E+01	  0.020000000	5.064900E+01	  0.020000000	8.850000E-01
2	  0.020200402	-3.913400E+01	  0.020200402	5.360200E+01	  0.020200402	5.065100E+01	  0.020200402	9.000000E-01
3	  0.020400802	-3.909300E+01	  0.020400802	5.281600E+01	  0.020400802	5.066700E+01	  0.020400802	8.960000E-01
4	  0.020601204	-3.897400E+01	  0.020601204	5.298400E+01	  0.020601204	5.067300E+01	  0.020601204	9.100000E-01
5	  0.020801604	-3.891700E+01	  0.020801604	5.258400E+01	  0.020801604	5.068400E+01	  0.020801604	9.120000E-01
6	  0.021002004	-3.893900E+01	  0.021002004	5.333300E+01	  0.021002004	5.067000E+01	  0.021002004	9.180000E-01
7	  0.021202406	-3.886700E+01	  0.021202406	5.271700E+01	  0.021202406	5.068600E+01	  0.021202406	9.180000E-01
8	  0.021402806	-3.885800E+01	  0.021402806	5.272700E+01	  0.021402806	5.068700E+01	  0.021402806	9.200000E-01
9	  0.021603208	-3.874800E+01	  0.021603208	5.250700E+01	  0.021603208	5.069900E+01	  0.021603208	9.290000E-01
10	  0.021803608	-3.870400E+01	  0.021803608	5.233300E+01	  0.021803608	5.070500E+01	  0.021803608	9.320000E-01
11	  0.022004008	-3.863300E+01	  0.022004008	5.230000E+01	  0.022004008	5.071200E+01	  0.022004008	9.390000E-01
12	  0.022204408	-3.854600E+01	  0.022204408	5.206800E+01	  0.022204408	5.072300E+01	  0.022204408	9.460000E-01
13	  0.022404809	-3.858500E+01	  0.022404809	5.242200E+01	  0.022404809	5.071400E+01	  0.022404809	9.460000E-01
14	  0.022605211	-3.846000E+01	  0.022605211	5.212800E+01	  0.022605211	5.072900E+01	  0.022605211	9.560000E-01
15	  0.022805611	-3.837400E+01	  0.022805611	5.190400E+01	  0.022805611	5.074000E+01	  0.022805611	9.630000E-01
16	  0.023006011	-3.837800E+01	  0.023006011	5.183700E+01	  0.023006011	5.074100E+01	  0.023006011	9.610000E-01
17	  0.023206413	-3.825000E+01	  0.023206413	5.176100E+01	  0.023206413	5.075300E+01	  0.023206413	9.750000E-01
