! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may07/256.ew.m14.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/07/2018 02:30:19 PM	05/07/2018 02:21:54 PM
! INTERNAL TEMP:    	56.8 C	55.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.14°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.509 ohm, -2.581 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.450000E-01	  0.020000000	-1.261410E+02	  0.020000000	2.336000E+00	  0.020000000	-2.535400E+01
2	  0.020200402	-6.440000E-01	  0.020200402	-1.276150E+02	  0.020200402	2.303000E+00	  0.020200402	-2.455200E+01
3	  0.020400802	-6.450000E-01	  0.020400802	-1.290720E+02	  0.020400802	2.277000E+00	  0.020400802	-2.376900E+01
4	  0.020601204	-6.470000E-01	  0.020601204	-1.305350E+02	  0.020601204	2.255000E+00	  0.020601204	-2.299300E+01
5	  0.020801604	-6.510000E-01	  0.020801604	-1.320300E+02	  0.020801604	2.244000E+00	  0.020801604	-2.220700E+01
6	  0.021002004	-6.590000E-01	  0.021002004	-1.335370E+02	  0.021002004	2.244000E+00	  0.021002004	-2.142600E+01
7	  0.021202406	-6.640000E-01	  0.021202406	-1.350820E+02	  0.021202406	2.236000E+00	  0.021202406	-2.063300E+01
8	  0.021402806	-6.700000E-01	  0.021402806	-1.366120E+02	  0.021402806	2.234000E+00	  0.021402806	-1.985600E+01
9	  0.021603208	-6.760000E-01	  0.021603208	-1.381530E+02	  0.021603208	2.230000E+00	  0.021603208	-1.908300E+01
10	  0.021803608	-6.800000E-01	  0.021803608	-1.396770E+02	  0.021803608	2.221000E+00	  0.021803608	-1.832500E+01
11	  0.022004008	-6.870000E-01	  0.022004008	-1.412170E+02	  0.022004008	2.223000E+00	  0.022004008	-1.756800E+01
12	  0.022204408	-6.950000E-01	  0.022204408	-1.427670E+02	  0.022204408	2.227000E+00	  0.022204408	-1.681200E+01
13	  0.022404809	-6.980000E-01	  0.022404809	-1.443410E+02	  0.022404809	2.215000E+00	  0.022404809	-1.605200E+01
14	  0.022605211	-7.010000E-01	  0.022605211	-1.459380E+02	  0.022605211	2.205000E+00	  0.022605211	-1.528800E+01
15	  0.022805611	-7.080000E-01	  0.022805611	-1.475360E+02	  0.022805611	2.210000E+00	  0.022805611	-1.453000E+01
16	  0.023006011	-7.120000E-01	  0.023006011	-1.491240E+02	  0.023006011	2.206000E+00	  0.023006011	-1.378200E+01
