! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may07/256.ns.m7.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/07/2018 03:17:24 PM	05/07/2018 03:13:55 PM
! INTERNAL TEMP:    	61.0 C	60.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.91°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.980 ohm, -2.848 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.170000E-01	  0.020000000	-1.259120E+02	  0.020000000	2.239000E+00	  0.020000000	-2.548300E+01
2	  0.020200402	-6.150000E-01	  0.020200402	-1.273930E+02	  0.020200402	2.202000E+00	  0.020200402	-2.467600E+01
3	  0.020400802	-6.150000E-01	  0.020400802	-1.288540E+02	  0.020400802	2.174000E+00	  0.020400802	-2.388900E+01
4	  0.020601204	-6.190000E-01	  0.020601204	-1.303190E+02	  0.020601204	2.164000E+00	  0.020601204	-2.311000E+01
5	  0.020801604	-6.220000E-01	  0.020801604	-1.318300E+02	  0.020801604	2.146000E+00	  0.020801604	-2.231500E+01
6	  0.021002004	-6.280000E-01	  0.021002004	-1.333410E+02	  0.021002004	2.145000E+00	  0.021002004	-2.153000E+01
7	  0.021202406	-6.350000E-01	  0.021202406	-1.348680E+02	  0.021202406	2.144000E+00	  0.021202406	-2.074500E+01
8	  0.021402806	-6.420000E-01	  0.021402806	-1.364250E+02	  0.021402806	2.143000E+00	  0.021402806	-1.995400E+01
9	  0.021603208	-6.450000E-01	  0.021603208	-1.379580E+02	  0.021603208	2.132000E+00	  0.021603208	-1.918300E+01
10	  0.021803608	-6.510000E-01	  0.021803608	-1.394990E+02	  0.021803608	2.129000E+00	  0.021803608	-1.841600E+01
11	  0.022004008	-6.560000E-01	  0.022004008	-1.410220E+02	  0.022004008	2.125000E+00	  0.022004008	-1.766600E+01
12	  0.022204408	-6.630000E-01	  0.022204408	-1.425900E+02	  0.022204408	2.126000E+00	  0.022204408	-1.690100E+01
13	  0.022404809	-6.690000E-01	  0.022404809	-1.441650E+02	  0.022404809	2.125000E+00	  0.022404809	-1.613900E+01
14	  0.022605211	-6.750000E-01	  0.022605211	-1.457440E+02	  0.022605211	2.126000E+00	  0.022605211	-1.538300E+01
15	  0.022805611	-6.800000E-01	  0.022805611	-1.473490E+02	  0.022805611	2.123000E+00	  0.022805611	-1.462000E+01
16	  0.023006011	-6.820000E-01	  0.023006011	-1.489460E+02	  0.023006011	2.113000E+00	  0.023006011	-1.386800E+01
