! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may8/255.ns.m7.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/08/2018 01:03:03 PM	05/08/2018 01:00:27 PM
! INTERNAL TEMP:    	60.0 C	60.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-124.35°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.449 ohm, -3.197 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.290000E-01	  0.020000000	-1.243500E+02	  0.020000000	2.315000E+00	  0.020000000	-2.634500E+01
2	  0.020200402	-6.260000E-01	  0.020200402	-1.257870E+02	  0.020200402	2.272000E+00	  0.020200402	-2.555100E+01
3	  0.020400802	-6.240000E-01	  0.020400802	-1.272230E+02	  0.020400802	2.237000E+00	  0.020400802	-2.476700E+01
4	  0.020601204	-6.260000E-01	  0.020601204	-1.286640E+02	  0.020601204	2.216000E+00	  0.020601204	-2.399000E+01
5	  0.020801604	-6.280000E-01	  0.020801604	-1.301450E+02	  0.020801604	2.196000E+00	  0.020801604	-2.320100E+01
6	  0.021002004	-6.350000E-01	  0.021002004	-1.316290E+02	  0.021002004	2.197000E+00	  0.021002004	-2.241900E+01
7	  0.021202406	-6.400000E-01	  0.021202406	-1.331500E+02	  0.021202406	2.187000E+00	  0.021202406	-2.162700E+01
8	  0.021402806	-6.450000E-01	  0.021402806	-1.346570E+02	  0.021402806	2.179000E+00	  0.021402806	-2.085200E+01
9	  0.021603208	-6.490000E-01	  0.021603208	-1.361710E+02	  0.021603208	2.169000E+00	  0.021603208	-2.008100E+01
10	  0.021803608	-6.530000E-01	  0.021803608	-1.376900E+02	  0.021803608	2.159000E+00	  0.021803608	-1.931600E+01
11	  0.022004008	-6.590000E-01	  0.022004008	-1.392100E+02	  0.022004008	2.157000E+00	  0.022004008	-1.855900E+01
12	  0.022204408	-6.630000E-01	  0.022204408	-1.407450E+02	  0.022204408	2.151000E+00	  0.022204408	-1.780100E+01
13	  0.022404809	-6.680000E-01	  0.022404809	-1.423020E+02	  0.022404809	2.147000E+00	  0.022404809	-1.704000E+01
14	  0.022605211	-6.690000E-01	  0.022605211	-1.438760E+02	  0.022605211	2.132000E+00	  0.022605211	-1.627800E+01
15	  0.022805611	-6.710000E-01	  0.022805611	-1.454480E+02	  0.022805611	2.117000E+00	  0.022805611	-1.552400E+01
16	  0.023006011	-6.730000E-01	  0.023006011	-1.470380E+02	  0.023006011	2.105000E+00	  0.023006011	-1.476800E+01
17	  0.023206413	-6.710000E-01	  0.023206413	-1.486000E+02	  0.023206413	2.085000E+00	  0.023206413	-1.403100E+01
18	  0.023406813	-6.750000E-01	  0.023406813	-1.501690E+02	  0.023406813	2.079000E+00	  0.023406813	-1.329600E+01
19	  0.023607215	-6.770000E-01	  0.023607215	-1.517460E+02	  0.023607215	2.071000E+00	  0.023607215	-1.256300E+01
