! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/252.ew.m3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 08:11:03 AM	05/09/2018 08:04:56 AM
! INTERNAL TEMP:    	41.8 C	42.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-124.22°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.231 ohm, -3.086 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-5.920000E-01	  0.020000000	-1.242220E+02	  0.020000000	2.179000E+00	  0.020000000	-2.642100E+01
2	  0.020200402	-5.910000E-01	  0.020200402	-1.256670E+02	  0.020200402	2.149000E+00	  0.020200402	-2.562100E+01
3	  0.020400802	-5.930000E-01	  0.020400802	-1.270950E+02	  0.020400802	2.129000E+00	  0.020400802	-2.484100E+01
4	  0.020601204	-5.950000E-01	  0.020601204	-1.285530E+02	  0.020601204	2.108000E+00	  0.020601204	-2.405300E+01
5	  0.020801604	-5.970000E-01	  0.020801604	-1.300320E+02	  0.020801604	2.092000E+00	  0.020801604	-2.326400E+01
6	  0.021002004	-6.050000E-01	  0.021002004	-1.315290E+02	  0.021002004	2.093000E+00	  0.021002004	-2.247500E+01
7	  0.021202406	-6.110000E-01	  0.021202406	-1.330550E+02	  0.021202406	2.090000E+00	  0.021202406	-2.168000E+01
8	  0.021402806	-6.140000E-01	  0.021402806	-1.345760E+02	  0.021402806	2.078000E+00	  0.021402806	-2.089600E+01
9	  0.021603208	-6.180000E-01	  0.021603208	-1.360740E+02	  0.021603208	2.067000E+00	  0.021603208	-2.013300E+01
10	  0.021803608	-6.230000E-01	  0.021803608	-1.375860E+02	  0.021803608	2.063000E+00	  0.021803608	-1.937100E+01
11	  0.022004008	-6.270000E-01	  0.022004008	-1.391190E+02	  0.022004008	2.054000E+00	  0.022004008	-1.860700E+01
12	  0.022204408	-6.300000E-01	  0.022204408	-1.406560E+02	  0.022204408	2.046000E+00	  0.022204408	-1.784800E+01
13	  0.022404809	-6.350000E-01	  0.022404809	-1.422110E+02	  0.022404809	2.041000E+00	  0.022404809	-1.708700E+01
14	  0.022605211	-6.370000E-01	  0.022605211	-1.437940E+02	  0.022605211	2.029000E+00	  0.022605211	-1.632000E+01
15	  0.022805611	-6.430000E-01	  0.022805611	-1.453600E+02	  0.022805611	2.031000E+00	  0.022805611	-1.556800E+01
16	  0.023006011	-6.460000E-01	  0.023006011	-1.469330E+02	  0.023006011	2.024000E+00	  0.023006011	-1.481900E+01
17	  0.023206413	-6.470000E-01	  0.023206413	-1.485070E+02	  0.023206413	2.011000E+00	  0.023206413	-1.407600E+01
18	  0.023406813	-6.490000E-01	  0.023406813	-1.500750E+02	  0.023406813	2.002000E+00	  0.023406813	-1.334100E+01
19	  0.023607215	-6.520000E-01	  0.023607215	-1.516660E+02	  0.023607215	1.996000E+00	  0.023607215	-1.260200E+01
20	  0.023807615	-6.610000E-01	  0.023807615	-1.532470E+02	  0.023807615	2.009000E+00	  0.023807615	-1.187100E+01
21	  0.024008015	-6.710000E-01	  0.024008015	-1.548670E+02	  0.024008015	2.026000E+00	  0.024008015	-1.112800E+01
22	  0.024208417	-6.800000E-01	  0.024208417	-1.564880E+02	  0.024208417	2.041000E+00	  0.024208417	-1.038800E+01
23	  0.024408817	-6.890000E-01	  0.024408817	-1.581420E+02	  0.024408817	2.057000E+00	  0.024408817	-9.638000E+00
24	  0.024609219	-6.980000E-01	  0.024609219	-1.597690E+02	  0.024609219	2.071000E+00	  0.024609219	-8.905000E+00
25	  0.024809619	-7.070000E-01	  0.024809619	-1.614060E+02	  0.024809619	2.090000E+00	  0.024809619	-8.171000E+00
26	  0.025010020	-7.170000E-01	  0.025010020	-1.630470E+02	  0.025010020	2.110000E+00	  0.025010020	-7.438000E+00
27	  0.025210422	-7.300000E-01	  0.025210422	-1.647020E+02	  0.025210422	2.140000E+00	  0.025210422	-6.702000E+00
28	  0.025410822	-7.440000E-01	  0.025410822	-1.663860E+02	  0.025410822	2.173000E+00	  0.025410822	-5.956000E+00
29	  0.025611224	-7.580000E-01	  0.025611224	-1.680800E+02	  0.025611224	2.206000E+00	  0.025611224	-5.209000E+00
30	  0.025811624	-7.690000E-01	  0.025811624	-1.697970E+02	  0.025811624	2.230000E+00	  0.025811624	-4.454000E+00
31	  0.026012026	-7.780000E-01	  0.026012026	-1.714850E+02	  0.026012026	2.250000E+00	  0.026012026	-3.714000E+00
32	  0.026212426	-7.890000E-01	  0.026212426	-1.732000E+02	  0.026212426	2.278000E+00	  0.026212426	-2.963000E+00
33	  0.026412826	-8.020000E-01	  0.026412826	-1.749280E+02	  0.026412826	2.312000E+00	  0.026412826	-2.209000E+00
34	  0.026613226	-8.170000E-01	  0.026613226	-1.766610E+02	  0.026613226	2.352000E+00	  0.026613226	-1.453000E+00
35	  0.026813626	-8.330000E-01	  0.026813626	-1.784040E+02	  0.026813626	2.396000E+00	  0.026813626	-6.940000E-01
36	  0.027014028	-8.500000E-01	  0.027014028	1.798380E+02	  0.027014028	2.447000E+00	  0.027014028	7.000000E-02
37	  0.027214428	-8.650000E-01	  0.027214428	1.780690E+02	  0.027214428	2.489000E+00	  0.027214428	8.400000E-01
38	  0.027414829	-8.800000E-01	  0.027414829	1.762850E+02	  0.027414829	2.534000E+00	  0.027414829	1.617000E+00
39	  0.027615231	-8.970000E-01	  0.027615231	1.744970E+02	  0.027615231	2.587000E+00	  0.027615231	2.396000E+00
40	  0.027815631	-9.170000E-01	  0.027815631	1.726970E+02	  0.027815631	2.649000E+00	  0.027815631	3.181000E+00
41	  0.028016033	-9.390000E-01	  0.028016033	1.708860E+02	  0.028016033	2.717000E+00	  0.028016033	3.973000E+00
42	  0.028216433	-9.610000E-01	  0.028216433	1.690700E+02	  0.028216433	2.791000E+00	  0.028216433	4.768000E+00
43	  0.028416833	-9.800000E-01	  0.028416833	1.672460E+02	  0.028416833	2.854000E+00	  0.028416833	5.569000E+00
44	  0.028617235	-1.000000E+00	  0.028617235	1.654220E+02	  0.028617235	2.922000E+00	  0.028617235	6.373000E+00
45	  0.028817635	-1.021000E+00	  0.028817635	1.636010E+02	  0.028817635	2.996000E+00	  0.028817635	7.179000E+00
46	  0.029018037	-1.041000E+00	  0.029018037	1.618020E+02	  0.029018037	3.070000E+00	  0.029018037	7.978000E+00
47	  0.029218437	-1.063000E+00	  0.029218437	1.599760E+02	  0.029218437	3.151000E+00	  0.029218437	8.792000E+00
48	  0.029418837	-1.087000E+00	  0.029418837	1.581400E+02	  0.029418837	3.242000E+00	  0.029418837	9.616000E+00
49	  0.029619239	-1.116000E+00	  0.029619239	1.562830E+02	  0.029619239	3.350000E+00	  0.029619239	1.045300E+01
50	  0.029819639	-1.146000E+00	  0.029819639	1.544150E+02	  0.029819639	3.462000E+00	  0.029819639	1.130000E+01
51	  0.030020041	-1.176000E+00	  0.030020041	1.524950E+02	  0.030020041	3.581000E+00	  0.030020041	1.217700E+01
52	  0.030220442	-1.205000E+00	  0.030220442	1.505730E+02	  0.030220442	3.701000E+00	  0.030220442	1.306200E+01
53	  0.030420844	-1.237000E+00	  0.030420844	1.486650E+02	  0.030420844	3.833000E+00	  0.030420844	1.394700E+01
54	  0.030621244	-1.267000E+00	  0.030621244	1.467560E+02	  0.030621244	3.964000E+00	  0.030621244	1.484000E+01
55	  0.030821644	-1.304000E+00	  0.030821644	1.448360E+02	  0.030821644	4.120000E+00	  0.030821644	1.574500E+01
56	  0.031022044	-1.338000E+00	  0.031022044	1.429060E+02	  0.031022044	4.276000E+00	  0.031022044	1.666400E+01
57	  0.031222444	-1.371000E+00	  0.031222444	1.409750E+02	  0.031222444	4.430000E+00	  0.031222444	1.759400E+01
58	  0.031422846	-1.409000E+00	  0.031422846	1.389800E+02	  0.031422846	4.609000E+00	  0.031422846	1.856400E+01
59	  0.031623244	-1.445000E+00	  0.031623244	1.369820E+02	  0.031623244	4.790000E+00	  0.031623244	1.954700E+01
60	  0.031823646	-1.481000E+00	  0.031823646	1.349670E+02	  0.031823646	4.979000E+00	  0.031823646	2.055100E+01
61	  0.032024048	-1.517000E+00	  0.032024048	1.329900E+02	  0.032024048	5.173000E+00	  0.032024048	2.154900E+01
62	  0.032224450	-1.552000E+00	  0.032224450	1.309950E+02	  0.032224450	5.372000E+00	  0.032224450	2.257000E+01
63	  0.032424849	-1.591000E+00	  0.032424849	1.290240E+02	  0.032424849	5.593000E+00	  0.032424849	2.359200E+01
64	  0.032625251	-1.630000E+00	  0.032625251	1.270390E+02	  0.032625251	5.828000E+00	  0.032625251	2.463500E+01
65	  0.032825653	-1.672000E+00	  0.032825653	1.250650E+02	  0.032825653	6.080000E+00	  0.032825653	2.568800E+01
66	  0.033026051	-1.717000E+00	  0.033026051	1.230990E+02	  0.033026051	6.356000E+00	  0.033026051	2.675100E+01
