! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/252.ns.m6.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 09:06:00 AM	05/09/2018 09:02:47 AM
! INTERNAL TEMP:    	40.8 C	40.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-124.00°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.445 ohm, -3.605 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-5.840000E-01	  0.020000000	-1.239990E+02	  0.020000000	2.156000E+00	  0.020000000	-2.654700E+01
2	  0.020200402	-5.850000E-01	  0.020200402	-1.254190E+02	  0.020200402	2.133000E+00	  0.020200402	-2.575900E+01
3	  0.020400802	-5.860000E-01	  0.020400802	-1.268430E+02	  0.020400802	2.109000E+00	  0.020400802	-2.497800E+01
4	  0.020601204	-5.900000E-01	  0.020601204	-1.282830E+02	  0.020601204	2.096000E+00	  0.020601204	-2.419800E+01
5	  0.020801604	-5.960000E-01	  0.020801604	-1.297410E+02	  0.020801604	2.093000E+00	  0.020801604	-2.341900E+01
6	  0.021002004	-6.020000E-01	  0.021002004	-1.312250E+02	  0.021002004	2.088000E+00	  0.021002004	-2.263400E+01
7	  0.021202406	-6.100000E-01	  0.021202406	-1.327380E+02	  0.021202406	2.091000E+00	  0.021202406	-2.184400E+01
8	  0.021402806	-6.160000E-01	  0.021402806	-1.342140E+02	  0.021402806	2.090000E+00	  0.021402806	-2.108200E+01
9	  0.021603208	-6.190000E-01	  0.021603208	-1.357060E+02	  0.021603208	2.076000E+00	  0.021603208	-2.032000E+01
10	  0.021803608	-6.240000E-01	  0.021803608	-1.371980E+02	  0.021803608	2.071000E+00	  0.021803608	-1.956600E+01
11	  0.022004008	-6.300000E-01	  0.022004008	-1.386900E+02	  0.022004008	2.072000E+00	  0.022004008	-1.881900E+01
12	  0.022204408	-6.370000E-01	  0.022204408	-1.401990E+02	  0.022204408	2.073000E+00	  0.022204408	-1.807200E+01
13	  0.022404809	-6.420000E-01	  0.022404809	-1.417190E+02	  0.022404809	2.069000E+00	  0.022404809	-1.732600E+01
14	  0.022605211	-6.460000E-01	  0.022605211	-1.432700E+02	  0.022605211	2.063000E+00	  0.022605211	-1.657300E+01
15	  0.022805611	-6.480000E-01	  0.022805611	-1.448230E+02	  0.022805611	2.051000E+00	  0.022805611	-1.582500E+01
16	  0.023006011	-6.510000E-01	  0.023006011	-1.463490E+02	  0.023006011	2.046000E+00	  0.023006011	-1.509600E+01
17	  0.023206413	-6.530000E-01	  0.023206413	-1.478740E+02	  0.023206413	2.034000E+00	  0.023206413	-1.437400E+01
18	  0.023406813	-6.550000E-01	  0.023406813	-1.494040E+02	  0.023406813	2.025000E+00	  0.023406813	-1.365500E+01
19	  0.023607215	-6.610000E-01	  0.023607215	-1.509480E+02	  0.023607215	2.031000E+00	  0.023607215	-1.293400E+01
20	  0.023807615	-6.680000E-01	  0.023807615	-1.525000E+02	  0.023807615	2.039000E+00	  0.023807615	-1.221500E+01
21	  0.024008015	-6.770000E-01	  0.024008015	-1.540760E+02	  0.024008015	2.051000E+00	  0.024008015	-1.148900E+01
22	  0.024208417	-6.870000E-01	  0.024208417	-1.556670E+02	  0.024208417	2.069000E+00	  0.024208417	-1.076100E+01
23	  0.024408817	-6.930000E-01	  0.024408817	-1.572610E+02	  0.024408817	2.076000E+00	  0.024408817	-1.003700E+01
24	  0.024609219	-7.020000E-01	  0.024609219	-1.588620E+02	  0.024609219	2.092000E+00	  0.024609219	-9.313000E+00
25	  0.024809619	-7.100000E-01	  0.024809619	-1.604580E+02	  0.024809619	2.104000E+00	  0.024809619	-8.595000E+00
26	  0.025010020	-7.200000E-01	  0.025010020	-1.620690E+02	  0.025010020	2.124000E+00	  0.025010020	-7.874000E+00
27	  0.025210422	-7.300000E-01	  0.025210422	-1.636860E+02	  0.025210422	2.145000E+00	  0.025210422	-7.153000E+00
28	  0.025410822	-7.440000E-01	  0.025410822	-1.653350E+02	  0.025410822	2.177000E+00	  0.025410822	-6.421000E+00
29	  0.025611224	-7.570000E-01	  0.025611224	-1.670000E+02	  0.025611224	2.207000E+00	  0.025611224	-5.685000E+00
30	  0.025811624	-7.680000E-01	  0.025811624	-1.686770E+02	  0.025811624	2.232000E+00	  0.025811624	-4.946000E+00
31	  0.026012026	-7.760000E-01	  0.026012026	-1.703640E+02	  0.026012026	2.249000E+00	  0.026012026	-4.205000E+00
32	  0.026212426	-7.870000E-01	  0.026212426	-1.720540E+02	  0.026212426	2.275000E+00	  0.026212426	-3.465000E+00
33	  0.026412826	-7.990000E-01	  0.026412826	-1.737540E+02	  0.026412826	2.305000E+00	  0.026412826	-2.722000E+00
34	  0.026613226	-8.120000E-01	  0.026613226	-1.754610E+02	  0.026613226	2.340000E+00	  0.026613226	-1.976000E+00
35	  0.026813626	-8.280000E-01	  0.026813626	-1.771880E+02	  0.026813626	2.384000E+00	  0.026813626	-1.224000E+00
36	  0.027014028	-8.420000E-01	  0.027014028	-1.789170E+02	  0.027014028	2.422000E+00	  0.027014028	-4.710000E-01
37	  0.027214428	-8.580000E-01	  0.027214428	1.793380E+02	  0.027214428	2.468000E+00	  0.027214428	2.870000E-01
38	  0.027414829	-8.720000E-01	  0.027414829	1.775770E+02	  0.027414829	2.511000E+00	  0.027414829	1.054000E+00
39	  0.027615231	-8.890000E-01	  0.027615231	1.758060E+02	  0.027615231	2.561000E+00	  0.027615231	1.825000E+00
40	  0.027815631	-9.090000E-01	  0.027815631	1.740330E+02	  0.027815631	2.622000E+00	  0.027815631	2.598000E+00
