! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/254.ew.m7.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 11:58:14 AM	05/09/2018 11:52:33 AM
! INTERNAL TEMP:    	54.0 C	53.5 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.63°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.110 ohm, -1.048 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.340000E-01	  0.020000000	-1.266250E+02	  0.020000000	2.287000E+00	  0.020000000	-2.509100E+01
2	  0.020200402	-6.350000E-01	  0.020200402	-1.280980E+02	  0.020200402	2.260000E+00	  0.020200402	-2.429300E+01
3	  0.020400802	-6.380000E-01	  0.020400802	-1.295650E+02	  0.020400802	2.244000E+00	  0.020400802	-2.350800E+01
4	  0.020601204	-6.410000E-01	  0.020601204	-1.310720E+02	  0.020601204	2.227000E+00	  0.020601204	-2.271000E+01
5	  0.020801604	-6.440000E-01	  0.020801604	-1.325950E+02	  0.020801604	2.210000E+00	  0.020801604	-2.191400E+01
6	  0.021002004	-6.450000E-01	  0.021002004	-1.341430E+02	  0.021002004	2.188000E+00	  0.021002004	-2.111500E+01
7	  0.021202406	-6.470000E-01	  0.021202406	-1.356850E+02	  0.021202406	2.171000E+00	  0.021202406	-2.032800E+01
8	  0.021402806	-6.520000E-01	  0.021402806	-1.372250E+02	  0.021402806	2.165000E+00	  0.021402806	-1.955000E+01
9	  0.021603208	-6.520000E-01	  0.021603208	-1.387460E+02	  0.021603208	2.141000E+00	  0.021603208	-1.879000E+01
10	  0.021803608	-6.560000E-01	  0.021803608	-1.402930E+02	  0.021803608	2.133000E+00	  0.021803608	-1.802400E+01
11	  0.022004008	-6.610000E-01	  0.022004008	-1.418350E+02	  0.022004008	2.130000E+00	  0.022004008	-1.726800E+01
12	  0.022204408	-6.650000E-01	  0.022204408	-1.434070E+02	  0.022204408	2.123000E+00	  0.022204408	-1.650500E+01
13	  0.022404809	-6.710000E-01	  0.022404809	-1.449760E+02	  0.022404809	2.124000E+00	  0.022404809	-1.575000E+01
14	  0.022605211	-6.770000E-01	  0.022605211	-1.465710E+02	  0.022605211	2.123000E+00	  0.022605211	-1.498900E+01
15	  0.022805611	-6.770000E-01	  0.022805611	-1.481650E+02	  0.022805611	2.108000E+00	  0.022805611	-1.423500E+01
16	  0.023006011	-6.810000E-01	  0.023006011	-1.497530E+02	  0.023006011	2.103000E+00	  0.023006011	-1.349000E+01
17	  0.023206413	-6.860000E-01	  0.023206413	-1.513390E+02	  0.023206413	2.103000E+00	  0.023206413	-1.275100E+01
18	  0.023406813	-6.900000E-01	  0.023406813	-1.529260E+02	  0.023406813	2.101000E+00	  0.023406813	-1.201700E+01
19	  0.023607215	-6.980000E-01	  0.023607215	-1.545080E+02	  0.023607215	2.112000E+00	  0.023607215	-1.129000E+01
20	  0.023807615	-7.080000E-01	  0.023807615	-1.561080E+02	  0.023807615	2.128000E+00	  0.023807615	-1.055900E+01
21	  0.024008015	-7.130000E-01	  0.024008015	-1.577440E+02	  0.024008015	2.131000E+00	  0.024008015	-9.817000E+00
22	  0.024208417	-7.210000E-01	  0.024208417	-1.593960E+02	  0.024208417	2.142000E+00	  0.024208417	-9.072000E+00
23	  0.024408817	-7.250000E-01	  0.024408817	-1.610500E+02	  0.024408817	2.144000E+00	  0.024408817	-8.329000E+00
24	  0.024609219	-7.320000E-01	  0.024609219	-1.626940E+02	  0.024609219	2.156000E+00	  0.024609219	-7.595000E+00
25	  0.024809619	-7.410000E-01	  0.024809619	-1.643520E+02	  0.024809619	2.172000E+00	  0.024809619	-6.857000E+00
26	  0.025010020	-7.490000E-01	  0.025010020	-1.660220E+02	  0.025010020	2.188000E+00	  0.025010020	-6.117000E+00
27	  0.025210422	-7.590000E-01	  0.025210422	-1.676950E+02	  0.025210422	2.211000E+00	  0.025210422	-5.379000E+00
28	  0.025410822	-7.700000E-01	  0.025410822	-1.693840E+02	  0.025410822	2.234000E+00	  0.025410822	-4.635000E+00
29	  0.025611224	-7.810000E-01	  0.025611224	-1.710900E+02	  0.025611224	2.261000E+00	  0.025611224	-3.887000E+00
30	  0.025811624	-7.920000E-01	  0.025811624	-1.728020E+02	  0.025811624	2.287000E+00	  0.025811624	-3.138000E+00
31	  0.026012026	-8.010000E-01	  0.026012026	-1.745320E+02	  0.026012026	2.311000E+00	  0.026012026	-2.382000E+00
32	  0.026212426	-8.140000E-01	  0.026212426	-1.762690E+02	  0.026212426	2.343000E+00	  0.026212426	-1.624000E+00
33	  0.026412826	-8.280000E-01	  0.026412826	-1.780230E+02	  0.026412826	2.382000E+00	  0.026412826	-8.600000E-01
34	  0.026613226	-8.410000E-01	  0.026613226	-1.797790E+02	  0.026613226	2.420000E+00	  0.026613226	-9.600000E-02
35	  0.026813626	-8.560000E-01	  0.026813626	1.784490E+02	  0.026813626	2.464000E+00	  0.026813626	6.740000E-01
36	  0.027014028	-8.700000E-01	  0.027014028	1.766740E+02	  0.027014028	2.505000E+00	  0.027014028	1.447000E+00
37	  0.027214428	-8.880000E-01	  0.027214428	1.748950E+02	  0.027214428	2.558000E+00	  0.027214428	2.222000E+00
38	  0.027414829	-9.020000E-01	  0.027414829	1.731090E+02	  0.027414829	2.605000E+00	  0.027414829	3.002000E+00
39	  0.027615231	-9.190000E-01	  0.027615231	1.713000E+02	  0.027615231	2.658000E+00	  0.027615231	3.792000E+00
40	  0.027815631	-9.350000E-01	  0.027815631	1.694830E+02	  0.027815631	2.713000E+00	  0.027815631	4.588000E+00
41	  0.028016033	-9.530000E-01	  0.028016033	1.676570E+02	  0.028016033	2.775000E+00	  0.028016033	5.389000E+00
42	  0.028216433	-9.720000E-01	  0.028216433	1.658160E+02	  0.028216433	2.839000E+00	  0.028216433	6.200000E+00
43	  0.028416833	-9.910000E-01	  0.028416833	1.639750E+02	  0.028416833	2.906000E+00	  0.028416833	7.014000E+00
44	  0.028617235	-1.011000E+00	  0.028617235	1.621300E+02	  0.028617235	2.978000E+00	  0.028617235	7.833000E+00
45	  0.028817635	-1.029000E+00	  0.028817635	1.602880E+02	  0.028817635	3.049000E+00	  0.028817635	8.655000E+00
46	  0.029018037	-1.051000E+00	  0.029018037	1.584430E+02	  0.029018037	3.133000E+00	  0.029018037	9.482000E+00
47	  0.029218437	-1.074000E+00	  0.029218437	1.565790E+02	  0.029218437	3.221000E+00	  0.029218437	1.032200E+01
48	  0.029418837	-1.099000E+00	  0.029418837	1.546870E+02	  0.029418837	3.319000E+00	  0.029418837	1.118000E+01
49	  0.029619239	-1.121000E+00	  0.029619239	1.528160E+02	  0.029619239	3.410000E+00	  0.029619239	1.203500E+01
50	  0.029819639	-1.145000E+00	  0.029819639	1.509230E+02	  0.029819639	3.512000E+00	  0.029819639	1.290600E+01
51	  0.030020041	-1.171000E+00	  0.030020041	1.490170E+02	  0.030020041	3.624000E+00	  0.030020041	1.379000E+01
52	  0.030220442	-1.197000E+00	  0.030220442	1.471250E+02	  0.030220442	3.737000E+00	  0.030220442	1.467500E+01
53	  0.030420844	-1.223000E+00	  0.030420844	1.452270E+02	  0.030420844	3.858000E+00	  0.030420844	1.557100E+01
54	  0.030621244	-1.250000E+00	  0.030621244	1.433300E+02	  0.030621244	3.985000E+00	  0.030621244	1.647400E+01
55	  0.030821642	-1.281000E+00	  0.030821642	1.414160E+02	  0.030821642	4.128000E+00	  0.030821642	1.739500E+01
56	  0.031022044	-1.311000E+00	  0.031022044	1.394910E+02	  0.031022044	4.277000E+00	  0.031022044	1.833100E+01
57	  0.031222444	-1.335000E+00	  0.031222444	1.375640E+02	  0.031222444	4.409000E+00	  0.031222444	1.928000E+01
58	  0.031422846	-1.367000E+00	  0.031422846	1.355990E+02	  0.031422846	4.578000E+00	  0.031422846	2.025700E+01
59	  0.031623244	-1.402000E+00	  0.031623244	1.336270E+02	  0.031623244	4.760000E+00	  0.031623244	2.125100E+01
60	  0.031823646	-1.434000E+00	  0.031823646	1.316570E+02	  0.031823646	4.940000E+00	  0.031823646	2.225700E+01
61	  0.032024048	-1.469000E+00	  0.032024048	1.296750E+02	  0.032024048	5.144000E+00	  0.032024048	2.328400E+01
62	  0.032224450	-1.504000E+00	  0.032224450	1.277010E+02	  0.032224450	5.352000E+00	  0.032224450	2.432100E+01
63	  0.032424849	-1.541000E+00	  0.032424849	1.257120E+02	  0.032424849	5.577000E+00	  0.032424849	2.538100E+01
64	  0.032625251	-1.578000E+00	  0.032625251	1.236950E+02	  0.032625251	5.813000E+00	  0.032625251	2.647400E+01
65	  0.032825653	-1.614000E+00	  0.032825653	1.216600E+02	  0.032825653	6.059000E+00	  0.032825653	2.759600E+01
66	  0.033026051	-1.650000E+00	  0.033026051	1.196160E+02	  0.033026051	6.319000E+00	  0.033026051	2.874300E+01
67	  0.033226453	-1.688000E+00	  0.033226453	1.175810E+02	  0.033226453	6.601000E+00	  0.033226453	2.990400E+01
68	  0.033426855	-1.726000E+00	  0.033426855	1.155570E+02	  0.033426855	6.894000E+00	  0.033426855	3.108100E+01
69	  0.033627257	-1.764000E+00	  0.033627257	1.135070E+02	  0.033627257	7.205000E+00	  0.033627257	3.229800E+01
70	  0.033827655	-1.805000E+00	  0.033827655	1.114690E+02	  0.033827655	7.543000E+00	  0.033827655	3.353100E+01
71	  0.034028057	-1.843000E+00	  0.034028057	1.094060E+02	  0.034028057	7.893000E+00	  0.034028057	3.480600E+01
72	  0.034228459	-1.885000E+00	  0.034228459	1.073430E+02	  0.034228459	8.276000E+00	  0.034228459	3.610800E+01
73	  0.034428857	-1.927000E+00	  0.034428857	1.052630E+02	  0.034428857	8.687000E+00	  0.034428857	3.745000E+01
74	  0.034629259	-1.970000E+00	  0.034629259	1.031870E+02	  0.034629259	9.122000E+00	  0.034629259	3.882100E+01
75	  0.034829661	-2.013000E+00	  0.034829661	1.011060E+02	  0.034829661	9.590000E+00	  0.034829661	4.022700E+01
76	  0.035030060	-2.059000E+00	  0.035030060	9.903600E+01	  0.035030060	1.009400E+01	  0.035030060	4.165900E+01
77	  0.035230462	-2.103000E+00	  0.035230462	9.695300E+01	  0.035230462	1.062900E+01	  0.035230462	4.313800E+01
78	  0.035430863	-2.149000E+00	  0.035430863	9.487500E+01	  0.035430863	1.120500E+01	  0.035430863	4.464900E+01
79	  0.035631265	-2.197000E+00	  0.035631265	9.278500E+01	  0.035631265	1.182700E+01	  0.035631265	4.620900E+01
80	  0.035831664	-2.247000E+00	  0.035831664	9.072000E+01	  0.035831664	1.250300E+01	  0.035831664	4.778600E+01
81	  0.036032066	-2.293000E+00	  0.036032066	8.862800E+01	  0.036032066	1.320800E+01	  0.036032066	4.943600E+01
82	  0.036232468	-2.343000E+00	  0.036232468	8.653200E+01	  0.036232468	1.398900E+01	  0.036232468	5.112800E+01
83	  0.036432866	-2.392000E+00	  0.036432866	8.444100E+01	  0.036432866	1.481700E+01	  0.036432866	5.286600E+01
84	  0.036633268	-2.444000E+00	  0.036633268	8.236600E+01	  0.036633268	1.572000E+01	  0.036633268	5.463600E+01
85	  0.036833670	-2.495000E+00	  0.036833670	8.028400E+01	  0.036833670	1.668700E+01	  0.036833670	5.646400E+01
86	  0.037034072	-2.548000E+00	  0.037034072	7.819500E+01	  0.037034072	1.774200E+01	  0.037034072	5.834900E+01
