! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/254.ns.m11.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 01:06:25 PM	05/09/2018 12:54:36 PM
! INTERNAL TEMP:    	58.8 C	58.3 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.68°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.529 ohm, -1.557 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.310000E-01	  0.020000000	-1.266770E+02	  0.020000000	2.275000E+00	  0.020000000	-2.506300E+01
2	  0.020200402	-6.360000E-01	  0.020200402	-1.281470E+02	  0.020200402	2.262000E+00	  0.020200402	-2.426600E+01
3	  0.020400802	-6.400000E-01	  0.020400802	-1.296480E+02	  0.020400802	2.250000E+00	  0.020400802	-2.346300E+01
4	  0.020601204	-6.450000E-01	  0.020601204	-1.311580E+02	  0.020601204	2.238000E+00	  0.020601204	-2.266400E+01
5	  0.020801604	-6.480000E-01	  0.020801604	-1.327050E+02	  0.020801604	2.223000E+00	  0.020801604	-2.185700E+01
6	  0.021002004	-6.510000E-01	  0.021002004	-1.342560E+02	  0.021002004	2.206000E+00	  0.021002004	-2.105600E+01
7	  0.021202406	-6.540000E-01	  0.021202406	-1.358120E+02	  0.021202406	2.194000E+00	  0.021202406	-2.026200E+01
8	  0.021402806	-6.580000E-01	  0.021402806	-1.373700E+02	  0.021402806	2.182000E+00	  0.021402806	-1.947600E+01
9	  0.021603208	-6.630000E-01	  0.021603208	-1.389150E+02	  0.021603208	2.174000E+00	  0.021603208	-1.870500E+01
10	  0.021803608	-6.660000E-01	  0.021803608	-1.404840E+02	  0.021803608	2.163000E+00	  0.021803608	-1.792900E+01
11	  0.022004008	-6.710000E-01	  0.022004008	-1.420390E+02	  0.022004008	2.159000E+00	  0.022004008	-1.716800E+01
12	  0.022204408	-6.780000E-01	  0.022204408	-1.436160E+02	  0.022204408	2.163000E+00	  0.022204408	-1.640300E+01
13	  0.022404809	-6.870000E-01	  0.022404809	-1.452030E+02	  0.022404809	2.171000E+00	  0.022404809	-1.564000E+01
14	  0.022605211	-6.900000E-01	  0.022605211	-1.468180E+02	  0.022605211	2.162000E+00	  0.022605211	-1.487100E+01
15	  0.022805611	-6.920000E-01	  0.022805611	-1.484330E+02	  0.022805611	2.149000E+00	  0.022805611	-1.410800E+01
16	  0.023006011	-6.960000E-01	  0.023006011	-1.500440E+02	  0.023006011	2.147000E+00	  0.023006011	-1.335300E+01
17	  0.023206413	-7.030000E-01	  0.023206413	-1.516400E+02	  0.023206413	2.151000E+00	  0.023206413	-1.261000E+01
18	  0.023406813	-7.090000E-01	  0.023406813	-1.532340E+02	  0.023406813	2.157000E+00	  0.023406813	-1.187400E+01
19	  0.023607215	-7.190000E-01	  0.023607215	-1.548360E+02	  0.023607215	2.171000E+00	  0.023607215	-1.113900E+01
20	  0.023807615	-7.260000E-01	  0.023807615	-1.564570E+02	  0.023807615	2.181000E+00	  0.023807615	-1.040000E+01
21	  0.024008015	-7.340000E-01	  0.024008015	-1.580990E+02	  0.024008015	2.190000E+00	  0.024008015	-9.655000E+00
22	  0.024208417	-7.420000E-01	  0.024208417	-1.597420E+02	  0.024208417	2.203000E+00	  0.024208417	-8.915000E+00
23	  0.024408817	-7.490000E-01	  0.024408817	-1.614060E+02	  0.024408817	2.212000E+00	  0.024408817	-8.169000E+00
24	  0.024609219	-7.550000E-01	  0.024609219	-1.630650E+02	  0.024609219	2.221000E+00	  0.024609219	-7.429000E+00
25	  0.024809619	-7.640000E-01	  0.024809619	-1.647310E+02	  0.024809619	2.238000E+00	  0.024809619	-6.688000E+00
26	  0.025010020	-7.740000E-01	  0.025010020	-1.663970E+02	  0.025010020	2.258000E+00	  0.025010020	-5.951000E+00
27	  0.025210422	-7.840000E-01	  0.025210422	-1.680850E+02	  0.025210422	2.282000E+00	  0.025210422	-5.206000E+00
28	  0.025410822	-7.930000E-01	  0.025410822	-1.697890E+02	  0.025410822	2.300000E+00	  0.025410822	-4.457000E+00
29	  0.025611224	-8.040000E-01	  0.025611224	-1.715050E+02	  0.025611224	2.326000E+00	  0.025611224	-3.705000E+00
30	  0.025811624	-8.160000E-01	  0.025811624	-1.732220E+02	  0.025811624	2.357000E+00	  0.025811624	-2.954000E+00
31	  0.026012026	-8.270000E-01	  0.026012026	-1.749700E+02	  0.026012026	2.384000E+00	  0.026012026	-2.190000E+00
32	  0.026212426	-8.380000E-01	  0.026212426	-1.767190E+02	  0.026212426	2.412000E+00	  0.026212426	-1.428000E+00
33	  0.026412826	-8.510000E-01	  0.026412826	-1.784880E+02	  0.026412826	2.450000E+00	  0.026412826	-6.570000E-01
34	  0.026613226	-8.660000E-01	  0.026613226	1.797360E+02	  0.026613226	2.492000E+00	  0.026613226	1.140000E-01
35	  0.026813626	-8.810000E-01	  0.026813626	1.779460E+02	  0.026813626	2.535000E+00	  0.026813626	8.930000E-01
36	  0.027014028	-8.970000E-01	  0.027014028	1.761560E+02	  0.027014028	2.583000E+00	  0.027014028	1.673000E+00
37	  0.027214428	-9.120000E-01	  0.027214428	1.743520E+02	  0.027214428	2.630000E+00	  0.027214428	2.459000E+00
38	  0.027414829	-9.280000E-01	  0.027414829	1.725440E+02	  0.027414829	2.680000E+00	  0.027414829	3.248000E+00
39	  0.027615231	-9.460000E-01	  0.027615231	1.707200E+02	  0.027615231	2.738000E+00	  0.027615231	4.045000E+00
40	  0.027815631	-9.640000E-01	  0.027815631	1.688800E+02	  0.027815631	2.798000E+00	  0.027815631	4.851000E+00
41	  0.028016033	-9.810000E-01	  0.028016033	1.670370E+02	  0.028016033	2.857000E+00	  0.028016033	5.662000E+00
42	  0.028216433	-1.000000E+00	  0.028216433	1.651710E+02	  0.028216433	2.924000E+00	  0.028216433	6.484000E+00
43	  0.028416833	-1.019000E+00	  0.028416833	1.633100E+02	  0.028416833	2.994000E+00	  0.028416833	7.308000E+00
44	  0.028617235	-1.040000E+00	  0.028617235	1.614410E+02	  0.028617235	3.070000E+00	  0.028617235	8.139000E+00
45	  0.028817635	-1.060000E+00	  0.028817635	1.595770E+02	  0.028817635	3.147000E+00	  0.028817635	8.972000E+00
46	  0.029018037	-1.083000E+00	  0.029018037	1.577020E+02	  0.029018037	3.233000E+00	  0.029018037	9.814000E+00
47	  0.029218437	-1.106000E+00	  0.029218437	1.558290E+02	  0.029218437	3.324000E+00	  0.029218437	1.066000E+01
48	  0.029418837	-1.131000E+00	  0.029418837	1.539250E+02	  0.029418837	3.426000E+00	  0.029418837	1.152500E+01
49	  0.029619239	-1.155000E+00	  0.029619239	1.520160E+02	  0.029619239	3.525000E+00	  0.029619239	1.240000E+01
50	  0.029819639	-1.181000E+00	  0.029819639	1.501070E+02	  0.029819639	3.634000E+00	  0.029819639	1.328100E+01
51	  0.030020041	-1.208000E+00	  0.030020041	1.481910E+02	  0.030020041	3.752000E+00	  0.030020041	1.417200E+01
52	  0.030220442	-1.233000E+00	  0.030220442	1.462640E+02	  0.030220442	3.869000E+00	  0.030220442	1.507700E+01
53	  0.030420844	-1.260000E+00	  0.030420844	1.443600E+02	  0.030420844	3.992000E+00	  0.030420844	1.597900E+01
54	  0.030621244	-1.288000E+00	  0.030621244	1.424490E+02	  0.030621244	4.126000E+00	  0.030621244	1.689300E+01
55	  0.030821642	-1.320000E+00	  0.030821642	1.405270E+02	  0.030821642	4.278000E+00	  0.030821642	1.782200E+01
56	  0.031022044	-1.351000E+00	  0.031022044	1.385910E+02	  0.031022044	4.431000E+00	  0.031022044	1.876700E+01
57	  0.031222444	-1.374000E+00	  0.031222444	1.366600E+02	  0.031222444	4.568000E+00	  0.031222444	1.972300E+01
58	  0.031422846	-1.408000E+00	  0.031422846	1.346680E+02	  0.031422846	4.745000E+00	  0.031422846	2.071900E+01
59	  0.031623244	-1.441000E+00	  0.031623244	1.326850E+02	  0.031623244	4.927000E+00	  0.031623244	2.172500E+01
60	  0.031823646	-1.473000E+00	  0.031823646	1.306990E+02	  0.031823646	5.114000E+00	  0.031823646	2.274500E+01
61	  0.032024048	-1.509000E+00	  0.032024048	1.287070E+02	  0.032024048	5.322000E+00	  0.032024048	2.378400E+01
62	  0.032224450	-1.546000E+00	  0.032224450	1.267280E+02	  0.032224450	5.545000E+00	  0.032224450	2.483000E+01
63	  0.032424849	-1.581000E+00	  0.032424849	1.247180E+02	  0.032424849	5.772000E+00	  0.032424849	2.591000E+01
64	  0.032625251	-1.616000E+00	  0.032625251	1.226910E+02	  0.032625251	6.009000E+00	  0.032625251	2.701700E+01
65	  0.032825653	-1.654000E+00	  0.032825653	1.206570E+02	  0.032825653	6.272000E+00	  0.032825653	2.814700E+01
66	  0.033026051	-1.687000E+00	  0.033026051	1.186120E+02	  0.033026051	6.525000E+00	  0.033026051	2.930500E+01
67	  0.033226453	-1.724000E+00	  0.033226453	1.165720E+02	  0.033226453	6.810000E+00	  0.033226453	3.048000E+01
68	  0.033426855	-1.761000E+00	  0.033426855	1.145120E+02	  0.033426855	7.110000E+00	  0.033426855	3.169100E+01
69	  0.033627257	-1.799000E+00	  0.033627257	1.124630E+02	  0.033627257	7.432000E+00	  0.033627257	3.291900E+01
70	  0.033827655	-1.837000E+00	  0.033827655	1.104180E+02	  0.033827655	7.771000E+00	  0.033827655	3.416900E+01
71	  0.034028057	-1.875000E+00	  0.034028057	1.083730E+02	  0.034028057	8.130000E+00	  0.034028057	3.544700E+01
72	  0.034228459	-1.915000E+00	  0.034228459	1.063130E+02	  0.034228459	8.517000E+00	  0.034228459	3.676200E+01
73	  0.034428857	-1.957000E+00	  0.034428857	1.042570E+02	  0.034428857	8.936000E+00	  0.034428857	3.810300E+01
74	  0.034629259	-1.997000E+00	  0.034629259	1.021600E+02	  0.034629259	9.376000E+00	  0.034629259	3.950600E+01
75	  0.034829661	-2.039000E+00	  0.034829661	1.001000E+02	  0.034829661	9.846000E+00	  0.034829661	4.091600E+01
76	  0.035030060	-2.083000E+00	  0.035030060	9.801600E+01	  0.035030060	1.036600E+01	  0.035030060	4.237600E+01
77	  0.035230462	-2.127000E+00	  0.035230462	9.594100E+01	  0.035230462	1.091200E+01	  0.035230462	4.386700E+01
78	  0.035430863	-2.173000E+00	  0.035430863	9.386000E+01	  0.035430863	1.150500E+01	  0.035430863	4.540000E+01
79	  0.035631265	-2.220000E+00	  0.035631265	9.178700E+01	  0.035631265	1.214600E+01	  0.035631265	4.696600E+01
80	  0.035831664	-2.268000E+00	  0.035831664	8.970600E+01	  0.035831664	1.283100E+01	  0.035831664	4.858200E+01
81	  0.036032066	-2.314000E+00	  0.036032066	8.762200E+01	  0.036032066	1.355700E+01	  0.036032066	5.024700E+01
82	  0.036232468	-2.360000E+00	  0.036232468	8.555200E+01	  0.036232468	1.433200E+01	  0.036232468	5.194800E+01
83	  0.036432866	-2.411000E+00	  0.036432866	8.345600E+01	  0.036432866	1.520300E+01	  0.036432866	5.371100E+01
84	  0.036633268	-2.462000E+00	  0.036633268	8.137700E+01	  0.036633268	1.613000E+01	  0.036633268	5.551200E+01
85	  0.036833670	-2.512000E+00	  0.036833670	7.926800E+01	  0.036833670	1.713600E+01	  0.036833670	5.739400E+01
86	  0.037034072	-2.565000E+00	  0.037034072	7.717900E+01	  0.037034072	1.822900E+01	  0.037034072	5.930600E+01
87	  0.037234470	-2.616000E+00	  0.037234470	7.508000E+01	  0.037234470	1.940000E+01	  0.037234470	6.129100E+01
88	  0.037434869	-2.671000E+00	  0.037434869	7.298700E+01	  0.037434869	2.069100E+01	  0.037434869	6.331700E+01
89	  0.037635271	-2.726000E+00	  0.037635271	7.084700E+01	  0.037635271	2.211200E+01	  0.037635271	6.545400E+01
90	  0.037835669	-2.791000E+00	  0.037835669	6.873700E+01	  0.037835669	2.370800E+01	  0.037835669	6.758500E+01
91	  0.038036071	-2.854000E+00	  0.038036071	6.667300E+01	  0.038036071	2.540300E+01	  0.038036071	6.972200E+01
92	  0.038236473	-2.908000E+00	  0.038236473	6.459200E+01	  0.038236473	2.718200E+01	  0.038236473	7.196800E+01
93	  0.038436871	-2.965000E+00	  0.038436871	6.249300E+01	  0.038436871	2.914900E+01	  0.038436871	7.428500E+01
94	  0.038637273	-3.020000E+00	  0.038637273	6.039900E+01	  0.038637273	3.127800E+01	  0.038637273	7.665900E+01
95	  0.038837675	-3.073000E+00	  0.038837675	5.830200E+01	  0.038837675	3.358200E+01	  0.038837675	7.910100E+01
96	  0.039038073	-3.125000E+00	  0.039038073	5.621900E+01	  0.039038073	3.608600E+01	  0.039038073	8.157800E+01
97	  0.039238475	-3.176000E+00	  0.039238475	5.411600E+01	  0.039238475	3.883000E+01	  0.039238475	8.413700E+01
98	  0.039438877	-3.233000E+00	  0.039438877	5.206000E+01	  0.039438877	4.183300E+01	  0.039438877	8.661500E+01
99	  0.039639279	-3.284000E+00	  0.039639279	4.997800E+01	  0.039639279	4.510400E+01	  0.039639279	8.919200E+01
100	  0.039839678	-3.338000E+00	  0.039839678	4.788600E+01	  0.039839678	4.872500E+01	  0.039839678	9.177000E+01
101	  0.040040080	-3.386000E+00	  0.040040080	4.579500E+01	  0.040040080	5.264500E+01	  0.040040080	9.438200E+01
102	  0.040240481	-3.437000E+00	  0.040240481	4.372600E+01	  0.040240481	5.693800E+01	  0.040240481	9.689100E+01
103	  0.040440880	-3.488000E+00	  0.040440880	4.166800E+01	  0.040440880	6.162100E+01	  0.040440880	9.929800E+01
104	  0.040641282	-3.537000E+00	  0.040641282	3.962800E+01	  0.040641282	6.667900E+01	  0.040641282	1.016010E+02
105	  0.040841684	-3.585000E+00	  0.040841684	3.759700E+01	  0.040841684	7.218600E+01	  0.040841684	1.037290E+02
106	  0.041042086	-3.635000E+00	  0.041042086	3.558000E+01	  0.041042086	7.817800E+01	  0.041042086	1.055610E+02
107	  0.041242484	-3.684000E+00	  0.041242484	3.355300E+01	  0.041242484	8.470900E+01	  0.041242484	1.071300E+02
108	  0.041442886	-3.733000E+00	  0.041442886	3.153400E+01	  0.041442886	9.176400E+01	  0.041442886	1.082850E+02
109	  0.041643288	-3.780000E+00	  0.041643288	2.951300E+01	  0.041643288	9.936900E+01	  0.041643288	1.089910E+02
110	  0.041843686	-3.828000E+00	  0.041843686	2.750100E+01	  0.041843686	1.074950E+02	  0.041843686	1.090410E+02
111	  0.042044088	-3.874000E+00	  0.042044088	2.550800E+01	  0.042044088	1.160500E+02	  0.042044088	1.084040E+02
112	  0.042244490	-3.922000E+00	  0.042244490	2.350900E+01	  0.042244490	1.250840E+02	  0.042244490	1.068320E+02
113	  0.042444889	-3.970000E+00	  0.042444889	2.154500E+01	  0.042444889	1.342930E+02	  0.042444889	1.042280E+02
114	  0.042645290	-4.018000E+00	  0.042645290	1.956700E+01	  0.042645290	1.437710E+02	  0.042645290	1.004590E+02
115	  0.042845692	-4.067000E+00	  0.042845692	1.760400E+01	  0.042845692	1.531910E+02	  0.042845692	9.541700E+01
116	  0.043046094	-4.114000E+00	  0.043046094	1.563300E+01	  0.043046094	1.624550E+02	  0.043046094	8.904900E+01
117	  0.043246493	-4.161000E+00	  0.043246493	1.366700E+01	  0.043246493	1.712420E+02	  0.043246493	8.130100E+01
118	  0.043446895	-4.205000E+00	  0.043446895	1.171700E+01	  0.043446895	1.792870E+02	  0.043446895	7.233200E+01
119	  0.043647297	-4.249000E+00	  0.043647297	9.757000E+00	  0.043647297	1.863710E+02	  0.043647297	6.205000E+01
120	  0.043847695	-4.294000E+00	  0.043847695	7.816000E+00	  0.043847695	1.920390E+02	  0.043847695	5.072500E+01
121	  0.044048097	-4.339000E+00	  0.044048097	5.865000E+00	  0.044048097	1.962270E+02	  0.044048097	3.850900E+01
122	  0.044248499	-4.384000E+00	  0.044248499	3.934000E+00	  0.044248499	1.986900E+02	  0.044248499	2.589600E+01
123	  0.044448901	-4.429000E+00	  0.044448901	2.014000E+00	  0.044448901	1.994000E+02	  0.044448901	1.316700E+01
124	  0.044649299	-4.470000E+00	  0.044649299	1.070000E-01	  0.044649299	1.985420E+02	  0.044649299	6.940000E-01
125	  0.044849701	-4.513000E+00	  0.044849701	-1.794000E+00	  0.044849701	1.960650E+02	  0.044849701	-1.130100E+01
126	  0.045050103	-4.549000E+00	  0.045050103	-3.709000E+00	  0.045050103	1.923740E+02	  0.045050103	-2.270800E+01
127	  0.045250501	-4.588000E+00	  0.045250501	-5.615000E+00	  0.045250501	1.873670E+02	  0.045250501	-3.314200E+01
128	  0.045450903	-4.626000E+00	  0.045450903	-7.519000E+00	  0.045450903	1.814330E+02	  0.045450903	-4.254200E+01
129	  0.045651305	-4.662000E+00	  0.045651305	-9.408000E+00	  0.045651305	1.748140E+02	  0.045651305	-5.076600E+01
130	  0.045851704	-4.698000E+00	  0.045851704	-1.127500E+01	  0.045851704	1.677570E+02	  0.045851704	-5.778200E+01
131	  0.046052102	-4.731000E+00	  0.046052102	-1.313900E+01	  0.046052102	1.604640E+02	  0.046052102	-6.375800E+01
132	  0.046252504	-4.767000E+00	  0.046252504	-1.496000E+01	  0.046252504	1.531410E+02	  0.046252504	-6.854200E+01
133	  0.046452906	-4.801000E+00	  0.046452906	-1.677600E+01	  0.046452906	1.458710E+02	  0.046452906	-7.242300E+01
134	  0.046653304	-4.835000E+00	  0.046653304	-1.859900E+01	  0.046653304	1.386930E+02	  0.046653304	-7.550700E+01
135	  0.046853706	-4.867000E+00	  0.046853706	-2.042900E+01	  0.046853706	1.317000E+02	  0.046853706	-7.789200E+01
136	  0.047054108	-4.898000E+00	  0.047054108	-2.222700E+01	  0.047054108	1.250690E+02	  0.047054108	-7.960100E+01
137	  0.047254506	-4.929000E+00	  0.047254506	-2.403700E+01	  0.047254506	1.186860E+02	  0.047254506	-8.078300E+01
138	  0.047454908	-4.954000E+00	  0.047454908	-2.582000E+01	  0.047454908	1.127140E+02	  0.047454908	-8.156100E+01
139	  0.047655310	-4.984000E+00	  0.047655310	-2.758700E+01	  0.047655310	1.070760E+02	  0.047655310	-8.184700E+01
140	  0.047855709	-5.014000E+00	  0.047855709	-2.934900E+01	  0.047855709	1.017630E+02	  0.047855709	-8.178000E+01
141	  0.048056111	-5.042000E+00	  0.048056111	-3.108700E+01	  0.048056111	9.682200E+01	  0.048056111	-8.146600E+01
142	  0.048256513	-5.072000E+00	  0.048256513	-3.280500E+01	  0.048256513	9.222800E+01	  0.048256513	-8.088300E+01
143	  0.048456915	-5.099000E+00	  0.048456915	-3.452700E+01	  0.048456915	8.789500E+01	  0.048456915	-8.017100E+01
144	  0.048657313	-5.128000E+00	  0.048657313	-3.622400E+01	  0.048657313	8.388800E+01	  0.048657313	-7.927200E+01
145	  0.048857715	-5.152000E+00	  0.048857715	-3.797400E+01	  0.048857715	8.000100E+01	  0.048857715	-7.830600E+01
146	  0.049058117	-5.177000E+00	  0.049058117	-3.968200E+01	  0.049058117	7.644300E+01	  0.049058117	-7.723800E+01
147	  0.049258515	-5.201000E+00	  0.049258515	-4.137400E+01	  0.049258515	7.313600E+01	  0.049258515	-7.608900E+01
148	  0.049458917	-5.226000E+00	  0.049458917	-4.305600E+01	  0.049458917	7.005000E+01	  0.049458917	-7.487900E+01
149	  0.049659319	-5.254000E+00	  0.049659319	-4.475000E+01	  0.049659319	6.714700E+01	  0.049659319	-7.357300E+01
150	  0.049859721	-5.278000E+00	  0.049859721	-4.642700E+01	  0.049859721	6.443200E+01	  0.049859721	-7.228900E+01
151	  0.050060119	-5.303000E+00	  0.050060119	-4.807600E+01	  0.050060119	6.193500E+01	  0.050060119	-7.097600E+01
152	  0.050260521	-5.325000E+00	  0.050260521	-4.976400E+01	  0.050260521	5.951200E+01	  0.050260521	-6.965700E+01
153	  0.050460923	-5.345000E+00	  0.050460923	-5.143700E+01	  0.050460923	5.724900E+01	  0.050460923	-6.834700E+01
154	  0.050661322	-5.363000E+00	  0.050661322	-5.307900E+01	  0.050661322	5.515000E+01	  0.050661322	-6.706300E+01
155	  0.050861724	-5.381000E+00	  0.050861724	-5.474300E+01	  0.050861724	5.314300E+01	  0.050861724	-6.575900E+01
156	  0.051062126	-5.398000E+00	  0.051062126	-5.637800E+01	  0.051062126	5.128200E+01	  0.051062126	-6.447700E+01
157	  0.051262524	-5.419000E+00	  0.051262524	-5.800600E+01	  0.051262524	4.955300E+01	  0.051262524	-6.317300E+01
158	  0.051462926	-5.436000E+00	  0.051462926	-5.960600E+01	  0.051462926	4.793000E+01	  0.051462926	-6.192800E+01
159	  0.051663328	-5.453000E+00	  0.051663328	-6.122200E+01	  0.051663328	4.637700E+01	  0.051663328	-6.067700E+01
160	  0.051863730	-5.466000E+00	  0.051863730	-6.280900E+01	  0.051863730	4.491900E+01	  0.051863730	-5.948000E+01
161	  0.052064128	-5.478000E+00	  0.052064128	-6.440800E+01	  0.052064128	4.351800E+01	  0.052064128	-5.829100E+01
162	  0.052264530	-5.488000E+00	  0.052264530	-6.599100E+01	  0.052264530	4.220000E+01	  0.052264530	-5.712900E+01
163	  0.052464932	-5.500000E+00	  0.052464932	-6.754100E+01	  0.052464932	4.098400E+01	  0.052464932	-5.598700E+01
164	  0.052665330	-5.510000E+00	  0.052665330	-6.908700E+01	  0.052665330	3.982000E+01	  0.052665330	-5.487300E+01
165	  0.052865732	-5.521000E+00	  0.052865732	-7.061900E+01	  0.052865732	3.872800E+01	  0.052865732	-5.377500E+01
166	  0.053066134	-5.533000E+00	  0.053066134	-7.213700E+01	  0.053066134	3.770500E+01	  0.053066134	-5.269200E+01
167	  0.053266536	-5.544000E+00	  0.053266536	-7.364100E+01	  0.053266536	3.673100E+01	  0.053266536	-5.163800E+01
168	  0.053466935	-5.555000E+00	  0.053466935	-7.515900E+01	  0.053466935	3.580000E+01	  0.053466935	-5.058100E+01
169	  0.053667337	-5.566000E+00	  0.053667337	-7.664100E+01	  0.053667337	3.493200E+01	  0.053667337	-4.956500E+01
170	  0.053867739	-5.578000E+00	  0.053867739	-7.811400E+01	  0.053867739	3.411100E+01	  0.053867739	-4.856500E+01
171	  0.054068137	-5.584000E+00	  0.054068137	-7.959400E+01	  0.054068137	3.330000E+01	  0.054068137	-4.759100E+01
172	  0.054268539	-5.594000E+00	  0.054268539	-8.104500E+01	  0.054268539	3.255700E+01	  0.054268539	-4.663500E+01
173	  0.054468941	-5.605000E+00	  0.054468941	-8.250500E+01	  0.054468941	3.184300E+01	  0.054468941	-4.568400E+01
