! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/b255.ns.m3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 08:47:45 PM	05/09/2018 08:37:50 PM
! INTERNAL TEMP:    	52.3 C	53.0 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.70°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.219 ohm, -1.270 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.200000E-01	  0.020000000	-1.256950E+02	  0.020000000	2.253000E+00	  0.020000000	-2.560200E+01
2	  0.020200402	-6.220000E-01	  0.020200402	-1.271430E+02	  0.020200402	2.231000E+00	  0.020200402	-2.481100E+01
3	  0.020400802	-6.260000E-01	  0.020400802	-1.286090E+02	  0.020400802	2.219000E+00	  0.020400802	-2.401900E+01
4	  0.020601204	-6.280000E-01	  0.020601204	-1.300800E+02	  0.020601204	2.199000E+00	  0.020601204	-2.323500E+01
5	  0.020801604	-6.320000E-01	  0.020801604	-1.316000E+02	  0.020801604	2.186000E+00	  0.020801604	-2.243400E+01
6	  0.021002004	-6.330000E-01	  0.021002004	-1.331100E+02	  0.021002004	2.164000E+00	  0.021002004	-2.164900E+01
7	  0.021202406	-6.370000E-01	  0.021202406	-1.346380E+02	  0.021202406	2.152000E+00	  0.021202406	-2.086200E+01
8	  0.021402806	-6.390000E-01	  0.021402806	-1.361460E+02	  0.021402806	2.136000E+00	  0.021402806	-2.009500E+01
9	  0.021603208	-6.410000E-01	  0.021603208	-1.376570E+02	  0.021603208	2.121000E+00	  0.021603208	-1.933400E+01
10	  0.021803608	-6.450000E-01	  0.021803608	-1.391790E+02	  0.021803608	2.112000E+00	  0.021803608	-1.857500E+01
11	  0.022004008	-6.490000E-01	  0.022004008	-1.407000E+02	  0.022004008	2.105000E+00	  0.022004008	-1.782500E+01
12	  0.022204408	-6.560000E-01	  0.022204408	-1.422350E+02	  0.022204408	2.108000E+00	  0.022204408	-1.707400E+01
13	  0.022404809	-6.590000E-01	  0.022404809	-1.437980E+02	  0.022404809	2.098000E+00	  0.022404809	-1.631700E+01
14	  0.022605211	-6.640000E-01	  0.022605211	-1.453830E+02	  0.022605211	2.097000E+00	  0.022605211	-1.555600E+01
15	  0.022805611	-6.690000E-01	  0.022805611	-1.469630E+02	  0.022805611	2.094000E+00	  0.022805611	-1.480400E+01
16	  0.023006011	-6.720000E-01	  0.023006011	-1.485410E+02	  0.023006011	2.089000E+00	  0.023006011	-1.405900E+01
17	  0.023206413	-6.760000E-01	  0.023206413	-1.501090E+02	  0.023206413	2.083000E+00	  0.023206413	-1.332400E+01
