! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/b256.ew.m2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 07:22:36 PM	05/09/2018 07:16:32 PM
! INTERNAL TEMP:    	50.0 C	48.5 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-127.12°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.535 ohm, -1.138 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.360000E-01	  0.020000000	-1.271170E+02	  0.020000000	2.281000E+00	  0.020000000	-2.482300E+01
2	  0.020200402	-6.420000E-01	  0.020200402	-1.285900E+02	  0.020200402	2.274000E+00	  0.020200402	-2.402800E+01
3	  0.020400802	-6.430000E-01	  0.020400802	-1.300680E+02	  0.020400802	2.251000E+00	  0.020400802	-2.324000E+01
4	  0.020601204	-6.470000E-01	  0.020601204	-1.315730E+02	  0.020601204	2.239000E+00	  0.020601204	-2.244700E+01
5	  0.020801604	-6.520000E-01	  0.020801604	-1.331160E+02	  0.020801604	2.230000E+00	  0.020801604	-2.164300E+01
6	  0.021002004	-6.550000E-01	  0.021002004	-1.346560E+02	  0.021002004	2.214000E+00	  0.021002004	-2.085100E+01
7	  0.021202406	-6.600000E-01	  0.021202406	-1.362080E+02	  0.021202406	2.206000E+00	  0.021202406	-2.006100E+01
8	  0.021402806	-6.630000E-01	  0.021402806	-1.377430E+02	  0.021402806	2.192000E+00	  0.021402806	-1.928900E+01
9	  0.021603208	-6.670000E-01	  0.021603208	-1.392830E+02	  0.021603208	2.183000E+00	  0.021603208	-1.852200E+01
10	  0.021803608	-6.710000E-01	  0.021803608	-1.408280E+02	  0.021803608	2.177000E+00	  0.021803608	-1.776000E+01
11	  0.022004008	-6.770000E-01	  0.022004008	-1.423770E+02	  0.022004008	2.176000E+00	  0.022004008	-1.700300E+01
12	  0.022204408	-6.850000E-01	  0.022204408	-1.439490E+02	  0.022204408	2.181000E+00	  0.022204408	-1.624200E+01
13	  0.022404809	-6.920000E-01	  0.022404809	-1.455420E+02	  0.022404809	2.182000E+00	  0.022404809	-1.547800E+01
14	  0.022605211	-6.950000E-01	  0.022605211	-1.471540E+02	  0.022605211	2.173000E+00	  0.022605211	-1.471100E+01
15	  0.022805611	-7.000000E-01	  0.022805611	-1.487450E+02	  0.022805611	2.173000E+00	  0.022805611	-1.396100E+01
16	  0.023006011	-7.100000E-01	  0.023006011	-1.503360E+02	  0.023006011	2.185000E+00	  0.023006011	-1.321600E+01
17	  0.023206413	-7.130000E-01	  0.023206413	-1.519310E+02	  0.023206413	2.181000E+00	  0.023206413	-1.247500E+01
