! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/252.ew.m4.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 06:30:38 PM	05/10/2018 06:18:15 PM
! INTERNAL TEMP:    	60.5 C	60.0 C
! # POINTS:         	487	487
! START FREQ:       	20.601 202 MHz	20.601 202 MHz
! STOP FREQ:        	117.995 991 MHz	117.995 991 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.674 ohm, -1.907 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020601204	-6.470000E-01	  0.020601204	-1.294070E+02	  0.020601204	2.279000E+00	  0.020601204	-2.359000E+01
2	  0.020801604	-6.520000E-01	  0.020801604	-1.309180E+02	  0.020801604	2.268000E+00	  0.020801604	-2.279000E+01
3	  0.021002004	-6.540000E-01	  0.021002004	-1.324520E+02	  0.021002004	2.248000E+00	  0.021002004	-2.198700E+01
4	  0.021202406	-6.580000E-01	  0.021202406	-1.339850E+02	  0.021202406	2.235000E+00	  0.021202406	-2.119500E+01
5	  0.021402806	-6.600000E-01	  0.021402806	-1.355420E+02	  0.021402806	2.218000E+00	  0.021402806	-2.039900E+01
6	  0.021603208	-6.630000E-01	  0.021603208	-1.370710E+02	  0.021603208	2.204000E+00	  0.021603208	-1.962600E+01
7	  0.021803608	-6.670000E-01	  0.021803608	-1.386130E+02	  0.021803608	2.193000E+00	  0.021803608	-1.885400E+01
8	  0.022004008	-6.740000E-01	  0.022004008	-1.401600E+02	  0.022004008	2.193000E+00	  0.022004008	-1.808800E+01
9	  0.022204408	-6.760000E-01	  0.022204408	-1.417450E+02	  0.022204408	2.181000E+00	  0.022204408	-1.731100E+01
10	  0.022404809	-6.810000E-01	  0.022404809	-1.433480E+02	  0.022404809	2.174000E+00	  0.022404809	-1.653200E+01
11	  0.022605211	-6.830000E-01	  0.022605211	-1.449420E+02	  0.022605211	2.163000E+00	  0.022605211	-1.576500E+01
12	  0.022805611	-6.880000E-01	  0.022805611	-1.465480E+02	  0.022805611	2.157000E+00	  0.022805611	-1.499900E+01
13	  0.023006011	-6.920000E-01	  0.023006011	-1.481500E+02	  0.023006011	2.155000E+00	  0.023006011	-1.424100E+01
14	  0.023206413	-6.950000E-01	  0.023206413	-1.497430E+02	  0.023206413	2.146000E+00	  0.023206413	-1.349400E+01
15	  0.023406813	-6.970000E-01	  0.023406813	-1.513510E+02	  0.023406813	2.136000E+00	  0.023406813	-1.274500E+01
16	  0.023607215	-7.020000E-01	  0.023607215	-1.529510E+02	  0.023607215	2.138000E+00	  0.023607215	-1.200500E+01
17	  0.023807615	-7.110000E-01	  0.023807615	-1.545440E+02	  0.023807615	2.149000E+00	  0.023807615	-1.127300E+01
18	  0.024008015	-7.200000E-01	  0.024008015	-1.561740E+02	  0.024008015	2.163000E+00	  0.024008015	-1.052900E+01
19	  0.024208417	-7.260000E-01	  0.024208417	-1.578190E+02	  0.024208417	2.169000E+00	  0.024208417	-9.782000E+00
20	  0.024408817	-7.320000E-01	  0.024408817	-1.594620E+02	  0.024408817	2.174000E+00	  0.024408817	-9.041000E+00
21	  0.024609219	-7.380000E-01	  0.024609219	-1.611020E+02	  0.024609219	2.184000E+00	  0.024609219	-8.305000E+00
22	  0.024809619	-7.460000E-01	  0.024809619	-1.627500E+02	  0.024809619	2.197000E+00	  0.024809619	-7.569000E+00
23	  0.025010020	-7.570000E-01	  0.025010020	-1.643950E+02	  0.025010020	2.220000E+00	  0.025010020	-6.837000E+00
24	  0.025210422	-7.680000E-01	  0.025210422	-1.660490E+02	  0.025210422	2.242000E+00	  0.025210422	-6.105000E+00
25	  0.025410822	-7.800000E-01	  0.025410822	-1.677200E+02	  0.025410822	2.271000E+00	  0.025410822	-5.367000E+00
26	  0.025611224	-7.920000E-01	  0.025611224	-1.693930E+02	  0.025611224	2.299000E+00	  0.025611224	-4.631000E+00
27	  0.025811624	-8.040000E-01	  0.025811624	-1.710930E+02	  0.025811624	2.328000E+00	  0.025811624	-3.885000E+00
28	  0.026012026	-8.150000E-01	  0.026012026	-1.728100E+02	  0.026012026	2.355000E+00	  0.026012026	-3.134000E+00
29	  0.026212426	-8.280000E-01	  0.026212426	-1.745240E+02	  0.026212426	2.386000E+00	  0.026212426	-2.385000E+00
30	  0.026412826	-8.440000E-01	  0.026412826	-1.762550E+02	  0.026412826	2.431000E+00	  0.026412826	-1.630000E+00
31	  0.026613226	-8.600000E-01	  0.026613226	-1.780030E+02	  0.026613226	2.475000E+00	  0.026613226	-8.690000E-01
32	  0.026813626	-8.760000E-01	  0.026813626	-1.797620E+02	  0.026813626	2.521000E+00	  0.026813626	-1.030000E-01
33	  0.027014028	-8.940000E-01	  0.027014028	1.784640E+02	  0.027014028	2.573000E+00	  0.027014028	6.680000E-01
34	  0.027214428	-9.110000E-01	  0.027214428	1.766850E+02	  0.027214428	2.622000E+00	  0.027214428	1.442000E+00
35	  0.027414829	-9.280000E-01	  0.027414829	1.748980E+02	  0.027414829	2.676000E+00	  0.027414829	2.221000E+00
36	  0.027615231	-9.470000E-01	  0.027615231	1.730850E+02	  0.027615231	2.734000E+00	  0.027615231	3.011000E+00
37	  0.027815631	-9.660000E-01	  0.027815631	1.712620E+02	  0.027815631	2.795000E+00	  0.027815631	3.807000E+00
38	  0.028016033	-9.850000E-01	  0.028016033	1.694180E+02	  0.028016033	2.856000E+00	  0.028016033	4.615000E+00
