! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/252.ns.cal2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 05:31:38 PM	05/10/2018 05:30:44 PM
! INTERNAL TEMP:    	58.0 C	57.8 C
! # POINTS:         	490	490
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	117.995 991 MHz	117.995 991 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:74.57°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(49.980 ohm, -0.011 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.326100E+01	  0.020000000	7.457000E+01	  0.020000000	5.000500E+01	  0.020000000	2.000000E-02
2	  0.020200402	-7.364100E+01	  0.020200402	9.732200E+01	  0.020200402	4.999700E+01	  0.020200402	2.000000E-02
3	  0.020400802	-7.978400E+01	  0.020400802	1.158440E+02	  0.020400802	4.999500E+01	  0.020400802	9.000000E-03
4	  0.020601204	-7.813700E+01	  0.020601204	1.172070E+02	  0.020601204	4.999400E+01	  0.020601204	1.100000E-02
5	  0.020801604	-7.906400E+01	  0.020801604	1.177580E+02	  0.020801604	4.999400E+01	  0.020801604	9.000000E-03
6	  0.021002004	-8.284300E+01	  0.021002004	1.715080E+02	  0.021002004	4.999200E+01	  0.021002004	1.000000E-03
7	  0.021202406	-8.480000E+01	  0.021202406	-4.262600E+01	  0.021202406	5.000400E+01	  0.021202406	-3.000000E-03
8	  0.021402806	-8.567100E+01	  0.021402806	-9.999400E+01	  0.021402806	4.999900E+01	  0.021402806	-5.000000E-03
9	  0.021603208	-7.233600E+01	  0.021603208	1.575510E+02	  0.021603208	4.997700E+01	  0.021603208	9.000000E-03
10	  0.021803608	-8.077700E+01	  0.021803608	9.290300E+01	  0.021803608	4.999900E+01	  0.021803608	9.000000E-03
11	  0.022004008	-7.713300E+01	  0.022004008	1.704470E+02	  0.022004008	4.998600E+01	  0.022004008	2.000000E-03
12	  0.022204408	-8.004200E+01	  0.022204408	-1.662760E+02	  0.022204408	4.999000E+01	  0.022204408	-2.000000E-03
13	  0.022404809	-7.531000E+01	  0.022404809	-1.691540E+02	  0.022404809	4.998300E+01	  0.022404809	-3.000000E-03
14	  0.022605211	-8.123900E+01	  0.022605211	-9.639500E+01	  0.022605211	4.999900E+01	  0.022605211	-8.000000E-03
15	  0.022805611	-7.967200E+01	  0.022805611	-1.346670E+02	  0.022805611	4.999200E+01	  0.022805611	-7.000000E-03
16	  0.023006011	-7.751200E+01	  0.023006011	-1.099580E+02	  0.023006011	4.999500E+01	  0.023006011	-1.200000E-02
17	  0.023206413	-7.542300E+01	  0.023206413	-1.635540E+02	  0.023206413	4.998300E+01	  0.023206413	-4.000000E-03
