! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/252.ns.m10.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 05:58:54 PM	05/10/2018 05:49:06 PM
! INTERNAL TEMP:    	59.8 C	59.5 C
! # POINTS:         	490	490
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	117.995 991 MHz	117.995 991 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.41°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.688 ohm, -1.582 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.320000E-01	  0.020000000	-1.254050E+02	  0.020000000	2.304000E+00	  0.020000000	-2.576000E+01
2	  0.020200402	-6.350000E-01	  0.020200402	-1.268620E+02	  0.020200402	2.286000E+00	  0.020200402	-2.496200E+01
3	  0.020400802	-6.390000E-01	  0.020400802	-1.283050E+02	  0.020400802	2.271000E+00	  0.020400802	-2.418100E+01
4	  0.020601204	-6.430000E-01	  0.020601204	-1.297730E+02	  0.020601204	2.258000E+00	  0.020601204	-2.339600E+01
5	  0.020801604	-6.470000E-01	  0.020801604	-1.312720E+02	  0.020801604	2.243000E+00	  0.020801604	-2.260400E+01
6	  0.021002004	-6.490000E-01	  0.021002004	-1.327900E+02	  0.021002004	2.224000E+00	  0.021002004	-2.181300E+01
7	  0.021202406	-6.550000E-01	  0.021202406	-1.343040E+02	  0.021202406	2.218000E+00	  0.021202406	-2.103200E+01
8	  0.021402806	-6.550000E-01	  0.021402806	-1.357990E+02	  0.021402806	2.197000E+00	  0.021402806	-2.026900E+01
9	  0.021603208	-6.580000E-01	  0.021603208	-1.373140E+02	  0.021603208	2.183000E+00	  0.021603208	-1.950400E+01
10	  0.021803608	-6.620000E-01	  0.021803608	-1.388290E+02	  0.021803608	2.175000E+00	  0.021803608	-1.874800E+01
11	  0.022004008	-6.700000E-01	  0.022004008	-1.403340E+02	  0.022004008	2.178000E+00	  0.022004008	-1.800300E+01
12	  0.022204408	-6.760000E-01	  0.022204408	-1.418690E+02	  0.022204408	2.177000E+00	  0.022204408	-1.725100E+01
13	  0.022404809	-6.840000E-01	  0.022404809	-1.434090E+02	  0.022404809	2.182000E+00	  0.022404809	-1.650200E+01
14	  0.022605211	-6.860000E-01	  0.022605211	-1.449900E+02	  0.022605211	2.171000E+00	  0.022605211	-1.574200E+01
15	  0.022805611	-6.860000E-01	  0.022805611	-1.465580E+02	  0.022805611	2.153000E+00	  0.022805611	-1.499400E+01
16	  0.023006011	-6.910000E-01	  0.023006011	-1.481180E+02	  0.023006011	2.150000E+00	  0.023006011	-1.425700E+01
17	  0.023206413	-6.960000E-01	  0.023206413	-1.496810E+02	  0.023206413	2.150000E+00	  0.023206413	-1.352300E+01
18	  0.023406813	-7.020000E-01	  0.023406813	-1.512320E+02	  0.023406813	2.153000E+00	  0.023406813	-1.280000E+01
19	  0.023607215	-7.100000E-01	  0.023607215	-1.528130E+02	  0.023607215	2.163000E+00	  0.023607215	-1.206800E+01
20	  0.023807615	-7.160000E-01	  0.023807615	-1.544100E+02	  0.023807615	2.167000E+00	  0.023807615	-1.133400E+01
21	  0.024008015	-7.240000E-01	  0.024008015	-1.560220E+02	  0.024008015	2.179000E+00	  0.024008015	-1.059800E+01
22	  0.024208417	-7.310000E-01	  0.024208417	-1.576570E+02	  0.024208417	2.186000E+00	  0.024208417	-9.855000E+00
