! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/255.ew.m4.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 01:45:46 PM	05/10/2018 01:36:00 PM
! INTERNAL TEMP:    	55.8 C	54.5 C
! # POINTS:         	492	492
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.396 793 MHz	118.396 793 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.56°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.745 ohm, -1.577 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-9.190000E-01	  0.020000000	-1.255570E+02	  0.020000000	3.341000E+00	  0.020000000	-2.562900E+01
2	  0.020200402	-9.280000E-01	  0.020200402	-1.270000E+02	  0.020200402	3.331000E+00	  0.020200402	-2.484000E+01
3	  0.020400802	-9.390000E-01	  0.020400802	-1.284290E+02	  0.020400802	3.329000E+00	  0.020400802	-2.406800E+01
4	  0.020601204	-9.470000E-01	  0.020601204	-1.298950E+02	  0.020601204	3.317000E+00	  0.020601204	-2.328600E+01
5	  0.020801604	-9.580000E-01	  0.020801604	-1.313890E+02	  0.020801604	3.317000E+00	  0.020801604	-2.249800E+01
6	  0.021002004	-9.670000E-01	  0.021002004	-1.328920E+02	  0.021002004	3.307000E+00	  0.021002004	-2.171600E+01
7	  0.021202406	-9.780000E-01	  0.021202406	-1.344030E+02	  0.021202406	3.307000E+00	  0.021202406	-2.093800E+01
8	  0.021402806	-9.880000E-01	  0.021402806	-1.358940E+02	  0.021402806	3.308000E+00	  0.021402806	-2.017800E+01
9	  0.021603208	-9.940000E-01	  0.021603208	-1.373860E+02	  0.021603208	3.292000E+00	  0.021603208	-1.942700E+01
10	  0.021803608	-1.007000E+00	  0.021803608	-1.388910E+02	  0.021803608	3.300000E+00	  0.021803608	-1.867600E+01
11	  0.022004008	-1.018000E+00	  0.022004008	-1.403890E+02	  0.022004008	3.306000E+00	  0.022004008	-1.793600E+01
12	  0.022204408	-1.029000E+00	  0.022204408	-1.419080E+02	  0.022204408	3.310000E+00	  0.022204408	-1.719300E+01
13	  0.022404809	-1.042000E+00	  0.022404809	-1.434530E+02	  0.022404809	3.322000E+00	  0.022404809	-1.644400E+01
14	  0.022605211	-1.049000E+00	  0.022605211	-1.450170E+02	  0.022605211	3.315000E+00	  0.022605211	-1.569300E+01
15	  0.022805611	-1.055000E+00	  0.022805611	-1.465850E+02	  0.022805611	3.306000E+00	  0.022805611	-1.494700E+01
16	  0.023006011	-1.064000E+00	  0.023006011	-1.481370E+02	  0.023006011	3.309000E+00	  0.023006011	-1.421400E+01
17	  0.023206413	-1.075000E+00	  0.023206413	-1.496910E+02	  0.023206413	3.316000E+00	  0.023206413	-1.348600E+01
18	  0.023406813	-1.085000E+00	  0.023406813	-1.512350E+02	  0.023406813	3.325000E+00	  0.023406813	-1.276800E+01
19	  0.023607215	-1.096000E+00	  0.023607215	-1.527920E+02	  0.023607215	3.335000E+00	  0.023607215	-1.204800E+01
20	  0.023807615	-1.110000E+00	  0.023807615	-1.543740E+02	  0.023807615	3.355000E+00	  0.023807615	-1.132200E+01
21	  0.024008015	-1.121000E+00	  0.024008015	-1.559740E+02	  0.024008015	3.367000E+00	  0.024008015	-1.059300E+01
22	  0.024208417	-1.133000E+00	  0.024208417	-1.575900E+02	  0.024208417	3.384000E+00	  0.024208417	-9.860000E+00
23	  0.024408817	-1.143000E+00	  0.024408817	-1.592150E+02	  0.024408817	3.397000E+00	  0.024408817	-9.128000E+00
24	  0.024609219	-1.154000E+00	  0.024609219	-1.608270E+02	  0.024609219	3.412000E+00	  0.024609219	-8.406000E+00
25	  0.024809619	-1.169000E+00	  0.024809619	-1.624620E+02	  0.024809619	3.439000E+00	  0.024809619	-7.676000E+00
26	  0.025010020	-1.184000E+00	  0.025010020	-1.640950E+02	  0.025010020	3.470000E+00	  0.025010020	-6.951000E+00
27	  0.025210422	-1.197000E+00	  0.025210422	-1.657310E+02	  0.025210422	3.495000E+00	  0.025210422	-6.228000E+00
28	  0.025410822	-1.214000E+00	  0.025410822	-1.673870E+02	  0.025410822	3.531000E+00	  0.025410822	-5.498000E+00
29	  0.025611224	-1.230000E+00	  0.025611224	-1.690500E+02	  0.025611224	3.568000E+00	  0.025611224	-4.768000E+00
30	  0.025811624	-1.246000E+00	  0.025811624	-1.707350E+02	  0.025811624	3.605000E+00	  0.025811624	-4.030000E+00
31	  0.026012026	-1.262000E+00	  0.026012026	-1.724220E+02	  0.026012026	3.643000E+00	  0.026012026	-3.293000E+00
32	  0.026212426	-1.280000E+00	  0.026212426	-1.741360E+02	  0.026212426	3.687000E+00	  0.026212426	-2.546000E+00
33	  0.026412826	-1.298000E+00	  0.026412826	-1.758380E+02	  0.026412826	3.736000E+00	  0.026412826	-1.806000E+00
34	  0.026613226	-1.318000E+00	  0.026613226	-1.775680E+02	  0.026613226	3.788000E+00	  0.026613226	-1.055000E+00
35	  0.026813626	-1.338000E+00	  0.026813626	-1.793050E+02	  0.026813626	3.845000E+00	  0.026813626	-3.010000E-01
36	  0.027014028	-1.361000E+00	  0.027014028	1.789590E+02	  0.027014028	3.909000E+00	  0.027014028	4.510000E-01
37	  0.027214428	-1.381000E+00	  0.027214428	1.772070E+02	  0.027214428	3.970000E+00	  0.027214428	1.211000E+00
38	  0.027414829	-1.405000E+00	  0.027414829	1.754520E+02	  0.027414829	4.043000E+00	  0.027414829	1.972000E+00
39	  0.027615231	-1.428000E+00	  0.027615231	1.736680E+02	  0.027615231	4.114000E+00	  0.027615231	2.746000E+00
40	  0.027815631	-1.452000E+00	  0.027815631	1.718920E+02	  0.027815631	4.191000E+00	  0.027815631	3.518000E+00
41	  0.028016033	-1.476000E+00	  0.028016033	1.700910E+02	  0.028016033	4.271000E+00	  0.028016033	4.303000E+00
42	  0.028216433	-1.503000E+00	  0.028216433	1.682700E+02	  0.028216433	4.360000E+00	  0.028216433	5.097000E+00
43	  0.028416833	-1.529000E+00	  0.028416833	1.664590E+02	  0.028416833	4.451000E+00	  0.028416833	5.889000E+00
44	  0.028617235	-1.555000E+00	  0.028617235	1.646360E+02	  0.028617235	4.546000E+00	  0.028617235	6.689000E+00
45	  0.028817635	-1.583000E+00	  0.028817635	1.628090E+02	  0.028817635	4.649000E+00	  0.028817635	7.493000E+00
46	  0.029018037	-1.612000E+00	  0.029018037	1.609860E+02	  0.029018037	4.756000E+00	  0.029018037	8.299000E+00
47	  0.029218437	-1.642000E+00	  0.029218437	1.591390E+02	  0.029218437	4.870000E+00	  0.029218437	9.119000E+00
48	  0.029418837	-1.672000E+00	  0.029418837	1.572750E+02	  0.029418837	4.990000E+00	  0.029418837	9.951000E+00
49	  0.029619239	-1.703000E+00	  0.029619239	1.554070E+02	  0.029619239	5.116000E+00	  0.029619239	1.078900E+01
50	  0.029819639	-1.733000E+00	  0.029819639	1.535300E+02	  0.029819639	5.244000E+00	  0.029819639	1.163600E+01
