! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/256.ew.m8.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 10:29:57 AM	05/10/2018 10:22:12 AM
! INTERNAL TEMP:    	47.3 C	47.0 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.98°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.350 ohm, -1.270 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.160000E-01	  0.020000000	-1.269750E+02	  0.020000000	2.212000E+00	  0.020000000	-2.490300E+01
2	  0.020200402	-6.190000E-01	  0.020200402	-1.284460E+02	  0.020200402	2.197000E+00	  0.020200402	-2.410700E+01
3	  0.020400802	-6.210000E-01	  0.020400802	-1.299300E+02	  0.020400802	2.178000E+00	  0.020400802	-2.331500E+01
4	  0.020601204	-6.250000E-01	  0.020601204	-1.314230E+02	  0.020601204	2.164000E+00	  0.020601204	-2.252800E+01
5	  0.020801604	-6.300000E-01	  0.020801604	-1.329620E+02	  0.020801604	2.157000E+00	  0.020801604	-2.172600E+01
6	  0.021002004	-6.320000E-01	  0.021002004	-1.344980E+02	  0.021002004	2.140000E+00	  0.021002004	-2.093500E+01
7	  0.021202406	-6.380000E-01	  0.021202406	-1.360330E+02	  0.021202406	2.137000E+00	  0.021202406	-2.015200E+01
8	  0.021402806	-6.410000E-01	  0.021402806	-1.375680E+02	  0.021402806	2.123000E+00	  0.021402806	-1.937800E+01
9	  0.021603208	-6.450000E-01	  0.021603208	-1.390950E+02	  0.021603208	2.115000E+00	  0.021603208	-1.861700E+01
10	  0.021803608	-6.500000E-01	  0.021803608	-1.406360E+02	  0.021803608	2.110000E+00	  0.021803608	-1.785600E+01
11	  0.022004008	-6.540000E-01	  0.022004008	-1.421840E+02	  0.022004008	2.103000E+00	  0.022004008	-1.709900E+01
12	  0.022204408	-6.610000E-01	  0.022204408	-1.437570E+02	  0.022204408	2.105000E+00	  0.022204408	-1.633700E+01
13	  0.022404809	-6.670000E-01	  0.022404809	-1.453510E+02	  0.022404809	2.107000E+00	  0.022404809	-1.557000E+01
14	  0.022605211	-6.730000E-01	  0.022605211	-1.469400E+02	  0.022605211	2.106000E+00	  0.022605211	-1.481400E+01
15	  0.022805611	-6.820000E-01	  0.022805611	-1.485320E+02	  0.022805611	2.117000E+00	  0.022805611	-1.406200E+01
16	  0.023006011	-6.860000E-01	  0.023006011	-1.501230E+02	  0.023006011	2.114000E+00	  0.023006011	-1.331700E+01
17	  0.023206413	-6.900000E-01	  0.023206413	-1.517230E+02	  0.023206413	2.113000E+00	  0.023206413	-1.257300E+01
18	  0.023406813	-6.960000E-01	  0.023406813	-1.533220E+02	  0.023406813	2.114000E+00	  0.023406813	-1.183500E+01
19	  0.023607215	-7.050000E-01	  0.023607215	-1.549270E+02	  0.023607215	2.129000E+00	  0.023607215	-1.109800E+01
20	  0.023807615	-7.170000E-01	  0.023807615	-1.565530E+02	  0.023807615	2.154000E+00	  0.023807615	-1.035700E+01
21	  0.024008015	-7.270000E-01	  0.024008015	-1.581950E+02	  0.024008015	2.169000E+00	  0.024008015	-9.612000E+00
22	  0.024208417	-7.340000E-01	  0.024208417	-1.598640E+02	  0.024208417	2.180000E+00	  0.024208417	-8.861000E+00
23	  0.024408817	-7.410000E-01	  0.024408817	-1.615120E+02	  0.024408817	2.190000E+00	  0.024408817	-8.122000E+00
24	  0.024609219	-7.520000E-01	  0.024609219	-1.631890E+02	  0.024609219	2.210000E+00	  0.024609219	-7.373000E+00
25	  0.024809619	-7.610000E-01	  0.024809619	-1.648430E+02	  0.024809619	2.228000E+00	  0.024809619	-6.639000E+00
26	  0.025010020	-7.720000E-01	  0.025010020	-1.665200E+02	  0.025010020	2.253000E+00	  0.025010020	-5.897000E+00
27	  0.025210422	-7.850000E-01	  0.025210422	-1.681990E+02	  0.025210422	2.283000E+00	  0.025210422	-5.156000E+00
28	  0.025410822	-7.980000E-01	  0.025410822	-1.698900E+02	  0.025410822	2.314000E+00	  0.025410822	-4.413000E+00
29	  0.025611224	-8.120000E-01	  0.025611224	-1.716010E+02	  0.025611224	2.350000E+00	  0.025611224	-3.662000E+00
30	  0.025811624	-8.250000E-01	  0.025811624	-1.733270E+02	  0.025811624	2.381000E+00	  0.025811624	-2.908000E+00
31	  0.026012026	-8.370000E-01	  0.026012026	-1.750550E+02	  0.026012026	2.413000E+00	  0.026012026	-2.153000E+00
32	  0.026212426	-8.510000E-01	  0.026212426	-1.768050E+02	  0.026212426	2.450000E+00	  0.026212426	-1.390000E+00
33	  0.026412826	-8.670000E-01	  0.026412826	-1.785510E+02	  0.026412826	2.495000E+00	  0.026412826	-6.300000E-01
34	  0.026613226	-8.830000E-01	  0.026613226	1.796930E+02	  0.026613226	2.540000E+00	  0.026613226	1.330000E-01
35	  0.026813626	-8.990000E-01	  0.026813626	1.779180E+02	  0.026813626	2.588000E+00	  0.026813626	9.050000E-01
36	  0.027014028	-9.170000E-01	  0.027014028	1.761460E+02	  0.027014028	2.641000E+00	  0.027014028	1.677000E+00
37	  0.027214428	-9.350000E-01	  0.027214428	1.743710E+02	  0.027214428	2.695000E+00	  0.027214428	2.450000E+00
38	  0.027414829	-9.540000E-01	  0.027414829	1.725810E+02	  0.027414829	2.756000E+00	  0.027414829	3.231000E+00
39	  0.027615231	-9.720000E-01	  0.027615231	1.707670E+02	  0.027615231	2.814000E+00	  0.027615231	4.024000E+00
40	  0.027815631	-9.920000E-01	  0.027815631	1.689630E+02	  0.027815631	2.881000E+00	  0.027815631	4.814000E+00
41	  0.028016033	-1.015000E+00	  0.028016033	1.671350E+02	  0.028016033	2.955000E+00	  0.028016033	5.617000E+00
42	  0.028216433	-1.037000E+00	  0.028216433	1.653000E+02	  0.028216433	3.032000E+00	  0.028216433	6.425000E+00
43	  0.028416833	-1.059000E+00	  0.028416833	1.634550E+02	  0.028416833	3.111000E+00	  0.028416833	7.241000E+00
44	  0.028617235	-1.083000E+00	  0.028617235	1.616240E+02	  0.028617235	3.195000E+00	  0.028617235	8.055000E+00
45	  0.028817635	-1.106000E+00	  0.028817635	1.597730E+02	  0.028817635	3.281000E+00	  0.028817635	8.880000E+00
46	  0.029018037	-1.132000E+00	  0.029018037	1.579370E+02	  0.029018037	3.379000E+00	  0.029018037	9.704000E+00
47	  0.029218437	-1.160000E+00	  0.029218437	1.560830E+02	  0.029218437	3.484000E+00	  0.029218437	1.054000E+01
48	  0.029418837	-1.188000E+00	  0.029418837	1.542030E+02	  0.029418837	3.592000E+00	  0.029418837	1.139300E+01
49	  0.029619239	-1.216000E+00	  0.029619239	1.523240E+02	  0.029619239	3.706000E+00	  0.029619239	1.225200E+01
50	  0.029819639	-1.245000E+00	  0.029819639	1.504440E+02	  0.029819639	3.827000E+00	  0.029819639	1.311700E+01
51	  0.030020041	-1.273000E+00	  0.030020041	1.485540E+02	  0.030020041	3.947000E+00	  0.030020041	1.399400E+01
52	  0.030220442	-1.302000E+00	  0.030220442	1.466600E+02	  0.030220442	4.076000E+00	  0.030220442	1.488000E+01
53	  0.030420844	-1.332000E+00	  0.030420844	1.447770E+02	  0.030420844	4.211000E+00	  0.030420844	1.576900E+01
54	  0.030621244	-1.364000E+00	  0.030621244	1.428820E+02	  0.030621244	4.357000E+00	  0.030621244	1.667100E+01
55	  0.030821642	-1.399000E+00	  0.030821642	1.409830E+02	  0.030821642	4.519000E+00	  0.030821642	1.758500E+01
56	  0.031022044	-1.430000E+00	  0.031022044	1.390570E+02	  0.031022044	4.676000E+00	  0.031022044	1.852200E+01
57	  0.031222444	-1.460000E+00	  0.031222444	1.371390E+02	  0.031222444	4.835000E+00	  0.031222444	1.946600E+01
58	  0.031422846	-1.493000E+00	  0.031422846	1.351710E+02	  0.031422846	5.012000E+00	  0.031422846	2.044500E+01
59	  0.031623244	-1.529000E+00	  0.031623244	1.332030E+02	  0.031623244	5.206000E+00	  0.031623244	2.143700E+01
60	  0.031823646	-1.564000E+00	  0.031823646	1.312320E+02	  0.031823646	5.405000E+00	  0.031823646	2.244300E+01
61	  0.032024048	-1.600000E+00	  0.032024048	1.292570E+02	  0.032024048	5.617000E+00	  0.032024048	2.346600E+01
62	  0.032224450	-1.639000E+00	  0.032224450	1.272700E+02	  0.032224450	5.848000E+00	  0.032224450	2.450900E+01
63	  0.032424849	-1.678000E+00	  0.032424849	1.252660E+02	  0.032424849	6.091000E+00	  0.032424849	2.557700E+01
64	  0.032625251	-1.716000E+00	  0.032625251	1.232460E+02	  0.032625251	6.344000E+00	  0.032625251	2.667000E+01
65	  0.032825653	-1.755000E+00	  0.032825653	1.212070E+02	  0.032825653	6.611000E+00	  0.032825653	2.779400E+01
66	  0.033026051	-1.796000E+00	  0.033026051	1.191550E+02	  0.033026051	6.903000E+00	  0.033026051	2.894200E+01
67	  0.033226453	-1.835000E+00	  0.033226453	1.171300E+02	  0.033226453	7.201000E+00	  0.033226453	3.009800E+01
68	  0.033426855	-1.877000E+00	  0.033426855	1.150810E+02	  0.033426855	7.526000E+00	  0.033426855	3.128800E+01
69	  0.033627257	-1.920000E+00	  0.033627257	1.130430E+02	  0.033627257	7.871000E+00	  0.033627257	3.249300E+01
70	  0.033827655	-1.965000E+00	  0.033827655	1.110030E+02	  0.033827655	8.245000E+00	  0.033827655	3.372300E+01
71	  0.034028057	-2.008000E+00	  0.034028057	1.089340E+02	  0.034028057	8.631000E+00	  0.034028057	3.499800E+01
72	  0.034228459	-2.053000E+00	  0.034228459	1.068730E+02	  0.034228459	9.050000E+00	  0.034228459	3.629300E+01
73	  0.034428857	-2.101000E+00	  0.034428857	1.048150E+02	  0.034428857	9.503000E+00	  0.034428857	3.761300E+01
74	  0.034629259	-2.147000E+00	  0.034629259	1.027140E+02	  0.034629259	9.986000E+00	  0.034629259	3.899300E+01
75	  0.034829661	-2.191000E+00	  0.034829661	1.006290E+02	  0.034829661	1.048200E+01	  0.034829661	4.039700E+01
76	  0.035030060	-2.241000E+00	  0.035030060	9.855700E+01	  0.035030060	1.103700E+01	  0.035030060	4.181900E+01
77	  0.035230462	-2.290000E+00	  0.035230462	9.646900E+01	  0.035230462	1.162400E+01	  0.035230462	4.328900E+01
78	  0.035430863	-2.338000E+00	  0.035430863	9.439200E+01	  0.035430863	1.224200E+01	  0.035430863	4.478900E+01
