! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/256.ns.m9.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 11:19:05 AM	05/10/2018 11:07:23 AM
! INTERNAL TEMP:    	52.8 C	51.3 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.86°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.835 ohm, -1.507 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.060000E-01	  0.020000000	-1.268620E+02	  0.020000000	2.181000E+00	  0.020000000	-2.496500E+01
2	  0.020200402	-6.110000E-01	  0.020200402	-1.283160E+02	  0.020200402	2.170000E+00	  0.020200402	-2.417800E+01
3	  0.020400802	-6.170000E-01	  0.020400802	-1.298090E+02	  0.020400802	2.165000E+00	  0.020400802	-2.338000E+01
4	  0.020601204	-6.220000E-01	  0.020601204	-1.313150E+02	  0.020601204	2.156000E+00	  0.020601204	-2.258500E+01
5	  0.020801604	-6.260000E-01	  0.020801604	-1.328540E+02	  0.020801604	2.146000E+00	  0.020801604	-2.178200E+01
6	  0.021002004	-6.310000E-01	  0.021002004	-1.343980E+02	  0.021002004	2.137000E+00	  0.021002004	-2.098500E+01
7	  0.021202406	-6.360000E-01	  0.021202406	-1.359530E+02	  0.021202406	2.131000E+00	  0.021202406	-2.019300E+01
8	  0.021402806	-6.370000E-01	  0.021402806	-1.374940E+02	  0.021402806	2.110000E+00	  0.021402806	-1.941600E+01
9	  0.021603208	-6.440000E-01	  0.021603208	-1.390370E+02	  0.021603208	2.111000E+00	  0.021603208	-1.864600E+01
10	  0.021803608	-6.500000E-01	  0.021803608	-1.405840E+02	  0.021803608	2.109000E+00	  0.021803608	-1.788100E+01
11	  0.022004008	-6.550000E-01	  0.022004008	-1.421310E+02	  0.022004008	2.108000E+00	  0.022004008	-1.712400E+01
12	  0.022204408	-6.620000E-01	  0.022204408	-1.437140E+02	  0.022204408	2.111000E+00	  0.022204408	-1.635700E+01
13	  0.022404809	-6.680000E-01	  0.022404809	-1.453260E+02	  0.022404809	2.111000E+00	  0.022404809	-1.558300E+01
14	  0.022605211	-6.730000E-01	  0.022605211	-1.469260E+02	  0.022605211	2.109000E+00	  0.022605211	-1.482100E+01
15	  0.022805611	-6.850000E-01	  0.022805611	-1.485310E+02	  0.022805611	2.127000E+00	  0.022805611	-1.406200E+01
16	  0.023006011	-6.900000E-01	  0.023006011	-1.501280E+02	  0.023006011	2.128000E+00	  0.023006011	-1.331400E+01
17	  0.023206413	-6.940000E-01	  0.023206413	-1.517430E+02	  0.023206413	2.125000E+00	  0.023206413	-1.256300E+01
