! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/top250.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 01:10:11 PM	05/10/2018 01:05:27 PM
! INTERNAL TEMP:    	50.8 C	49.8 C
! # POINTS:         	492	492
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.396 793 MHz	118.396 793 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:51.36°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(52.411 ohm, 1.110 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.882000E+01	  0.020000000	5.136000E+01	  0.020000000	5.071200E+01	  0.020000000	9.070000E-01
2	  0.020200402	-3.880500E+01	  0.020200402	5.113800E+01	  0.020200402	5.071600E+01	  0.020200402	9.060000E-01
3	  0.020400802	-3.878200E+01	  0.020400802	5.112900E+01	  0.020400802	5.071900E+01	  0.020400802	9.080000E-01
4	  0.020601204	-3.863500E+01	  0.020601204	5.103600E+01	  0.020601204	5.073200E+01	  0.020601204	9.230000E-01
5	  0.020801604	-3.861400E+01	  0.020801604	5.105800E+01	  0.020801604	5.073400E+01	  0.020801604	9.250000E-01
6	  0.021002004	-3.848300E+01	  0.021002004	5.064200E+01	  0.021002004	5.075200E+01	  0.021002004	9.340000E-01
7	  0.021202406	-3.845900E+01	  0.021202406	5.137200E+01	  0.021202406	5.074200E+01	  0.021202406	9.460000E-01
8	  0.021402806	-3.841100E+01	  0.021402806	5.108000E+01	  0.021402806	5.075100E+01	  0.021402806	9.480000E-01
9	  0.021603208	-3.840700E+01	  0.021603208	5.080700E+01	  0.021603208	5.075600E+01	  0.021603208	9.450000E-01
10	  0.021803608	-3.828600E+01	  0.021803608	5.098500E+01	  0.021803608	5.076300E+01	  0.021803608	9.610000E-01
11	  0.022004008	-3.826400E+01	  0.022004008	5.090300E+01	  0.022004008	5.076600E+01	  0.022004008	9.620000E-01
12	  0.022204408	-3.829500E+01	  0.022204408	5.077000E+01	  0.022204408	5.076600E+01	  0.022204408	9.570000E-01
13	  0.022404809	-3.819500E+01	  0.022404809	5.025200E+01	  0.022404809	5.078400E+01	  0.022404809	9.610000E-01
14	  0.022605211	-3.811000E+01	  0.022605211	5.024800E+01	  0.022605211	5.079100E+01	  0.022605211	9.700000E-01
15	  0.022805611	-3.801800E+01	  0.022805611	5.033700E+01	  0.022805611	5.079800E+01	  0.022805611	9.820000E-01
16	  0.023006011	-3.797600E+01	  0.023006011	5.057800E+01	  0.023006011	5.079800E+01	  0.023006011	9.900000E-01
17	  0.023206413	-3.794800E+01	  0.023206413	5.040800E+01	  0.023206413	5.080300E+01	  0.023206413	9.910000E-01
18	  0.023406813	-3.785400E+01	  0.023406813	5.035000E+01	  0.023406813	5.081300E+01	  0.023406813	1.001000E+00
19	  0.023607215	-3.779300E+01	  0.023607215	5.016500E+01	  0.023607215	5.082200E+01	  0.023607215	1.006000E+00
20	  0.023807615	-3.782200E+01	  0.023807615	4.992600E+01	  0.023807615	5.082400E+01	  0.023807615	9.990000E-01
21	  0.024008015	-3.774300E+01	  0.024008015	5.017200E+01	  0.024008015	5.082700E+01	  0.024008015	1.012000E+00
22	  0.024208417	-3.771900E+01	  0.024208417	5.032900E+01	  0.024208417	5.082600E+01	  0.024208417	1.017000E+00
23	  0.024408817	-3.766900E+01	  0.024408817	4.956800E+01	  0.024408817	5.084500E+01	  0.024408817	1.012000E+00
24	  0.024609219	-3.762500E+01	  0.024609219	4.975600E+01	  0.024609219	5.084600E+01	  0.024609219	1.020000E+00
25	  0.024809619	-3.750200E+01	  0.024809619	4.978900E+01	  0.024809619	5.085700E+01	  0.024809619	1.035000E+00
26	  0.025010020	-3.755400E+01	  0.025010020	4.982600E+01	  0.025010020	5.085100E+01	  0.025010020	1.029000E+00
27	  0.025210422	-3.744300E+01	  0.025210422	4.989400E+01	  0.025210422	5.086100E+01	  0.025210422	1.044000E+00
28	  0.025410822	-3.741700E+01	  0.025410822	5.006000E+01	  0.025410822	5.086000E+01	  0.025410822	1.050000E+00
29	  0.025611224	-3.741000E+01	  0.025611224	4.968800E+01	  0.025611224	5.086800E+01	  0.025611224	1.045000E+00
30	  0.025811624	-3.730800E+01	  0.025811624	4.962500E+01	  0.025811624	5.087900E+01	  0.025811624	1.057000E+00
31	  0.026012026	-3.728000E+01	  0.026012026	4.945300E+01	  0.026012026	5.088500E+01	  0.026012026	1.057000E+00
32	  0.026212426	-3.721500E+01	  0.026212426	4.961200E+01	  0.026212426	5.088900E+01	  0.026212426	1.068000E+00
33	  0.026412826	-3.717600E+01	  0.026412826	4.915100E+01	  0.026412826	5.090200E+01	  0.026412826	1.066000E+00
34	  0.026613226	-3.719300E+01	  0.026613226	4.980200E+01	  0.026613226	5.088800E+01	  0.026613226	1.074000E+00
35	  0.026813626	-3.708300E+01	  0.026813626	4.931700E+01	  0.026813626	5.090800E+01	  0.026813626	1.080000E+00
36	  0.027014028	-3.709100E+01	  0.027014028	4.898500E+01	  0.027014028	5.091400E+01	  0.027014028	1.074000E+00
37	  0.027214428	-3.699900E+01	  0.027214428	4.906300E+01	  0.027214428	5.092200E+01	  0.027214428	1.087000E+00
38	  0.027414829	-3.697000E+01	  0.027414829	4.925500E+01	  0.027414829	5.092100E+01	  0.027414829	1.093000E+00
39	  0.027615231	-3.691700E+01	  0.027615231	4.880800E+01	  0.027615231	5.093600E+01	  0.027615231	1.093000E+00
40	  0.027815631	-3.693100E+01	  0.027815631	4.865600E+01	  0.027815631	5.093700E+01	  0.027815631	1.089000E+00
41	  0.028016033	-3.680800E+01	  0.028016033	4.901800E+01	  0.028016033	5.094300E+01	  0.028016033	1.110000E+00
42	  0.028216433	-3.678300E+01	  0.028216433	4.870000E+01	  0.028216433	5.095200E+01	  0.028216433	1.108000E+00
43	  0.028416833	-3.675400E+01	  0.028416833	4.887300E+01	  0.028416833	5.095200E+01	  0.028416833	1.115000E+00
44	  0.028617235	-3.669200E+01	  0.028617235	4.903500E+01	  0.028617235	5.095600E+01	  0.028617235	1.126000E+00
45	  0.028817635	-3.663800E+01	  0.028817635	4.872400E+01	  0.028817635	5.096800E+01	  0.028817635	1.128000E+00
46	  0.029018037	-3.668100E+01	  0.029018037	4.863200E+01	  0.029018037	5.096500E+01	  0.029018037	1.121000E+00
47	  0.029218437	-3.657700E+01	  0.029218437	4.839000E+01	  0.029218437	5.098100E+01	  0.029218437	1.130000E+00
48	  0.029418837	-3.657100E+01	  0.029418837	4.834900E+01	  0.029418837	5.098300E+01	  0.029418837	1.130000E+00
49	  0.029619239	-3.653600E+01	  0.029619239	4.838200E+01	  0.029619239	5.098600E+01	  0.029619239	1.136000E+00
50	  0.029819639	-3.653800E+01	  0.029819639	4.817400E+01	  0.029819639	5.099000E+01	  0.029819639	1.132000E+00
51	  0.030020041	-3.645100E+01	  0.030020041	4.824300E+01	  0.030020041	5.099900E+01	  0.030020041	1.145000E+00
52	  0.030220442	-3.643500E+01	  0.030220442	4.827800E+01	  0.030220442	5.100000E+01	  0.030220442	1.147000E+00
53	  0.030420844	-3.639800E+01	  0.030420844	4.789400E+01	  0.030420844	5.101200E+01	  0.030420844	1.146000E+00
54	  0.030621244	-3.633300E+01	  0.030621244	4.794300E+01	  0.030621244	5.101800E+01	  0.030621244	1.155000E+00
55	  0.030821642	-3.631900E+01	  0.030821642	4.768400E+01	  0.030821642	5.102500E+01	  0.030821642	1.153000E+00
56	  0.031022044	-3.627900E+01	  0.031022044	4.789400E+01	  0.031022044	5.102600E+01	  0.031022044	1.162000E+00
57	  0.031222444	-3.624000E+01	  0.031222444	4.768300E+01	  0.031222444	5.103500E+01	  0.031222444	1.163000E+00
58	  0.031422846	-3.624000E+01	  0.031422846	4.791700E+01	  0.031422846	5.103000E+01	  0.031422846	1.168000E+00
59	  0.031623244	-3.612900E+01	  0.031623244	4.735100E+01	  0.031623244	5.105500E+01	  0.031623244	1.173000E+00
60	  0.031823646	-3.612100E+01	  0.031823646	4.751500E+01	  0.031823646	5.105300E+01	  0.031823646	1.177000E+00
61	  0.032024048	-3.611900E+01	  0.032024048	4.727200E+01	  0.032024048	5.105800E+01	  0.032024048	1.172000E+00
62	  0.032224450	-3.602000E+01	  0.032224450	4.767500E+01	  0.032224450	5.106100E+01	  0.032224450	1.194000E+00
63	  0.032424849	-3.600200E+01	  0.032424849	4.683200E+01	  0.032424849	5.108200E+01	  0.032424849	1.180000E+00
64	  0.032625251	-3.599300E+01	  0.032625251	4.727300E+01	  0.032625251	5.107300E+01	  0.032625251	1.190000E+00
65	  0.032825653	-3.595500E+01	  0.032825653	4.718100E+01	  0.032825653	5.108000E+01	  0.032825653	1.194000E+00
66	  0.033026051	-3.585200E+01	  0.033026051	4.691900E+01	  0.033026051	5.109900E+01	  0.033026051	1.203000E+00
67	  0.033226453	-3.589200E+01	  0.033226453	4.698300E+01	  0.033226453	5.109200E+01	  0.033226453	1.199000E+00
68	  0.033426855	-3.582700E+01	  0.033426855	4.678400E+01	  0.033426855	5.110500E+01	  0.033426855	1.204000E+00
69	  0.033627257	-3.580000E+01	  0.033627257	4.688700E+01	  0.033627257	5.110600E+01	  0.033627257	1.210000E+00
70	  0.033827655	-3.574200E+01	  0.033827655	4.631100E+01	  0.033827655	5.112600E+01	  0.033827655	1.207000E+00
71	  0.034028057	-3.572500E+01	  0.034028057	4.655000E+01	  0.034028057	5.112300E+01	  0.034028057	1.214000E+00
72	  0.034228459	-3.567500E+01	  0.034228459	4.657700E+01	  0.034228459	5.112900E+01	  0.034228459	1.222000E+00
73	  0.034428857	-3.567100E+01	  0.034428857	4.648600E+01	  0.034428857	5.113100E+01	  0.034428857	1.221000E+00
74	  0.034629259	-3.561100E+01	  0.034629259	4.623600E+01	  0.034629259	5.114400E+01	  0.034629259	1.224000E+00
75	  0.034829661	-3.560500E+01	  0.034829661	4.628000E+01	  0.034829661	5.114400E+01	  0.034829661	1.226000E+00
76	  0.035030060	-3.555100E+01	  0.035030060	4.624700E+01	  0.035030060	5.115200E+01	  0.035030060	1.233000E+00
77	  0.035230462	-3.556000E+01	  0.035230462	4.600400E+01	  0.035230462	5.115600E+01	  0.035230462	1.227000E+00
78	  0.035430863	-3.547100E+01	  0.035430863	4.595100E+01	  0.035430863	5.116900E+01	  0.035430863	1.239000E+00
79	  0.035631265	-3.547500E+01	  0.035631265	4.591600E+01	  0.035631265	5.116900E+01	  0.035631265	1.237000E+00
80	  0.035831664	-3.541200E+01	  0.035831664	4.560800E+01	  0.035831664	5.118500E+01	  0.035831664	1.240000E+00
81	  0.036032066	-3.540100E+01	  0.036032066	4.541300E+01	  0.036032066	5.119100E+01	  0.036032066	1.238000E+00
82	  0.036232468	-3.532900E+01	  0.036232468	4.558600E+01	  0.036232468	5.119700E+01	  0.036232468	1.252000E+00
83	  0.036432866	-3.532300E+01	  0.036432866	4.529200E+01	  0.036432866	5.120400E+01	  0.036432866	1.247000E+00
84	  0.036633268	-3.532200E+01	  0.036633268	4.530600E+01	  0.036633268	5.120400E+01	  0.036633268	1.247000E+00
85	  0.036833670	-3.525600E+01	  0.036833670	4.528000E+01	  0.036833670	5.121400E+01	  0.036833670	1.257000E+00
86	  0.037034072	-3.522100E+01	  0.037034072	4.498700E+01	  0.037034072	5.122500E+01	  0.037034072	1.255000E+00
87	  0.037234470	-3.517600E+01	  0.037234470	4.503900E+01	  0.037234470	5.123000E+01	  0.037234470	1.263000E+00
88	  0.037434869	-3.525300E+01	  0.037434869	4.496000E+01	  0.037434869	5.122100E+01	  0.037434869	1.250000E+00
89	  0.037635271	-3.512100E+01	  0.037635271	4.486000E+01	  0.037635271	5.124200E+01	  0.037635271	1.268000E+00
90	  0.037835669	-3.509900E+01	  0.037835669	4.483100E+01	  0.037835669	5.124600E+01	  0.037835669	1.270000E+00
91	  0.038036071	-3.507500E+01	  0.038036071	4.469000E+01	  0.038036071	5.125300E+01	  0.038036071	1.271000E+00
92	  0.038236473	-3.506200E+01	  0.038236473	4.441200E+01	  0.038236473	5.126100E+01	  0.038236473	1.267000E+00
93	  0.038436871	-3.501800E+01	  0.038436871	4.460200E+01	  0.038436871	5.126300E+01	  0.038436871	1.277000E+00
94	  0.038637273	-3.502600E+01	  0.038637273	4.455200E+01	  0.038637273	5.126300E+01	  0.038637273	1.275000E+00
95	  0.038837675	-3.492200E+01	  0.038837675	4.417200E+01	  0.038837675	5.128700E+01	  0.038837675	1.282000E+00
96	  0.039038073	-3.497100E+01	  0.039038073	4.429500E+01	  0.039038073	5.127700E+01	  0.039038073	1.278000E+00
97	  0.039238475	-3.491100E+01	  0.039238475	4.411300E+01	  0.039238475	5.129000E+01	  0.039238475	1.283000E+00
98	  0.039438877	-3.492200E+01	  0.039438877	4.400800E+01	  0.039438877	5.129100E+01	  0.039438877	1.279000E+00
99	  0.039639279	-3.485800E+01	  0.039639279	4.380600E+01	  0.039639279	5.130500E+01	  0.039639279	1.284000E+00
100	  0.039839678	-3.484500E+01	  0.039839678	4.383700E+01	  0.039839678	5.130600E+01	  0.039839678	1.286000E+00
101	  0.040040080	-3.482700E+01	  0.040040080	4.402400E+01	  0.040040080	5.130500E+01	  0.040040080	1.293000E+00
102	  0.040240481	-3.477100E+01	  0.040240481	4.389400E+01	  0.040240481	5.131600E+01	  0.040240481	1.299000E+00
103	  0.040440880	-3.471100E+01	  0.040440880	4.349400E+01	  0.040440880	5.133500E+01	  0.040440880	1.299000E+00
104	  0.040641282	-3.475500E+01	  0.040641282	4.383700E+01	  0.040641282	5.132000E+01	  0.040641282	1.300000E+00
105	  0.040841684	-3.466400E+01	  0.040841684	4.329300E+01	  0.040841684	5.134600E+01	  0.040841684	1.301000E+00
106	  0.041042086	-3.464500E+01	  0.041042086	4.333500E+01	  0.041042086	5.134800E+01	  0.041042086	1.305000E+00
107	  0.041242484	-3.461800E+01	  0.041242484	4.328300E+01	  0.041242484	5.135400E+01	  0.041242484	1.308000E+00
108	  0.041442886	-3.462800E+01	  0.041442886	4.316100E+01	  0.041442886	5.135500E+01	  0.041442886	1.304000E+00
109	  0.041643288	-3.457500E+01	  0.041643288	4.302400E+01	  0.041643288	5.136700E+01	  0.041643288	1.309000E+00
110	  0.041843686	-3.451800E+01	  0.041843686	4.264900E+01	  0.041843686	5.138400E+01	  0.041843686	1.309000E+00
111	  0.042044088	-3.453600E+01	  0.042044088	4.272500E+01	  0.042044088	5.138000E+01	  0.042044088	1.308000E+00
112	  0.042244490	-3.453300E+01	  0.042244490	4.251700E+01	  0.042244490	5.138500E+01	  0.042244490	1.303000E+00
113	  0.042444889	-3.449900E+01	  0.042444889	4.254900E+01	  0.042444889	5.139000E+01	  0.042444889	1.309000E+00
