! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/top200_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 01:12:06 PM	05/10/2018 01:05:27 PM
! INTERNAL TEMP:    	51.3 C	49.8 C
! # POINTS:         	492	492
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.396 793 MHz	118.396 793 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-22.26°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(29.277 ohm, -50.740 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.572000E+00	  0.020000000	-2.225600E+01	  0.020000000	1.273920E+02	  0.020000000	-8.756300E+01
2	  0.020200402	-4.569000E+00	  0.020200402	-2.249800E+01	  0.020200402	1.264730E+02	  0.020200402	-8.789000E+01
3	  0.020400802	-4.568000E+00	  0.020400802	-2.271800E+01	  0.020400802	1.256240E+02	  0.020400802	-8.811700E+01
4	  0.020601204	-4.568000E+00	  0.020601204	-2.295500E+01	  0.020601204	1.247110E+02	  0.020601204	-8.833700E+01
5	  0.020801604	-4.567000E+00	  0.020801604	-2.318100E+01	  0.020801604	1.238520E+02	  0.020801604	-8.857900E+01
6	  0.021002004	-4.567000E+00	  0.021002004	-2.339400E+01	  0.021002004	1.230370E+02	  0.021002004	-8.876200E+01
7	  0.021202406	-4.567000E+00	  0.021202406	-2.362700E+01	  0.021202406	1.221490E+02	  0.021202406	-8.893900E+01
8	  0.021402806	-4.565000E+00	  0.021402806	-2.386600E+01	  0.021402806	1.212540E+02	  0.021402806	-8.917000E+01
9	  0.021603208	-4.566000E+00	  0.021603208	-2.409500E+01	  0.021603208	1.203870E+02	  0.021603208	-8.930700E+01
10	  0.021803608	-4.567000E+00	  0.021803608	-2.431100E+01	  0.021803608	1.195760E+02	  0.021803608	-8.943400E+01
11	  0.022004008	-4.567000E+00	  0.022004008	-2.454300E+01	  0.022004008	1.187120E+02	  0.022004008	-8.959500E+01
12	  0.022204408	-4.566000E+00	  0.022204408	-2.477100E+01	  0.022204408	1.178710E+02	  0.022204408	-8.975000E+01
13	  0.022404809	-4.565000E+00	  0.022404809	-2.501200E+01	  0.022404809	1.169870E+02	  0.022404809	-8.989900E+01
14	  0.022605211	-4.567000E+00	  0.022605211	-2.522500E+01	  0.022605211	1.162020E+02	  0.022605211	-8.997300E+01
15	  0.022805611	-4.566000E+00	  0.022805611	-2.546400E+01	  0.022805611	1.153350E+02	  0.022805611	-9.010600E+01
16	  0.023006011	-4.569000E+00	  0.023006011	-2.568900E+01	  0.023006011	1.145150E+02	  0.023006011	-9.015100E+01
