! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4a.47.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 03:00:44 PM	05/26/2018 02:51:55 PM
! INTERNAL TEMP:    	59.5 C	59.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-3.800000E-02	  0.020000000	-5.617900E+01	  0.020000000	5.030000E-01	  0.020000000	-9.368000E+01
2	  0.020200402	-3.400000E-02	  0.020200402	-5.675500E+01	  0.020200402	4.450000E-01	  0.020200402	-9.255700E+01
3	  0.020400802	-3.100000E-02	  0.020400802	-5.729400E+01	  0.020400802	3.980000E-01	  0.020400802	-9.152500E+01
4	  0.020601204	-3.100000E-02	  0.020601204	-5.782300E+01	  0.020601204	3.910000E-01	  0.020601204	-9.053000E+01
5	  0.020801604	-2.900000E-02	  0.020801604	-5.837800E+01	  0.020801604	3.580000E-01	  0.020801604	-8.950200E+01
6	  0.021002004	-2.800000E-02	  0.021002004	-5.894700E+01	  0.021002004	3.440000E-01	  0.021002004	-8.846800E+01
7	  0.021202406	-2.900000E-02	  0.021202406	-5.949300E+01	  0.021202406	3.500000E-01	  0.021202406	-8.749300E+01
8	  0.021402806	-2.900000E-02	  0.021402806	-6.003800E+01	  0.021402806	3.420000E-01	  0.021402806	-8.653400E+01
9	  0.021603208	-3.200000E-02	  0.021603208	-6.056100E+01	  0.021603208	3.710000E-01	  0.021603208	-8.562800E+01
10	  0.021803608	-3.700000E-02	  0.021803608	-6.108700E+01	  0.021803608	4.200000E-01	  0.021803608	-8.473300E+01
11	  0.022004008	-4.000000E-02	  0.022004008	-6.160300E+01	  0.022004008	4.400000E-01	  0.022004008	-8.386800E+01
12	  0.022204408	-4.100000E-02	  0.022204408	-6.214700E+01	  0.022204408	4.470000E-01	  0.022204408	-8.297000E+01
13	  0.022404809	-4.200000E-02	  0.022404809	-6.271100E+01	  0.022404809	4.540000E-01	  0.022404809	-8.205300E+01
14	  0.022605211	-4.300000E-02	  0.022605211	-6.328000E+01	  0.022605211	4.550000E-01	  0.022605211	-8.114300E+01
15	  0.022805611	-4.600000E-02	  0.022805611	-6.381700E+01	  0.022805611	4.760000E-01	  0.022805611	-8.029800E+01
16	  0.023006011	-3.800000E-02	  0.023006011	-6.436800E+01	  0.023006011	3.920000E-01	  0.023006011	-7.944500E+01
17	  0.023206413	-3.000000E-02	  0.023206413	-6.493500E+01	  0.023206413	3.030000E-01	  0.023206413	-7.858100E+01
18	  0.023406813	-2.200000E-02	  0.023406813	-6.550300E+01	  0.023406813	2.230000E-01	  0.023406813	-7.772800E+01
19	  0.023607215	-2.200000E-02	  0.023607215	-6.606200E+01	  0.023607215	2.170000E-01	  0.023607215	-7.690000E+01
20	  0.023807615	-1.900000E-02	  0.023807615	-6.659000E+01	  0.023807615	1.900000E-01	  0.023807615	-7.613100E+01
21	  0.024008015	-2.400000E-02	  0.024008015	-6.708400E+01	  0.024008015	2.300000E-01	  0.024008015	-7.542000E+01
22	  0.024208417	-2.800000E-02	  0.024208417	-6.759000E+01	  0.024208417	2.660000E-01	  0.024208417	-7.470200E+01
23	  0.024408817	-3.500000E-02	  0.024408817	-6.805500E+01	  0.024408817	3.240000E-01	  0.024408817	-7.405000E+01
