! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4a.me3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 03:29:16 PM	05/26/2018 02:51:55 PM
! INTERNAL TEMP:    	59.8 C	59.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.610000E-01	  0.020000000	-1.260070E+02	  0.020000000	2.395000E+00	  0.020000000	-2.542500E+01
2	  0.020200402	-6.590000E-01	  0.020200402	-1.275240E+02	  0.020200402	2.358000E+00	  0.020200402	-2.460000E+01
3	  0.020400802	-6.580000E-01	  0.020400802	-1.289970E+02	  0.020400802	2.323000E+00	  0.020400802	-2.380800E+01
4	  0.020601204	-6.590000E-01	  0.020601204	-1.304690E+02	  0.020601204	2.298000E+00	  0.020601204	-2.302600E+01
5	  0.020801604	-6.620000E-01	  0.020801604	-1.319560E+02	  0.020801604	2.282000E+00	  0.020801604	-2.224500E+01
6	  0.021002004	-6.680000E-01	  0.021002004	-1.334980E+02	  0.021002004	2.278000E+00	  0.021002004	-2.144400E+01
7	  0.021202406	-6.750000E-01	  0.021202406	-1.350320E+02	  0.021202406	2.275000E+00	  0.021202406	-2.065700E+01
8	  0.021402806	-6.790000E-01	  0.021402806	-1.365950E+02	  0.021402806	2.265000E+00	  0.021402806	-1.986400E+01
9	  0.021603208	-6.840000E-01	  0.021603208	-1.381460E+02	  0.021603208	2.256000E+00	  0.021603208	-1.908500E+01
10	  0.021803608	-6.890000E-01	  0.021803608	-1.397100E+02	  0.021803608	2.249000E+00	  0.021803608	-1.830800E+01
11	  0.022004008	-6.940000E-01	  0.022004008	-1.412680E+02	  0.022004008	2.245000E+00	  0.022004008	-1.754200E+01
12	  0.022204408	-6.940000E-01	  0.022204408	-1.428800E+02	  0.022204408	2.224000E+00	  0.022204408	-1.675800E+01
13	  0.022404809	-6.950000E-01	  0.022404809	-1.444730E+02	  0.022404809	2.206000E+00	  0.022404809	-1.598900E+01
14	  0.022605211	-6.990000E-01	  0.022605211	-1.460460E+02	  0.022605211	2.199000E+00	  0.022605211	-1.523700E+01
15	  0.022805611	-7.000000E-01	  0.022805611	-1.476130E+02	  0.022805611	2.185000E+00	  0.022805611	-1.449400E+01
16	  0.023006011	-6.980000E-01	  0.023006011	-1.491760E+02	  0.023006011	2.162000E+00	  0.023006011	-1.375900E+01
17	  0.023206413	-7.040000E-01	  0.023206413	-1.507660E+02	  0.023206413	2.163000E+00	  0.023206413	-1.301600E+01
18	  0.023406813	-7.120000E-01	  0.023406813	-1.523720E+02	  0.023406813	2.173000E+00	  0.023406813	-1.227100E+01
19	  0.023607215	-7.190000E-01	  0.023607215	-1.539860E+02	  0.023607215	2.180000E+00	  0.023607215	-1.152800E+01
