! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4a.r20.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 03:05:59 PM	05/26/2018 02:51:55 PM
! INTERNAL TEMP:    	59.3 C	59.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.295000E+00	  0.020000000	1.543710E+02	  0.020000000	2.070200E+01	  0.020000000	9.503000E+00
2	  0.020200402	-7.294000E+00	  0.020200402	1.541210E+02	  0.020200402	2.071700E+01	  0.020200402	9.598000E+00
3	  0.020400802	-7.296000E+00	  0.020400802	1.538860E+02	  0.020400802	2.073900E+01	  0.020400802	9.686000E+00
4	  0.020601204	-7.295000E+00	  0.020601204	1.535930E+02	  0.020601204	2.075600E+01	  0.020601204	9.797000E+00
5	  0.020801604	-7.292000E+00	  0.020801604	1.533500E+02	  0.020801604	2.076800E+01	  0.020801604	9.890000E+00
6	  0.021002004	-7.288000E+00	  0.021002004	1.530930E+02	  0.021002004	2.077600E+01	  0.021002004	9.989000E+00
7	  0.021202406	-7.290000E+00	  0.021202406	1.528250E+02	  0.021202406	2.079900E+01	  0.021202406	1.009000E+01
8	  0.021402806	-7.293000E+00	  0.021402806	1.525610E+02	  0.021402806	2.082600E+01	  0.021402806	1.018900E+01
9	  0.021603208	-7.294000E+00	  0.021603208	1.523090E+02	  0.021603208	2.084800E+01	  0.021603208	1.028300E+01
10	  0.021803608	-7.298000E+00	  0.021803608	1.520550E+02	  0.021803608	2.087600E+01	  0.021803608	1.037800E+01
11	  0.022004008	-7.304000E+00	  0.022004008	1.517980E+02	  0.022004008	2.091000E+01	  0.022004008	1.047200E+01
12	  0.022204408	-7.302000E+00	  0.022204408	1.515560E+02	  0.022204408	2.092600E+01	  0.022204408	1.056500E+01
13	  0.022404809	-7.301000E+00	  0.022404809	1.512790E+02	  0.022404809	2.094300E+01	  0.022404809	1.067100E+01
14	  0.022605211	-7.305000E+00	  0.022605211	1.510390E+02	  0.022605211	2.097300E+01	  0.022605211	1.076000E+01
15	  0.022805611	-7.308000E+00	  0.022805611	1.507540E+02	  0.022805611	2.100300E+01	  0.022805611	1.086600E+01
16	  0.023006011	-7.306000E+00	  0.023006011	1.505180E+02	  0.023006011	2.101700E+01	  0.023006011	1.095700E+01
17	  0.023206413	-7.301000E+00	  0.023206413	1.502290E+02	  0.023206413	2.102700E+01	  0.023206413	1.107000E+01
18	  0.023406813	-7.299000E+00	  0.023406813	1.499660E+02	  0.023406813	2.104500E+01	  0.023406813	1.117100E+01
19	  0.023607215	-7.296000E+00	  0.023607215	1.496550E+02	  0.023607215	2.106100E+01	  0.023607215	1.129100E+01
20	  0.023807615	-7.293000E+00	  0.023807615	1.494090E+02	  0.023807615	2.107600E+01	  0.023807615	1.138600E+01
21	  0.024008015	-7.292000E+00	  0.024008015	1.491480E+02	  0.024008015	2.109500E+01	  0.024008015	1.148700E+01
22	  0.024208417	-7.290000E+00	  0.024208417	1.489300E+02	  0.024208417	2.110800E+01	  0.024208417	1.157100E+01
23	  0.024408817	-7.292000E+00	  0.024408817	1.486980E+02	  0.024408817	2.113300E+01	  0.024408817	1.165900E+01
24	  0.024609219	-7.296000E+00	  0.024609219	1.484800E+02	  0.024609219	2.116300E+01	  0.024609219	1.173900E+01
25	  0.024809619	-7.295000E+00	  0.024809619	1.482630E+02	  0.024809619	2.117900E+01	  0.024809619	1.182300E+01
26	  0.025010020	-7.296000E+00	  0.025010020	1.480420E+02	  0.025010020	2.119900E+01	  0.025010020	1.190700E+01
27	  0.025210422	-7.301000E+00	  0.025210422	1.477900E+02	  0.025210422	2.123500E+01	  0.025210422	1.200100E+01
28	  0.025410822	-7.305000E+00	  0.025410822	1.475210E+02	  0.025410822	2.127000E+01	  0.025410822	1.210100E+01
29	  0.025611224	-7.310000E+00	  0.025611224	1.472810E+02	  0.025611224	2.130400E+01	  0.025611224	1.219000E+01
30	  0.025811624	-7.305000E+00	  0.025811624	1.470020E+02	  0.025811624	2.131700E+01	  0.025811624	1.230000E+01
31	  0.026012026	-7.304000E+00	  0.026012026	1.467180E+02	  0.026012026	2.134100E+01	  0.026012026	1.240900E+01
32	  0.026212426	-7.300000E+00	  0.026212426	1.464530E+02	  0.026212426	2.135500E+01	  0.026212426	1.251400E+01
33	  0.026412826	-7.302000E+00	  0.026412826	1.461790E+02	  0.026412826	2.138500E+01	  0.026412826	1.261800E+01
34	  0.026613226	-7.301000E+00	  0.026613226	1.459290E+02	  0.026613226	2.140700E+01	  0.026613226	1.271400E+01
35	  0.026813626	-7.300000E+00	  0.026813626	1.457090E+02	  0.026813626	2.142400E+01	  0.026813626	1.280000E+01
36	  0.027014028	-7.303000E+00	  0.027014028	1.454680E+02	  0.027014028	2.145500E+01	  0.027014028	1.289100E+01
37	  0.027214428	-7.306000E+00	  0.027214428	1.452760E+02	  0.027214428	2.148100E+01	  0.027214428	1.296300E+01
38	  0.027414829	-7.304000E+00	  0.027414829	1.450570E+02	  0.027414829	2.149900E+01	  0.027414829	1.304800E+01
39	  0.027615231	-7.310000E+00	  0.027615231	1.448190E+02	  0.027615231	2.153600E+01	  0.027615231	1.313600E+01
40	  0.027815631	-7.314000E+00	  0.027815631	1.445500E+02	  0.027815631	2.157400E+01	  0.027815631	1.323700E+01
41	  0.028016033	-7.318000E+00	  0.028016033	1.442570E+02	  0.028016033	2.161200E+01	  0.028016033	1.334800E+01
42	  0.028216433	-7.321000E+00	  0.028216433	1.439610E+02	  0.028216433	2.165000E+01	  0.028216433	1.346000E+01
43	  0.028416833	-7.320000E+00	  0.028416833	1.436590E+02	  0.028416833	2.168000E+01	  0.028416833	1.357700E+01
44	  0.028617235	-7.321000E+00	  0.028617235	1.433700E+02	  0.028617235	2.171100E+01	  0.028617235	1.368900E+01
45	  0.028817635	-7.319000E+00	  0.028817635	1.430630E+02	  0.028817635	2.173900E+01	  0.028817635	1.380800E+01
46	  0.029018037	-7.315000E+00	  0.029018037	1.427740E+02	  0.029018037	2.175800E+01	  0.029018037	1.392300E+01
47	  0.029218437	-7.313000E+00	  0.029218437	1.424890E+02	  0.029218437	2.178500E+01	  0.029218437	1.403500E+01
48	  0.029418837	-7.308000E+00	  0.029418837	1.422400E+02	  0.029418837	2.179700E+01	  0.029418837	1.413500E+01
49	  0.029619239	-7.301000E+00	  0.029619239	1.420220E+02	  0.029619239	2.180200E+01	  0.029619239	1.422500E+01
50	  0.029819639	-7.296000E+00	  0.029819639	1.418100E+02	  0.029819639	2.181200E+01	  0.029819639	1.431100E+01
51	  0.030020041	-7.293000E+00	  0.030020041	1.416280E+02	  0.030020041	2.182500E+01	  0.030020041	1.438400E+01
52	  0.030220442	-7.291000E+00	  0.030220442	1.414240E+02	  0.030220442	2.184200E+01	  0.030220442	1.446500E+01
53	  0.030420844	-7.295000E+00	  0.030420844	1.412390E+02	  0.030420844	2.187500E+01	  0.030420844	1.453400E+01
54	  0.030621244	-7.301000E+00	  0.030621244	1.410150E+02	  0.030621244	2.191500E+01	  0.030621244	1.461600E+01
55	  0.030821644	-7.309000E+00	  0.030821644	1.407500E+02	  0.030821644	2.196500E+01	  0.030821644	1.471400E+01
56	  0.031022044	-7.310000E+00	  0.031022044	1.404740E+02	  0.031022044	2.200000E+01	  0.031022044	1.482100E+01
57	  0.031222444	-7.301000E+00	  0.031222444	1.402190E+02	  0.031222444	2.200500E+01	  0.031222444	1.492700E+01
58	  0.031422846	-7.304000E+00	  0.031422846	1.399400E+02	  0.031422846	2.204500E+01	  0.031422846	1.503400E+01
59	  0.031623244	-7.308000E+00	  0.031623244	1.396480E+02	  0.031623244	2.208900E+01	  0.031623244	1.514500E+01
60	  0.031823646	-7.305000E+00	  0.031823646	1.394010E+02	  0.031823646	2.211000E+01	  0.031823646	1.524400E+01
61	  0.032024048	-7.304000E+00	  0.032024048	1.391120E+02	  0.032024048	2.214200E+01	  0.032024048	1.535800E+01
62	  0.032224450	-7.298000E+00	  0.032224450	1.388380E+02	  0.032224450	2.215800E+01	  0.032224450	1.547000E+01
63	  0.032424849	-7.292000E+00	  0.032424849	1.386150E+02	  0.032424849	2.216900E+01	  0.032424849	1.556300E+01
64	  0.032625251	-7.288000E+00	  0.032625251	1.383580E+02	  0.032625251	2.218900E+01	  0.032625251	1.566700E+01
65	  0.032825653	-7.288000E+00	  0.032825653	1.381020E+02	  0.032825653	2.222000E+01	  0.032825653	1.576800E+01
66	  0.033026051	-7.289000E+00	  0.033026051	1.378730E+02	  0.033026051	2.225200E+01	  0.033026051	1.585700E+01
67	  0.033226453	-7.292000E+00	  0.033226453	1.376160E+02	  0.033226453	2.229100E+01	  0.033226453	1.595600E+01
68	  0.033426855	-7.294000E+00	  0.033426855	1.373460E+02	  0.033426855	2.233000E+01	  0.033426855	1.606100E+01
69	  0.033627257	-7.298000E+00	  0.033627257	1.370850E+02	  0.033627257	2.237400E+01	  0.033627257	1.616000E+01
70	  0.033827655	-7.300000E+00	  0.033827655	1.367750E+02	  0.033827655	2.241800E+01	  0.033827655	1.628100E+01
71	  0.034028057	-7.300000E+00	  0.034028057	1.364760E+02	  0.034028057	2.245600E+01	  0.034028057	1.639900E+01
72	  0.034228459	-7.303000E+00	  0.034228459	1.361790E+02	  0.034228459	2.250300E+01	  0.034228459	1.651400E+01
73	  0.034428857	-7.302000E+00	  0.034428857	1.359110E+02	  0.034428857	2.253400E+01	  0.034428857	1.662100E+01
74	  0.034629259	-7.300000E+00	  0.034629259	1.356520E+02	  0.034629259	2.256500E+01	  0.034629259	1.672500E+01
75	  0.034829661	-7.292000E+00	  0.034829661	1.354010E+02	  0.034829661	2.257700E+01	  0.034829661	1.683200E+01
76	  0.035030060	-7.281000E+00	  0.035030060	1.351370E+02	  0.035030060	2.258200E+01	  0.035030060	1.694600E+01
77	  0.035230462	-7.274000E+00	  0.035230462	1.349080E+02	  0.035230462	2.259300E+01	  0.035230462	1.704400E+01
78	  0.035430863	-7.261000E+00	  0.035430863	1.346830E+02	  0.035430863	2.259200E+01	  0.035430863	1.714500E+01
79	  0.035631265	-7.253000E+00	  0.035631265	1.345020E+02	  0.035631265	2.259400E+01	  0.035631265	1.722400E+01
80	  0.035831664	-7.255000E+00	  0.035831664	1.343660E+02	  0.035831664	2.261800E+01	  0.035831664	1.727600E+01
81	  0.036032066	-7.258000E+00	  0.036032066	1.341980E+02	  0.036032066	2.264800E+01	  0.036032066	1.734100E+01
82	  0.036232468	-7.265000E+00	  0.036232468	1.339910E+02	  0.036232468	2.269700E+01	  0.036232468	1.741700E+01
83	  0.036432866	-7.276000E+00	  0.036432866	1.337680E+02	  0.036432866	2.275500E+01	  0.036432866	1.749700E+01
84	  0.036633268	-7.283000E+00	  0.036633268	1.335090E+02	  0.036633268	2.281000E+01	  0.036633268	1.759300E+01
85	  0.036833670	-7.296000E+00	  0.036833670	1.332450E+02	  0.036833670	2.288100E+01	  0.036833670	1.768700E+01
86	  0.037034072	-7.297000E+00	  0.037034072	1.329670E+02	  0.037034072	2.292400E+01	  0.037034072	1.779700E+01
87	  0.037234470	-7.300000E+00	  0.037234470	1.327080E+02	  0.037234470	2.297000E+01	  0.037234470	1.789700E+01
88	  0.037434869	-7.303000E+00	  0.037434869	1.324110E+02	  0.037434869	2.302000E+01	  0.037434869	1.801300E+01
89	  0.037635271	-7.299000E+00	  0.037635271	1.321480E+02	  0.037635271	2.304800E+01	  0.037635271	1.812300E+01
90	  0.037835669	-7.295000E+00	  0.037835669	1.318730E+02	  0.037835669	2.307700E+01	  0.037835669	1.823700E+01
91	  0.038036071	-7.291000E+00	  0.038036071	1.315900E+02	  0.038036071	2.310800E+01	  0.038036071	1.835400E+01
92	  0.038236473	-7.287000E+00	  0.038236473	1.313750E+02	  0.038236473	2.313000E+01	  0.038236473	1.844500E+01
93	  0.038436871	-7.289000E+00	  0.038436871	1.311330E+02	  0.038436871	2.317000E+01	  0.038436871	1.854000E+01
94	  0.038637273	-7.296000E+00	  0.038637273	1.308710E+02	  0.038637273	2.322900E+01	  0.038637273	1.863900E+01
95	  0.038837675	-7.300000E+00	  0.038837675	1.306130E+02	  0.038837675	2.327900E+01	  0.038837675	1.873900E+01
96	  0.039038073	-7.305000E+00	  0.039038073	1.303210E+02	  0.039038073	2.333800E+01	  0.039038073	1.885100E+01
97	  0.039238475	-7.306000E+00	  0.039238475	1.300250E+02	  0.039238475	2.338300E+01	  0.039238475	1.897000E+01
98	  0.039438877	-7.307000E+00	  0.039438877	1.297000E+02	  0.039438877	2.343700E+01	  0.039438877	1.910100E+01
99	  0.039639279	-7.305000E+00	  0.039639279	1.294130E+02	  0.039639279	2.347700E+01	  0.039639279	1.921900E+01
100	  0.039839678	-7.302000E+00	  0.039839678	1.291480E+02	  0.039839678	2.351100E+01	  0.039839678	1.932900E+01
101	  0.040040080	-7.295000E+00	  0.040040080	1.288520E+02	  0.040040080	2.354000E+01	  0.040040080	1.945600E+01
102	  0.040240481	-7.288000E+00	  0.040240481	1.285990E+02	  0.040240481	2.356100E+01	  0.040240481	1.956600E+01
103	  0.040440880	-7.274000E+00	  0.040440880	1.283310E+02	  0.040440880	2.356700E+01	  0.040440880	1.969100E+01
104	  0.040641282	-7.262000E+00	  0.040641282	1.280690E+02	  0.040641282	2.357900E+01	  0.040641282	1.980900E+01
105	  0.040841684	-7.254000E+00	  0.040841684	1.278720E+02	  0.040841684	2.358900E+01	  0.040841684	1.989900E+01
106	  0.041042086	-7.246000E+00	  0.041042086	1.277110E+02	  0.041042086	2.359500E+01	  0.041042086	1.997300E+01
107	  0.041242484	-7.239000E+00	  0.041242484	1.275350E+02	  0.041242484	2.360500E+01	  0.041242484	2.005200E+01
108	  0.041442886	-7.244000E+00	  0.041442886	1.273940E+02	  0.041442886	2.364100E+01	  0.041442886	2.010400E+01
109	  0.041643288	-7.248000E+00	  0.041643288	1.272310E+02	  0.041643288	2.367900E+01	  0.041643288	2.016700E+01
110	  0.041843686	-7.257000E+00	  0.041843686	1.270320E+02	  0.041843686	2.373500E+01	  0.041843686	2.023900E+01
111	  0.042044088	-7.265000E+00	  0.042044088	1.267810E+02	  0.042044088	2.380000E+01	  0.042044088	2.033300E+01
112	  0.042244490	-7.269000E+00	  0.042244490	1.265940E+02	  0.042244490	2.384100E+01	  0.042244490	2.040500E+01
113	  0.042444889	-7.272000E+00	  0.042444889	1.263330E+02	  0.042444889	2.389600E+01	  0.042444889	2.050800E+01
114	  0.042645290	-7.278000E+00	  0.042645290	1.260930E+02	  0.042645290	2.395200E+01	  0.042645290	2.060000E+01
115	  0.042845692	-7.282000E+00	  0.042845692	1.258360E+02	  0.042845692	2.400900E+01	  0.042845692	2.070100E+01
116	  0.043046094	-7.278000E+00	  0.043046094	1.255370E+02	  0.043046094	2.405000E+01	  0.043046094	2.082800E+01
117	  0.043246493	-7.278000E+00	  0.043246493	1.252590E+02	  0.043246493	2.409700E+01	  0.043246493	2.094300E+01
118	  0.043446895	-7.276000E+00	  0.043446895	1.250180E+02	  0.043446895	2.413400E+01	  0.043446895	2.104500E+01
119	  0.043647297	-7.280000E+00	  0.043647297	1.247500E+02	  0.043647297	2.419300E+01	  0.043647297	2.115100E+01
120	  0.043847695	-7.280000E+00	  0.043847695	1.245180E+02	  0.043847695	2.423400E+01	  0.043847695	2.124600E+01
121	  0.044048097	-7.284000E+00	  0.044048097	1.242760E+02	  0.044048097	2.429000E+01	  0.044048097	2.134100E+01
122	  0.044248499	-7.290000E+00	  0.044248499	1.239730E+02	  0.044248499	2.436100E+01	  0.044248499	2.145900E+01
123	  0.044448901	-7.296000E+00	  0.044448901	1.236660E+02	  0.044448901	2.443400E+01	  0.044448901	2.157800E+01
