! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/4b.me4.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 05:24:21 PM	05/26/2018 05:08:07 PM
! INTERNAL TEMP:    	52.5 C	52.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.100000E-01	  0.020000000	-1.270650E+02	  0.020000000	2.191000E+00	  0.020000000	-2.485400E+01
2	  0.020200402	-6.080000E-01	  0.020200402	-1.285740E+02	  0.020200402	2.156000E+00	  0.020200402	-2.404000E+01
3	  0.020400802	-6.060000E-01	  0.020400802	-1.300790E+02	  0.020400802	2.121000E+00	  0.020400802	-2.323800E+01
4	  0.020601204	-6.050000E-01	  0.020601204	-1.315490E+02	  0.020601204	2.095000E+00	  0.020601204	-2.246400E+01
5	  0.020801604	-6.100000E-01	  0.020801604	-1.330430E+02	  0.020801604	2.087000E+00	  0.020801604	-2.168600E+01
6	  0.021002004	-6.140000E-01	  0.021002004	-1.345740E+02	  0.021002004	2.077000E+00	  0.021002004	-2.089700E+01
7	  0.021202406	-6.220000E-01	  0.021202406	-1.361200E+02	  0.021202406	2.081000E+00	  0.021202406	-2.010900E+01
8	  0.021402806	-6.270000E-01	  0.021402806	-1.376430E+02	  0.021402806	2.077000E+00	  0.021402806	-1.934200E+01
9	  0.021603208	-6.300000E-01	  0.021603208	-1.391880E+02	  0.021603208	2.063000E+00	  0.021603208	-1.857200E+01
10	  0.021803608	-6.370000E-01	  0.021803608	-1.407190E+02	  0.021803608	2.067000E+00	  0.021803608	-1.781600E+01
11	  0.022004008	-6.450000E-01	  0.022004008	-1.422840E+02	  0.022004008	2.072000E+00	  0.022004008	-1.705100E+01
12	  0.022204408	-6.480000E-01	  0.022204408	-1.438640E+02	  0.022204408	2.064000E+00	  0.022204408	-1.628600E+01
13	  0.022404809	-6.500000E-01	  0.022404809	-1.454470E+02	  0.022404809	2.051000E+00	  0.022404809	-1.552600E+01
14	  0.022605211	-6.510000E-01	  0.022605211	-1.470250E+02	  0.022605211	2.038000E+00	  0.022605211	-1.477500E+01
15	  0.022805611	-6.530000E-01	  0.022805611	-1.486110E+02	  0.022805611	2.027000E+00	  0.022805611	-1.402700E+01
16	  0.023006011	-6.580000E-01	  0.023006011	-1.501920E+02	  0.023006011	2.026000E+00	  0.023006011	-1.328600E+01
17	  0.023206413	-6.650000E-01	  0.023206413	-1.517940E+02	  0.023206413	2.034000E+00	  0.023206413	-1.254200E+01
18	  0.023406813	-6.760000E-01	  0.023406813	-1.534150E+02	  0.023406813	2.055000E+00	  0.023406813	-1.179300E+01
