! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/252b.r200.2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 12:38:13 PM	05/27/2018 12:21:44 PM
! INTERNAL TEMP:    	53.3 C	53.3 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(28.183 ohm, -49.145 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-4.560000E+00	  0.020000000	-2.292800E+01	  0.020000000	1.248640E+02	  0.020000000	-8.852100E+01
2	  0.020200402	-4.559000E+00	  0.020200402	-2.318300E+01	  0.020200402	1.238870E+02	  0.020200402	-8.877300E+01
3	  0.020400802	-4.558000E+00	  0.020400802	-2.346700E+01	  0.020400802	1.228070E+02	  0.020400802	-8.904000E+01
4	  0.020601204	-4.558000E+00	  0.020601204	-2.372800E+01	  0.020601204	1.218110E+02	  0.020601204	-8.923700E+01
5	  0.020801604	-4.555000E+00	  0.020801604	-2.400200E+01	  0.020801604	1.207920E+02	  0.020801604	-8.951900E+01
6	  0.021002004	-4.554000E+00	  0.021002004	-2.429300E+01	  0.021002004	1.196990E+02	  0.021002004	-8.973600E+01
7	  0.021202406	-4.554000E+00	  0.021202406	-2.457700E+01	  0.021202406	1.186370E+02	  0.021202406	-8.991500E+01
8	  0.021402806	-4.549000E+00	  0.021402806	-2.484900E+01	  0.021402806	1.176460E+02	  0.021402806	-9.020000E+01
9	  0.021603208	-4.548000E+00	  0.021603208	-2.509600E+01	  0.021603208	1.167360E+02	  0.021603208	-9.035500E+01
10	  0.021803608	-4.546000E+00	  0.021803608	-2.532800E+01	  0.021803608	1.158940E+02	  0.021803608	-9.053800E+01
11	  0.022004008	-4.541000E+00	  0.022004008	-2.556700E+01	  0.022004008	1.150340E+02	  0.022004008	-9.075300E+01
12	  0.022204408	-4.536000E+00	  0.022204408	-2.577900E+01	  0.022204408	1.142770E+02	  0.022204408	-9.095600E+01
13	  0.022404809	-4.533000E+00	  0.022404809	-2.596200E+01	  0.022404809	1.136230E+02	  0.022404809	-9.111500E+01
14	  0.022605211	-4.530000E+00	  0.022605211	-2.616500E+01	  0.022605211	1.129000E+02	  0.022605211	-9.125700E+01
15	  0.022805611	-4.526000E+00	  0.022805611	-2.638400E+01	  0.022805611	1.121200E+02	  0.022805611	-9.140600E+01
16	  0.023006011	-4.522000E+00	  0.023006011	-2.657300E+01	  0.023006011	1.114530E+02	  0.023006011	-9.156400E+01
