! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/18may27.balun/5a..r20.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/27/2018 04:55:33 PM	05/27/2018 04:42:15 PM
! INTERNAL TEMP:    	53.3 C	52.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	"MK1 TR4:  70.100 200 MHz,Z:(32.162 ohm, 34.263 ohm)"
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.307000E+00	  0.020000000	1.549840E+02	  0.020000000	2.069000E+01	  0.020000000	9.267000E+00
2	  0.020200402	-7.314000E+00	  0.020200402	1.547090E+02	  0.020200402	2.072600E+01	  0.020200402	9.367000E+00
3	  0.020400802	-7.311000E+00	  0.020400802	1.544380E+02	  0.020400802	2.073800E+01	  0.020400802	9.471000E+00
4	  0.020601204	-7.311000E+00	  0.020601204	1.541320E+02	  0.020601204	2.075900E+01	  0.020601204	9.586000E+00
5	  0.020801604	-7.308000E+00	  0.020801604	1.538600E+02	  0.020801604	2.077100E+01	  0.020801604	9.690000E+00
6	  0.021002004	-7.304000E+00	  0.021002004	1.535860E+02	  0.021002004	2.077900E+01	  0.021002004	9.796000E+00
7	  0.021202406	-7.302000E+00	  0.021202406	1.532880E+02	  0.021202406	2.079600E+01	  0.021202406	9.909000E+00
8	  0.021402806	-7.303000E+00	  0.021402806	1.530140E+02	  0.021402806	2.081700E+01	  0.021402806	1.001200E+01
9	  0.021603208	-7.302000E+00	  0.021603208	1.527850E+02	  0.021603208	2.083200E+01	  0.021603208	1.010000E+01
10	  0.021803608	-7.302000E+00	  0.021803608	1.525180E+02	  0.021803608	2.085200E+01	  0.021803608	1.020000E+01
11	  0.022004008	-7.304000E+00	  0.022004008	1.522710E+02	  0.022004008	2.087500E+01	  0.022004008	1.029300E+01
12	  0.022204408	-7.297000E+00	  0.022204408	1.520590E+02	  0.022204408	2.087500E+01	  0.022204408	1.037600E+01
13	  0.022404809	-7.294000E+00	  0.022404809	1.518210E+02	  0.022404809	2.088400E+01	  0.022404809	1.046900E+01
14	  0.022605211	-7.288000E+00	  0.022605211	1.515710E+02	  0.022605211	2.088800E+01	  0.022605211	1.056700E+01
15	  0.022805611	-7.287000E+00	  0.022805611	1.513360E+02	  0.022805611	2.090500E+01	  0.022805611	1.065600E+01
16	  0.023006011	-7.284000E+00	  0.023006011	1.511310E+02	  0.023006011	2.091200E+01	  0.023006011	1.073600E+01
17	  0.023206413	-7.283000E+00	  0.023206413	1.508760E+02	  0.023206413	2.093000E+01	  0.023206413	1.083300E+01
18	  0.023406813	-7.280000E+00	  0.023406813	1.506510E+02	  0.023406813	2.094200E+01	  0.023406813	1.092000E+01
19	  0.023607215	-7.277000E+00	  0.023607215	1.504190E+02	  0.023607215	2.095300E+01	  0.023607215	1.101000E+01
20	  0.023807615	-7.278000E+00	  0.023807615	1.501730E+02	  0.023807615	2.097400E+01	  0.023807615	1.110300E+01
21	  0.024008015	-7.279000E+00	  0.024008015	1.499310E+02	  0.024008015	2.099600E+01	  0.024008015	1.119500E+01
22	  0.024208417	-7.281000E+00	  0.024208417	1.497380E+02	  0.024208417	2.101800E+01	  0.024208417	1.126700E+01
23	  0.024408817	-7.285000E+00	  0.024408817	1.495480E+02	  0.024408817	2.104300E+01	  0.024408817	1.133800E+01
24	  0.024609219	-7.292000E+00	  0.024609219	1.493040E+02	  0.024609219	2.108100E+01	  0.024609219	1.142700E+01
25	  0.024809619	-7.294000E+00	  0.024809619	1.490920E+02	  0.024809619	2.110400E+01	  0.024809619	1.150700E+01
26	  0.025010020	-7.296000E+00	  0.025010020	1.488380E+02	  0.025010020	2.113200E+01	  0.025010020	1.160200E+01
27	  0.025210422	-7.305000E+00	  0.025210422	1.485890E+02	  0.025210422	2.117400E+01	  0.025210422	1.169300E+01
28	  0.025410822	-7.311000E+00	  0.025410822	1.483220E+02	  0.025410822	2.121300E+01	  0.025410822	1.179200E+01
29	  0.025611224	-7.312000E+00	  0.025611224	1.480580E+02	  0.025611224	2.123900E+01	  0.025611224	1.189100E+01
30	  0.025811624	-7.309000E+00	  0.025811624	1.477460E+02	  0.025811624	2.126000E+01	  0.025811624	1.201300E+01
31	  0.026012026	-7.304000E+00	  0.026012026	1.474720E+02	  0.026012026	2.127100E+01	  0.026012026	1.212000E+01
32	  0.026212426	-7.304000E+00	  0.026212426	1.471900E+02	  0.026212426	2.129600E+01	  0.026212426	1.222900E+01
33	  0.026412826	-7.299000E+00	  0.026412826	1.469110E+02	  0.026412826	2.130900E+01	  0.026412826	1.233800E+01
34	  0.026613226	-7.297000E+00	  0.026613226	1.466420E+02	  0.026613226	2.133000E+01	  0.026613226	1.244300E+01
35	  0.026813626	-7.295000E+00	  0.026813626	1.464200E+02	  0.026813626	2.134500E+01	  0.026813626	1.252900E+01
36	  0.027014028	-7.293000E+00	  0.027014028	1.462160E+02	  0.027014028	2.135900E+01	  0.027014028	1.260900E+01
37	  0.027214428	-7.293000E+00	  0.027214428	1.460080E+02	  0.027214428	2.138000E+01	  0.027214428	1.268900E+01
38	  0.027414829	-7.291000E+00	  0.027414829	1.458260E+02	  0.027414829	2.139100E+01	  0.027414829	1.276000E+01
39	  0.027615231	-7.293000E+00	  0.027615231	1.456030E+02	  0.027615231	2.141800E+01	  0.027615231	1.284500E+01
40	  0.027815631	-7.296000E+00	  0.027815631	1.453620E+02	  0.027815631	2.144800E+01	  0.027815631	1.293600E+01
41	  0.028016033	-7.297000E+00	  0.028016033	1.451240E+02	  0.028016033	2.147300E+01	  0.028016033	1.302700E+01
42	  0.028216433	-7.300000E+00	  0.028216433	1.448620E+02	  0.028216433	2.150800E+01	  0.028216433	1.312600E+01
43	  0.028416833	-7.298000E+00	  0.028416833	1.446090E+02	  0.028416833	2.152700E+01	  0.028416833	1.322500E+01
44	  0.028617235	-7.297000E+00	  0.028617235	1.443530E+02	  0.028617235	2.155000E+01	  0.028617235	1.332400E+01
45	  0.028817635	-7.300000E+00	  0.028817635	1.441040E+02	  0.028817635	2.158400E+01	  0.028817635	1.341900E+01
46	  0.029018037	-7.299000E+00	  0.029018037	1.438360E+02	  0.029018037	2.160900E+01	  0.029018037	1.352200E+01
47	  0.029218437	-7.300000E+00	  0.029218437	1.435850E+02	  0.029218437	2.163600E+01	  0.029218437	1.361900E+01
48	  0.029418837	-7.297000E+00	  0.029418837	1.433840E+02	  0.029418837	2.164900E+01	  0.029418837	1.369900E+01
49	  0.029619239	-7.292000E+00	  0.029619239	1.431740E+02	  0.029619239	2.165900E+01	  0.029619239	1.378400E+01
50	  0.029819639	-7.294000E+00	  0.029819639	1.429820E+02	  0.029819639	2.168300E+01	  0.029819639	1.385700E+01
51	  0.030020041	-7.296000E+00	  0.030020041	1.427950E+02	  0.030020041	2.170800E+01	  0.030020041	1.392800E+01
52	  0.030220442	-7.297000E+00	  0.030220442	1.425740E+02	  0.030220442	2.173400E+01	  0.030220442	1.401300E+01
53	  0.030420844	-7.307000E+00	  0.030420844	1.423420E+02	  0.030420844	2.178500E+01	  0.030420844	1.409600E+01
54	  0.030621244	-7.318000E+00	  0.030621244	1.421010E+02	  0.030621244	2.183800E+01	  0.030621244	1.418200E+01
55	  0.030821644	-7.324000E+00	  0.030821644	1.417960E+02	  0.030821644	2.188800E+01	  0.030821644	1.429600E+01
56	  0.031022044	-7.326000E+00	  0.031022044	1.414680E+02	  0.031022044	2.192700E+01	  0.031022044	1.442200E+01
57	  0.031222444	-7.319000E+00	  0.031222444	1.412160E+02	  0.031222444	2.193700E+01	  0.031222444	1.452600E+01
58	  0.031422846	-7.320000E+00	  0.031422846	1.408970E+02	  0.031422846	2.197700E+01	  0.031422846	1.464900E+01
59	  0.031623244	-7.317000E+00	  0.031623244	1.406190E+02	  0.031623244	2.200000E+01	  0.031623244	1.475900E+01
60	  0.031823646	-7.314000E+00	  0.031823646	1.403150E+02	  0.031823646	2.202600E+01	  0.031823646	1.488000E+01
61	  0.032024048	-7.303000E+00	  0.032024048	1.400590E+02	  0.032024048	2.202700E+01	  0.032024048	1.498900E+01
62	  0.032224450	-7.292000E+00	  0.032224450	1.397900E+02	  0.032224450	2.203100E+01	  0.032224450	1.510200E+01
63	  0.032424849	-7.284000E+00	  0.032424849	1.395700E+02	  0.032424849	2.203600E+01	  0.032424849	1.519400E+01
64	  0.032625251	-7.278000E+00	  0.032625251	1.393350E+02	  0.032625251	2.204700E+01	  0.032625251	1.529100E+01
65	  0.032825653	-7.270000E+00	  0.032825653	1.391240E+02	  0.032825653	2.205200E+01	  0.032825653	1.538000E+01
66	  0.033026051	-7.270000E+00	  0.033026051	1.389260E+02	  0.033026051	2.207500E+01	  0.033026051	1.545800E+01
67	  0.033226453	-7.269000E+00	  0.033226453	1.387060E+02	  0.033226453	2.210000E+01	  0.033226453	1.554500E+01
68	  0.033426855	-7.271000E+00	  0.033426855	1.384870E+02	  0.033426855	2.213000E+01	  0.033426855	1.563000E+01
69	  0.033627257	-7.273000E+00	  0.033627257	1.382280E+02	  0.033627257	2.216600E+01	  0.033627257	1.573000E+01
70	  0.033827655	-7.274000E+00	  0.033827655	1.379960E+02	  0.033827655	2.219700E+01	  0.033827655	1.582100E+01
71	  0.034028057	-7.278000E+00	  0.034028057	1.377680E+02	  0.034028057	2.223700E+01	  0.034028057	1.590700E+01
72	  0.034228459	-7.281000E+00	  0.034228459	1.375140E+02	  0.034228459	2.227500E+01	  0.034228459	1.600500E+01
73	  0.034428857	-7.286000E+00	  0.034428857	1.372880E+02	  0.034428857	2.231800E+01	  0.034428857	1.609000E+01
74	  0.034629259	-7.283000E+00	  0.034629259	1.370250E+02	  0.034629259	2.234300E+01	  0.034629259	1.619600E+01
75	  0.034829661	-7.283000E+00	  0.034829661	1.368210E+02	  0.034829661	2.236800E+01	  0.034829661	1.627700E+01
76	  0.035030060	-7.276000E+00	  0.035030060	1.365460E+02	  0.035030060	2.238400E+01	  0.035030060	1.639200E+01
77	  0.035230462	-7.270000E+00	  0.035230462	1.363550E+02	  0.035230462	2.239500E+01	  0.035230462	1.647200E+01
78	  0.035430863	-7.266000E+00	  0.035430863	1.361190E+02	  0.035430863	2.241300E+01	  0.035430863	1.657000E+01
79	  0.035631265	-7.267000E+00	  0.035631265	1.359550E+02	  0.035631265	2.243900E+01	  0.035631265	1.663300E+01
80	  0.035831664	-7.266000E+00	  0.035831664	1.357750E+02	  0.035831664	2.246000E+01	  0.035831664	1.670600E+01
81	  0.036032066	-7.277000E+00	  0.036032066	1.355720E+02	  0.036032066	2.251500E+01	  0.036032066	1.677700E+01
82	  0.036232468	-7.286000E+00	  0.036232468	1.353430E+02	  0.036232468	2.256800E+01	  0.036232468	1.686000E+01
83	  0.036432866	-7.299000E+00	  0.036432866	1.351070E+02	  0.036432866	2.263400E+01	  0.036432866	1.694200E+01
84	  0.036633268	-7.309000E+00	  0.036633268	1.348200E+02	  0.036633268	2.269800E+01	  0.036633268	1.704700E+01
85	  0.036833670	-7.311000E+00	  0.036833670	1.345210E+02	  0.036833670	2.274400E+01	  0.036833670	1.716400E+01
86	  0.037034072	-7.316000E+00	  0.037034072	1.342360E+02	  0.037034072	2.279700E+01	  0.037034072	1.727300E+01
87	  0.037234470	-7.317000E+00	  0.037234470	1.339440E+02	  0.037234470	2.284000E+01	  0.037234470	1.738800E+01
88	  0.037434869	-7.315000E+00	  0.037434869	1.336580E+02	  0.037434869	2.287300E+01	  0.037434869	1.750400E+01
89	  0.037635271	-7.308000E+00	  0.037635271	1.333930E+02	  0.037635271	2.289200E+01	  0.037635271	1.761600E+01
90	  0.037835669	-7.299000E+00	  0.037835669	1.331450E+02	  0.037835669	2.290400E+01	  0.037835669	1.772400E+01
91	  0.038036071	-7.294000E+00	  0.038036071	1.328880E+02	  0.038036071	2.292700E+01	  0.038036071	1.783100E+01
92	  0.038236473	-7.287000E+00	  0.038236473	1.326900E+02	  0.038236473	2.293800E+01	  0.038236473	1.791700E+01
93	  0.038436871	-7.288000E+00	  0.038436871	1.324670E+02	  0.038436871	2.297100E+01	  0.038436871	1.800600E+01
94	  0.038637273	-7.293000E+00	  0.038637273	1.322300E+02	  0.038637273	2.301900E+01	  0.038637273	1.809600E+01
95	  0.038837675	-7.296000E+00	  0.038837675	1.319850E+02	  0.038837675	2.306300E+01	  0.038837675	1.819100E+01
96	  0.039038073	-7.300000E+00	  0.039038073	1.317170E+02	  0.039038073	2.311300E+01	  0.039038073	1.829500E+01
97	  0.039238475	-7.305000E+00	  0.039238475	1.314440E+02	  0.039238475	2.316600E+01	  0.039238475	1.840000E+01
98	  0.039438877	-7.306000E+00	  0.039438877	1.311650E+02	  0.039438877	2.321200E+01	  0.039438877	1.851000E+01
99	  0.039639279	-7.310000E+00	  0.039639279	1.308880E+02	  0.039639279	2.326200E+01	  0.039639279	1.861900E+01
100	  0.039839678	-7.308000E+00	  0.039839678	1.306150E+02	  0.039839678	2.330100E+01	  0.039839678	1.873000E+01
101	  0.040040080	-7.305000E+00	  0.040040080	1.303500E+02	  0.040040080	2.333200E+01	  0.040040080	1.884000E+01
102	  0.040240481	-7.301000E+00	  0.040240481	1.300890E+02	  0.040240481	2.336200E+01	  0.040240481	1.894900E+01
103	  0.040440880	-7.294000E+00	  0.040440880	1.297990E+02	  0.040440880	2.338800E+01	  0.040440880	1.907300E+01
104	  0.040641282	-7.285000E+00	  0.040641282	1.295380E+02	  0.040641282	2.340500E+01	  0.040641282	1.918800E+01
105	  0.040841684	-7.274000E+00	  0.040841684	1.293100E+02	  0.040841684	2.341200E+01	  0.040841684	1.929200E+01
106	  0.041042086	-7.267000E+00	  0.041042086	1.291100E+02	  0.041042086	2.342500E+01	  0.041042086	1.938100E+01
107	  0.041242484	-7.267000E+00	  0.041242484	1.289470E+02	  0.041242484	2.345100E+01	  0.041242484	1.944600E+01
108	  0.041442886	-7.272000E+00	  0.041442886	1.287740E+02	  0.041442886	2.349000E+01	  0.041442886	1.951300E+01
109	  0.041643288	-7.276000E+00	  0.041643288	1.285850E+02	  0.041643288	2.353200E+01	  0.041643288	1.958500E+01
110	  0.041843686	-7.280000E+00	  0.041843686	1.283320E+02	  0.041843686	2.358400E+01	  0.041843686	1.968300E+01
111	  0.042044088	-7.282000E+00	  0.042044088	1.280840E+02	  0.042044088	2.362900E+01	  0.042044088	1.978200E+01
112	  0.042244490	-7.285000E+00	  0.042244490	1.278630E+02	  0.042244490	2.367400E+01	  0.042244490	1.986900E+01
113	  0.042444889	-7.284000E+00	  0.042444889	1.276320E+02	  0.042444889	2.371000E+01	  0.042444889	1.996300E+01
114	  0.042645290	-7.278000E+00	  0.042645290	1.273750E+02	  0.042645290	2.373600E+01	  0.042645290	2.007500E+01
115	  0.042845692	-7.277000E+00	  0.042845692	1.271680E+02	  0.042845692	2.376700E+01	  0.042845692	2.016100E+01
116	  0.043046094	-7.268000E+00	  0.043046094	1.269010E+02	  0.043046094	2.378600E+01	  0.043046094	2.028100E+01
117	  0.043246493	-7.260000E+00	  0.043246493	1.266940E+02	  0.043246493	2.380100E+01	  0.043246493	2.037400E+01
118	  0.043446895	-7.257000E+00	  0.043446895	1.265290E+02	  0.043446895	2.382100E+01	  0.043446895	2.044500E+01
119	  0.043647297	-7.259000E+00	  0.043647297	1.263090E+02	  0.043647297	2.386400E+01	  0.043647297	2.053300E+01
120	  0.043847695	-7.261000E+00	  0.043847695	1.261610E+02	  0.043847695	2.389600E+01	  0.043847695	2.059100E+01
121	  0.044048097	-7.268000E+00	  0.044048097	1.259480E+02	  0.044048097	2.395100E+01	  0.044048097	2.067100E+01
122	  0.044248499	-7.279000E+00	  0.044248499	1.257310E+02	  0.044248499	2.401800E+01	  0.044248499	2.074800E+01
123	  0.044448901	-7.288000E+00	  0.044448901	1.254690E+02	  0.044448901	2.408700E+01	  0.044448901	2.084500E+01
124	  0.044649299	-7.292000E+00	  0.044649299	1.252430E+02	  0.044649299	2.413800E+01	  0.044649299	2.093300E+01
125	  0.044849701	-7.303000E+00	  0.044849701	1.249690E+02	  0.044849701	2.421800E+01	  0.044849701	2.103300E+01
126	  0.045050103	-7.307000E+00	  0.045050103	1.247040E+02	  0.045050103	2.427600E+01	  0.045050103	2.113700E+01
127	  0.045250501	-7.310000E+00	  0.045250501	1.244210E+02	  0.045250501	2.433300E+01	  0.045250501	2.125100E+01
128	  0.045450903	-7.318000E+00	  0.045450903	1.241160E+02	  0.045450903	2.441200E+01	  0.045450903	2.136600E+01
129	  0.045651305	-7.317000E+00	  0.045651305	1.237720E+02	  0.045651305	2.447000E+01	  0.045651305	2.151000E+01
130	  0.045851704	-7.310000E+00	  0.045851704	1.235040E+02	  0.045851704	2.450100E+01	  0.045851704	2.162900E+01
131	  0.046052106	-7.310000E+00	  0.046052106	1.231920E+02	  0.046052106	2.456000E+01	  0.046052106	2.175700E+01
132	  0.046252504	-7.303000E+00	  0.046252504	1.229030E+02	  0.046252504	2.459400E+01	  0.046252504	2.188600E+01
133	  0.046452906	-7.298000E+00	  0.046452906	1.226360E+02	  0.046452906	2.463000E+01	  0.046452906	2.200300E+01
134	  0.046653304	-7.299000E+00	  0.046653304	1.224060E+02	  0.046653304	2.467700E+01	  0.046653304	2.209700E+01
