! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/200ohm3_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 04:16:41 PM	12/20/2017 04:05:21 PM
! INTERNAL TEMP:    	42.0 C	43.3 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.524000E+00	  0.010000000	-1.113100E+01	  0.010000000	1.728630E+02	  0.010000000	-6.126400E+01
2	  0.010200000	-4.516000E+00	  0.010200000	-1.130000E+01	  0.010200000	1.724480E+02	  0.010200000	-6.215100E+01
3	  0.010400000	-4.512000E+00	  0.010400000	-1.151700E+01	  0.010400000	1.717420E+02	  0.010400000	-6.312800E+01
4	  0.010600000	-4.514000E+00	  0.010600000	-1.171900E+01	  0.010600000	1.709100E+02	  0.010600000	-6.387000E+01
5	  0.010800000	-4.517000E+00	  0.010800000	-1.194300E+01	  0.010800000	1.699870E+02	  0.010800000	-6.468500E+01
6	  0.011000001	-4.516000E+00	  0.011000001	-1.215300E+01	  0.011000001	1.691950E+02	  0.011000001	-6.550500E+01
7	  0.011200000	-4.515000E+00	  0.011200000	-1.238100E+01	  0.011200000	1.683290E+02	  0.011200000	-6.639000E+01
8	  0.011399999	-4.512000E+00	  0.011399999	-1.260200E+01	  0.011399999	1.675450E+02	  0.011399999	-6.729600E+01
9	  0.011600000	-4.519000E+00	  0.011600000	-1.285000E+01	  0.011600000	1.664030E+02	  0.011600000	-6.801800E+01
10	  0.011800000	-4.518000E+00	  0.011800000	-1.304800E+01	  0.011800000	1.656330E+02	  0.011800000	-6.873800E+01
11	  0.012000000	-4.521000E+00	  0.012000000	-1.327600E+01	  0.012000000	1.646650E+02	  0.012000000	-6.946800E+01
12	  0.012200000	-4.522000E+00	  0.012200000	-1.350000E+01	  0.012200000	1.637470E+02	  0.012200000	-7.020400E+01
13	  0.012400000	-4.527000E+00	  0.012400000	-1.374800E+01	  0.012400000	1.626360E+02	  0.012400000	-7.089700E+01
14	  0.012600001	-4.529000E+00	  0.012600001	-1.397400E+01	  0.012600001	1.616850E+02	  0.012600001	-7.158600E+01
15	  0.012800000	-4.528000E+00	  0.012800000	-1.420600E+01	  0.012800000	1.607600E+02	  0.012800000	-7.234400E+01
16	  0.012999999	-4.532000E+00	  0.012999999	-1.444600E+01	  0.012999999	1.596980E+02	  0.012999999	-7.298500E+01
17	  0.013200000	-4.532000E+00	  0.013200000	-1.465300E+01	  0.013200000	1.588580E+02	  0.013200000	-7.362600E+01
18	  0.013400001	-4.538000E+00	  0.013400001	-1.490100E+01	  0.013400001	1.577340E+02	  0.013400001	-7.421000E+01
19	  0.013600000	-4.535000E+00	  0.013600000	-1.512600E+01	  0.013600000	1.568650E+02	  0.013600000	-7.493900E+01
20	  0.013800000	-4.534000E+00	  0.013800000	-1.534800E+01	  0.013800000	1.559780E+02	  0.013800000	-7.560600E+01
21	  0.014000000	-4.537000E+00	  0.014000000	-1.560900E+01	  0.014000000	1.548390E+02	  0.014000000	-7.623100E+01
22	  0.014200001	-4.540000E+00	  0.014200001	-1.584600E+01	  0.014200001	1.538080E+02	  0.014200001	-7.679300E+01
23	  0.014400000	-4.540000E+00	  0.014400000	-1.608800E+01	  0.014400000	1.528190E+02	  0.014400000	-7.744700E+01
24	  0.014599999	-4.541000E+00	  0.014599999	-1.631500E+01	  0.014599999	1.518590E+02	  0.014599999	-7.799300E+01
25	  0.014800000	-4.541000E+00	  0.014800000	-1.654500E+01	  0.014800000	1.509100E+02	  0.014800000	-7.856500E+01
