! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/msr2_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 04:10:19 PM	12/20/2017 04:05:21 PM
! INTERNAL TEMP:    	42.8 C	43.3 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-6.060000E-01	  0.010000000	-5.840100E+01	  0.010000000	7.305000E+00	  0.010000000	-8.900400E+01
2	  0.010200000	-5.930000E-01	  0.010200000	-5.956100E+01	  0.010200000	6.898000E+00	  0.010200000	-8.696000E+01
3	  0.010400000	-5.910000E-01	  0.010400000	-6.072400E+01	  0.010400000	6.642000E+00	  0.010400000	-8.496500E+01
4	  0.010600000	-5.970000E-01	  0.010600000	-6.205000E+01	  0.010600000	6.454000E+00	  0.010600000	-8.276100E+01
5	  0.010800000	-6.010000E-01	  0.010800000	-6.333500E+01	  0.010800000	6.259000E+00	  0.010800000	-8.070700E+01
6	  0.011000001	-6.010000E-01	  0.011000001	-6.459500E+01	  0.011000001	6.042000E+00	  0.011000001	-7.876700E+01
7	  0.011200000	-6.000000E-01	  0.011200000	-6.585100E+01	  0.011200000	5.834000E+00	  0.011200000	-7.690000E+01
8	  0.011399999	-5.970000E-01	  0.011399999	-6.709000E+01	  0.011399999	5.618000E+00	  0.011399999	-7.512000E+01
9	  0.011600000	-6.020000E-01	  0.011600000	-6.833200E+01	  0.011600000	5.485000E+00	  0.011600000	-7.338500E+01
10	  0.011800000	-6.080000E-01	  0.011800000	-6.956500E+01	  0.011800000	5.364000E+00	  0.011800000	-7.171600E+01
11	  0.012000000	-6.080000E-01	  0.012000000	-7.085000E+01	  0.012000000	5.201000E+00	  0.012000000	-7.003500E+01
12	  0.012200000	-6.100000E-01	  0.012200000	-7.211900E+01	  0.012200000	5.054000E+00	  0.012200000	-6.842400E+01
13	  0.012400000	-6.090000E-01	  0.012400000	-7.341400E+01	  0.012400000	4.900000E+00	  0.012400000	-6.683200E+01
14	  0.012600001	-6.070000E-01	  0.012600001	-7.469800E+01	  0.012600001	4.742000E+00	  0.012600001	-6.530000E+01
15	  0.012800000	-6.070000E-01	  0.012800000	-7.595500E+01	  0.012800000	4.603000E+00	  0.012800000	-6.384100E+01
16	  0.012999999	-6.060000E-01	  0.012999999	-7.722900E+01	  0.012999999	4.470000E+00	  0.012999999	-6.240500E+01
17	  0.013200000	-6.070000E-01	  0.013200000	-7.852800E+01	  0.013200000	4.352000E+00	  0.013200000	-6.097900E+01
18	  0.013400001	-6.060000E-01	  0.013400001	-7.981700E+01	  0.013400001	4.234000E+00	  0.013400001	-5.960400E+01
19	  0.013600000	-6.020000E-01	  0.013600000	-8.108200E+01	  0.013600000	4.097000E+00	  0.013600000	-5.829100E+01
20	  0.013800000	-6.030000E-01	  0.013800000	-8.234300E+01	  0.013800000	3.997000E+00	  0.013800000	-5.701300E+01
21	  0.014000000	-6.050000E-01	  0.014000000	-8.365300E+01	  0.014000000	3.912000E+00	  0.014000000	-5.571700E+01
22	  0.014200001	-6.080000E-01	  0.014200001	-8.496200E+01	  0.014200001	3.833000E+00	  0.014200001	-5.445400E+01
23	  0.014400000	-6.080000E-01	  0.014400000	-8.626200E+01	  0.014400000	3.738000E+00	  0.014400000	-5.323300E+01
24	  0.014599999	-6.130000E-01	  0.014599999	-8.755900E+01	  0.014599999	3.679000E+00	  0.014599999	-5.204100E+01
25	  0.014800000	-6.130000E-01	  0.014800000	-8.888700E+01	  0.014800000	3.595000E+00	  0.014800000	-5.085100E+01
26	  0.015000001	-6.150000E-01	  0.015000001	-9.020100E+01	  0.015000001	3.525000E+00	  0.015000001	-4.969900E+01
27	  0.015200000	-6.160000E-01	  0.015200000	-9.153000E+01	  0.015200000	3.453000E+00	  0.015200000	-4.856200E+01
