! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/ns.20bohm2_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/21/2017 05:21:36 PM	12/21/2017 05:13:10 PM
! INTERNAL TEMP:    	39.5 C	40.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	"MK1 TR3:  58.600 MHz,Z:(27.362 ohm, 27.781 ohm)"	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.214000E+00	  0.010000000	1.676330E+02	  0.010000000	1.984300E+01	  0.010000000	4.572000E+00
2	  0.010200000	-7.203000E+00	  0.010200000	1.674260E+02	  0.010200000	1.982200E+01	  0.010200000	4.651000E+00
3	  0.010400000	-7.201000E+00	  0.010400000	1.672040E+02	  0.010400000	1.982500E+01	  0.010400000	4.734000E+00
4	  0.010600000	-7.204000E+00	  0.010600000	1.669510E+02	  0.010600000	1.984100E+01	  0.010600000	4.827000E+00
5	  0.010800000	-7.208000E+00	  0.010800000	1.666860E+02	  0.010800000	1.985800E+01	  0.010800000	4.925000E+00
6	  0.011000001	-7.215000E+00	  0.011000001	1.664180E+02	  0.011000001	1.988400E+01	  0.011000001	5.023000E+00
7	  0.011200000	-7.211000E+00	  0.011200000	1.661820E+02	  0.011200000	1.988300E+01	  0.011200000	5.112000E+00
8	  0.011399999	-7.212000E+00	  0.011399999	1.659360E+02	  0.011399999	1.989400E+01	  0.011399999	5.203000E+00
9	  0.011600000	-7.206000E+00	  0.011600000	1.656890E+02	  0.011600000	1.988900E+01	  0.011600000	5.296000E+00
10	  0.011800000	-7.212000E+00	  0.011800000	1.654320E+02	  0.011800000	1.991400E+01	  0.011800000	5.390000E+00
11	  0.012000000	-7.214000E+00	  0.012000000	1.651890E+02	  0.012000000	1.992600E+01	  0.012000000	5.480000E+00
12	  0.012200000	-7.213000E+00	  0.012200000	1.649230E+02	  0.012200000	1.993600E+01	  0.012200000	5.579000E+00
13	  0.012400000	-7.214000E+00	  0.012400000	1.646740E+02	  0.012400000	1.994800E+01	  0.012400000	5.672000E+00
14	  0.012600001	-7.216000E+00	  0.012600001	1.644260E+02	  0.012600001	1.996300E+01	  0.012600001	5.764000E+00
15	  0.012800000	-7.218000E+00	  0.012800000	1.641890E+02	  0.012800000	1.997800E+01	  0.012800000	5.852000E+00
16	  0.012999999	-7.218000E+00	  0.012999999	1.639510E+02	  0.012999999	1.998600E+01	  0.012999999	5.940000E+00
17	  0.013200000	-7.222000E+00	  0.013200000	1.636940E+02	  0.013200000	2.000800E+01	  0.013200000	6.035000E+00
18	  0.013400001	-7.224000E+00	  0.013400001	1.634580E+02	  0.013400001	2.002200E+01	  0.013400001	6.122000E+00
19	  0.013600000	-7.221000E+00	  0.013600000	1.632040E+02	  0.013600000	2.002600E+01	  0.013600000	6.218000E+00
20	  0.013800000	-7.216000E+00	  0.013800000	1.629620E+02	  0.013800000	2.002300E+01	  0.013800000	6.310000E+00
21	  0.014000000	-7.220000E+00	  0.014000000	1.627260E+02	  0.014000000	2.004300E+01	  0.014000000	6.397000E+00
22	  0.014200001	-7.223000E+00	  0.014200001	1.624790E+02	  0.014200001	2.006300E+01	  0.014200001	6.488000E+00
23	  0.014400000	-7.223000E+00	  0.014400000	1.622430E+02	  0.014400000	2.007500E+01	  0.014400000	6.576000E+00
24	  0.014599999	-7.223000E+00	  0.014599999	1.619850E+02	  0.014599999	2.008500E+01	  0.014599999	6.673000E+00
25	  0.014800000	-7.229000E+00	  0.014800000	1.617610E+02	  0.014800000	2.011100E+01	  0.014800000	6.754000E+00
26	  0.015000001	-7.231000E+00	  0.015000001	1.615140E+02	  0.015000001	2.012800E+01	  0.015000001	6.846000E+00
27	  0.015200000	-7.231000E+00	  0.015200000	1.612780E+02	  0.015200000	2.013900E+01	  0.015200000	6.934000E+00
28	  0.015400000	-7.235000E+00	  0.015400000	1.610170E+02	  0.015400000	2.016100E+01	  0.015400000	7.031000E+00
29	  0.015600001	-7.232000E+00	  0.015600001	1.607670E+02	  0.015600001	2.016800E+01	  0.015600001	7.125000E+00
30	  0.015800001	-7.238000E+00	  0.015800001	1.605220E+02	  0.015800001	2.019300E+01	  0.015800001	7.215000E+00
31	  0.016000001	-7.241000E+00	  0.016000001	1.602860E+02	  0.016000001	2.021400E+01	  0.016000001	7.302000E+00
32	  0.016200000	-7.241000E+00	  0.016200000	1.600290E+02	  0.016200000	2.022800E+01	  0.016200000	7.398000E+00
