! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/50ohm3_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 04:15:02 PM	12/20/2017 04:05:21 PM
! INTERNAL TEMP:    	42.3 C	43.3 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.550100E+01	  0.010000000	6.063900E+01	  0.010000000	5.025800E+01	  0.010000000	4.650000E-01
2	  0.010200000	-4.550300E+01	  0.010200000	5.862900E+01	  0.010200000	5.027400E+01	  0.010200000	4.550000E-01
3	  0.010400000	-4.494700E+01	  0.010400000	6.007400E+01	  0.010400000	5.028000E+01	  0.010400000	4.930000E-01
4	  0.010600000	-4.466400E+01	  0.010600000	5.786800E+01	  0.010600000	5.030900E+01	  0.010600000	4.980000E-01
5	  0.010800000	-4.446000E+01	  0.010800000	5.985900E+01	  0.010800000	5.029800E+01	  0.010800000	5.200000E-01
6	  0.011000001	-4.431100E+01	  0.011000001	5.932300E+01	  0.011000001	5.030800E+01	  0.011000001	5.260000E-01
7	  0.011200000	-4.398800E+01	  0.011200000	6.098900E+01	  0.011200000	5.030400E+01	  0.011200000	5.550000E-01
8	  0.011399999	-4.393400E+01	  0.011399999	5.971100E+01	  0.011399999	5.031800E+01	  0.011399999	5.520000E-01
9	  0.011600000	-4.405700E+01	  0.011600000	6.022700E+01	  0.011600000	5.030900E+01	  0.011600000	5.470000E-01
10	  0.011800000	-4.357000E+01	  0.011800000	6.119200E+01	  0.011800000	5.031700E+01	  0.011800000	5.840000E-01
11	  0.012000000	-4.345300E+01	  0.012000000	6.143800E+01	  0.012000000	5.031800E+01	  0.012000000	5.930000E-01
12	  0.012200000	-4.319900E+01	  0.012200000	6.082200E+01	  0.012200000	5.033400E+01	  0.012200000	6.080000E-01
13	  0.012400000	-4.331000E+01	  0.012400000	6.183500E+01	  0.012400000	5.031900E+01	  0.012400000	6.060000E-01
14	  0.012600001	-4.338100E+01	  0.012600001	6.244400E+01	  0.012600001	5.031000E+01	  0.012600001	6.040000E-01
15	  0.012800000	-4.308700E+01	  0.012800000	6.160800E+01	  0.012800000	5.033000E+01	  0.012800000	6.200000E-01
16	  0.012999999	-4.325600E+01	  0.012999999	6.213000E+01	  0.012999999	5.031800E+01	  0.012999999	6.110000E-01
