! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/ns.msr1_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/21/2017 05:05:04 PM	12/21/2017 04:46:01 PM
! INTERNAL TEMP:    	40.5 C	41.5 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	"MK1 TR3:  58.600 MHz,Z:(24.269 ohm, -30.078 ohm)"	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-5.530000E-01	  0.010000000	-5.854800E+01	  0.010000000	6.641000E+00	  0.010000000	-8.881600E+01
2	  0.010200000	-5.450000E-01	  0.010200000	-5.973100E+01	  0.010200000	6.314000E+00	  0.010200000	-8.672800E+01
3	  0.010400000	-5.450000E-01	  0.010400000	-6.098100E+01	  0.010400000	6.079000E+00	  0.010400000	-8.458900E+01
4	  0.010600000	-5.480000E-01	  0.010600000	-6.221900E+01	  0.010600000	5.894000E+00	  0.010600000	-8.254400E+01
5	  0.010800000	-5.490000E-01	  0.010800000	-6.351800E+01	  0.010800000	5.692000E+00	  0.010800000	-8.047900E+01
6	  0.011000001	-5.500000E-01	  0.011000001	-6.478000E+01	  0.011000001	5.508000E+00	  0.011000001	-7.854100E+01
7	  0.011200000	-5.490000E-01	  0.011200000	-6.603500E+01	  0.011200000	5.312000E+00	  0.011200000	-7.668200E+01
8	  0.011399999	-5.510000E-01	  0.011399999	-6.726700E+01	  0.011399999	5.156000E+00	  0.011399999	-7.491400E+01
9	  0.011600000	-5.530000E-01	  0.011600000	-6.850800E+01	  0.011600000	5.014000E+00	  0.011600000	-7.318800E+01
10	  0.011800000	-5.620000E-01	  0.011800000	-6.978200E+01	  0.011800000	4.934000E+00	  0.011800000	-7.146700E+01
11	  0.012000000	-5.630000E-01	  0.012000000	-7.104500E+01	  0.012000000	4.791000E+00	  0.012000000	-6.982100E+01
12	  0.012200000	-5.630000E-01	  0.012200000	-7.232800E+01	  0.012200000	4.646000E+00	  0.012200000	-6.820000E+01
13	  0.012400000	-5.620000E-01	  0.012400000	-7.360800E+01	  0.012400000	4.504000E+00	  0.012400000	-6.663100E+01
14	  0.012600001	-5.620000E-01	  0.012600001	-7.490100E+01	  0.012600001	4.371000E+00	  0.012600001	-6.509200E+01
15	  0.012800000	-5.620000E-01	  0.012800000	-7.617900E+01	  0.012800000	4.245000E+00	  0.012800000	-6.361500E+01
16	  0.012999999	-5.640000E-01	  0.012999999	-7.746000E+01	  0.012999999	4.142000E+00	  0.012999999	-6.217400E+01
17	  0.013200000	-5.630000E-01	  0.013200000	-7.872700E+01	  0.013200000	4.024000E+00	  0.013200000	-6.079000E+01
18	  0.013400001	-5.660000E-01	  0.013400001	-8.001800E+01	  0.013400001	3.940000E+00	  0.013400001	-5.941400E+01
19	  0.013600000	-5.650000E-01	  0.013600000	-8.129700E+01	  0.013600000	3.830000E+00	  0.013600000	-5.809000E+01
20	  0.013800000	-5.660000E-01	  0.013800000	-8.255200E+01	  0.013800000	3.739000E+00	  0.013800000	-5.682200E+01
21	  0.014000000	-5.690000E-01	  0.014000000	-8.387500E+01	  0.014000000	3.661000E+00	  0.014000000	-5.551800E+01
22	  0.014200001	-5.720000E-01	  0.014200001	-8.516500E+01	  0.014200001	3.591000E+00	  0.014200001	-5.427800E+01
23	  0.014400000	-5.740000E-01	  0.014400000	-8.646100E+01	  0.014400000	3.520000E+00	  0.014400000	-5.306300E+01
24	  0.014599999	-5.770000E-01	  0.014599999	-8.777500E+01	  0.014599999	3.454000E+00	  0.014599999	-5.186000E+01
25	  0.014800000	-5.830000E-01	  0.014800000	-8.907400E+01	  0.014800000	3.408000E+00	  0.014800000	-5.069800E+01
26	  0.015000001	-5.840000E-01	  0.015000001	-9.038600E+01	  0.015000001	3.335000E+00	  0.015000001	-4.955200E+01
27	  0.015200000	-5.840000E-01	  0.015200000	-9.171000E+01	  0.015200000	3.262000E+00	  0.015200000	-4.842200E+01
28	  0.015400000	-5.800000E-01	  0.015400000	-9.302300E+01	  0.015400000	3.169000E+00	  0.015400000	-4.732800E+01
29	  0.015600001	-5.700000E-01	  0.015600001	-9.431100E+01	  0.015600001	3.050000E+00	  0.015600001	-4.627900E+01
30	  0.015800001	-5.770000E-01	  0.015800001	-9.561200E+01	  0.015800001	3.021000E+00	  0.015800001	-4.523600E+01
31	  0.016000001	-5.780000E-01	  0.016000001	-9.692800E+01	  0.016000001	2.970000E+00	  0.016000001	-4.420400E+01
32	  0.016200000	-5.790000E-01	  0.016200000	-9.825200E+01	  0.016200000	2.911000E+00	  0.016200000	-4.318700E+01
33	  0.016400000	-5.760000E-01	  0.016400000	-9.960200E+01	  0.016400000	2.840000E+00	  0.016400000	-4.217100E+01
34	  0.016600000	-5.730000E-01	  0.016600000	-1.009400E+02	  0.016600000	2.771000E+00	  0.016600000	-4.118400E+01
35	  0.016799999	-5.670000E-01	  0.016799999	-1.022840E+02	  0.016799999	2.689000E+00	  0.016799999	-4.021300E+01
36	  0.016999999	-5.630000E-01	  0.016999999	-1.036550E+02	  0.016999999	2.622000E+00	  0.016999999	-3.924000E+01
37	  0.017200001	-5.600000E-01	  0.017200001	-1.050120E+02	  0.017200001	2.558000E+00	  0.017200001	-3.829400E+01
38	  0.017400000	-5.640000E-01	  0.017400000	-1.063400E+02	  0.017400000	2.532000E+00	  0.017400000	-3.738300E+01
39	  0.017600000	-5.680000E-01	  0.017600000	-1.076760E+02	  0.017600000	2.506000E+00	  0.017600000	-3.648300E+01
40	  0.017800000	-5.700000E-01	  0.017800000	-1.090560E+02	  0.017800000	2.475000E+00	  0.017800000	-3.556900E+01
41	  0.017999999	-5.740000E-01	  0.017999999	-1.104220E+02	  0.017999999	2.450000E+00	  0.017999999	-3.468000E+01
42	  0.018200001	-5.750000E-01	  0.018200001	-1.117980E+02	  0.018200001	2.413000E+00	  0.018200001	-3.379900E+01
43	  0.018400000	-5.720000E-01	  0.018400000	-1.131810E+02	  0.018400000	2.361000E+00	  0.018400000	-3.292900E+01
44	  0.018600000	-5.720000E-01	  0.018600000	-1.145720E+02	  0.018600000	2.325000E+00	  0.018600000	-3.206700E+01
45	  0.018800002	-5.680000E-01	  0.018800002	-1.159670E+02	  0.018800002	2.273000E+00	  0.018800002	-3.121600E+01
46	  0.019000001	-5.680000E-01	  0.019000001	-1.173670E+02	  0.019000001	2.241000E+00	  0.019000001	-3.037500E+01
47	  0.019200001	-5.700000E-01	  0.019200001	-1.188080E+02	  0.019200001	2.215000E+00	  0.019200001	-2.952200E+01
48	  0.019399999	-5.760000E-01	  0.019399999	-1.202160E+02	  0.019399999	2.204000E+00	  0.019399999	-2.869900E+01
49	  0.019599998	-5.780000E-01	  0.019599998	-1.216700E+02	  0.019599998	2.183000E+00	  0.019599998	-2.786300E+01
50	  0.019800000	-5.780000E-01	  0.019800000	-1.231450E+02	  0.019800000	2.150000E+00	  0.019800000	-2.702600E+01
51	  0.020000000	-5.730000E-01	  0.020000000	-1.245580E+02	  0.020000000	2.106000E+00	  0.020000000	-2.623600E+01
52	  0.020199999	-5.730000E-01	  0.020199999	-1.259930E+02	  0.020199999	2.077000E+00	  0.020199999	-2.544500E+01
53	  0.020400001	-5.720000E-01	  0.020400001	-1.274330E+02	  0.020400001	2.049000E+00	  0.020400001	-2.466000E+01
54	  0.020600000	-5.730000E-01	  0.020600000	-1.288700E+02	  0.020600000	2.027000E+00	  0.020600000	-2.388600E+01
55	  0.020800000	-5.780000E-01	  0.020800000	-1.303350E+02	  0.020800000	2.019000E+00	  0.020800000	-2.310600E+01
56	  0.021000000	-5.880000E-01	  0.021000000	-1.318470E+02	  0.021000000	2.030000E+00	  0.021000000	-2.231000E+01
57	  0.021199999	-5.930000E-01	  0.021199999	-1.333260E+02	  0.021199999	2.023000E+00	  0.021199999	-2.154100E+01
58	  0.021400001	-6.000000E-01	  0.021400001	-1.348360E+02	  0.021400001	2.027000E+00	  0.021400001	-2.076500E+01
59	  0.021600001	-6.010000E-01	  0.021600001	-1.363350E+02	  0.021600001	2.009000E+00	  0.021600001	-2.000300E+01
60	  0.021800000	-6.070000E-01	  0.021800000	-1.378140E+02	  0.021800000	2.008000E+00	  0.021800000	-1.925800E+01
