! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/254.ew.sma.me.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 12:50:08 PM	12/20/2017 12:32:09 PM
! INTERNAL TEMP:    	44.5 C	45.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-5.063000E+01	  0.010000000	1.644690E+02	  0.010000000	4.971700E+01	  0.010000000	7.800000E-02
2	  0.010200000	-5.122000E+01	  0.010200000	1.615690E+02	  0.010200000	4.973900E+01	  0.010200000	8.600000E-02
3	  0.010400000	-5.049100E+01	  0.010400000	1.605960E+02	  0.010400000	4.971800E+01	  0.010400000	9.800000E-02
4	  0.010600000	-5.089600E+01	  0.010600000	1.594190E+02	  0.010600000	4.973300E+01	  0.010600000	9.900000E-02
5	  0.010800000	-5.105900E+01	  0.010800000	1.618050E+02	  0.010800000	4.973400E+01	  0.010800000	8.600000E-02
6	  0.011000001	-5.079500E+01	  0.011000001	1.562840E+02	  0.011000001	4.973600E+01	  0.011000001	1.150000E-01
7	  0.011200000	-5.078800E+01	  0.011200000	1.585450E+02	  0.011200000	4.973100E+01	  0.011200000	1.050000E-01
8	  0.011399999	-5.072100E+01	  0.011399999	1.565980E+02	  0.011399999	4.973300E+01	  0.011399999	1.140000E-01
9	  0.011600000	-5.077700E+01	  0.011600000	1.549100E+02	  0.011600000	4.973800E+01	  0.011600000	1.210000E-01
10	  0.011800000	-5.103500E+01	  0.011800000	1.547340E+02	  0.011800000	4.974600E+01	  0.011800000	1.190000E-01
11	  0.012000000	-5.112400E+01	  0.012000000	1.539600E+02	  0.012000000	4.975000E+01	  0.012000000	1.210000E-01
12	  0.012200000	-5.110000E+01	  0.012200000	1.521930E+02	  0.012200000	4.975400E+01	  0.012200000	1.290000E-01
13	  0.012400000	-5.104900E+01	  0.012400000	1.504570E+02	  0.012400000	4.975600E+01	  0.012400000	1.370000E-01
14	  0.012600001	-5.105500E+01	  0.012600001	1.513250E+02	  0.012600001	4.975400E+01	  0.012600001	1.330000E-01
15	  0.012800000	-5.107100E+01	  0.012800000	1.511200E+02	  0.012800000	4.975500E+01	  0.012800000	1.340000E-01
16	  0.012999999	-5.103900E+01	  0.012999999	1.478310E+02	  0.012999999	4.976200E+01	  0.012999999	1.480000E-01
