! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/254.ew.sma.r50.22.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/20/2017 01:10:33 PM	12/20/2017 12:55:07 PM
! INTERNAL TEMP:    	44.3 C	44.3 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.499200E+01	  0.010000000	6.704500E+01	  0.010000000	5.021700E+01	  0.010000000	5.200000E-01
2	  0.010200000	-4.478500E+01	  0.010200000	6.672800E+01	  0.010200000	5.022500E+01	  0.010200000	5.310000E-01
3	  0.010400000	-4.512600E+01	  0.010400000	6.741200E+01	  0.010400000	5.021000E+01	  0.010400000	5.130000E-01
4	  0.010600000	-4.479600E+01	  0.010600000	6.719300E+01	  0.010600000	5.022000E+01	  0.010600000	5.330000E-01
5	  0.010800000	-4.494600E+01	  0.010800000	6.490300E+01	  0.010800000	5.023700E+01	  0.010800000	5.140000E-01
6	  0.011000001	-4.458900E+01	  0.011000001	6.612300E+01	  0.011000001	5.023600E+01	  0.011000001	5.410000E-01
7	  0.011200000	-4.457000E+01	  0.011200000	6.409800E+01	  0.011200000	5.025500E+01	  0.011200000	5.340000E-01
8	  0.011399999	-4.441100E+01	  0.011399999	6.518000E+01	  0.011399999	5.025000E+01	  0.011399999	5.480000E-01
9	  0.011600000	-4.420600E+01	  0.011600000	6.282300E+01	  0.011600000	5.027900E+01	  0.011600000	5.510000E-01
10	  0.011800000	-4.420700E+01	  0.011800000	6.220400E+01	  0.011800000	5.028500E+01	  0.011800000	5.480000E-01
11	  0.012000000	-4.430600E+01	  0.012000000	6.238100E+01	  0.012000000	5.028000E+01	  0.012000000	5.420000E-01
12	  0.012200000	-4.393400E+01	  0.012200000	6.088700E+01	  0.012200000	5.030700E+01	  0.012200000	5.580000E-01
13	  0.012400000	-4.394400E+01	  0.012400000	6.220900E+01	  0.012400000	5.029300E+01	  0.012400000	5.650000E-01
14	  0.012600001	-4.394200E+01	  0.012600001	5.973000E+01	  0.012600001	5.031800E+01	  0.012600001	5.520000E-01
15	  0.012800000	-4.362500E+01	  0.012800000	6.040500E+01	  0.012800000	5.032300E+01	  0.012800000	5.760000E-01
16	  0.012999999	-4.350100E+01	  0.012999999	6.038300E+01	  0.012999999	5.032700E+01	  0.012999999	5.840000E-01
17	  0.013200000	-4.336200E+01	  0.013200000	5.923400E+01	  0.013200000	5.034500E+01	  0.013200000	5.870000E-01
18	  0.013400001	-4.310800E+01	  0.013400001	5.920500E+01	  0.013400001	5.035500E+01	  0.013400001	6.040000E-01
19	  0.013600000	-4.303500E+01	  0.013600000	5.993800E+01	  0.013600000	5.035000E+01	  0.013600000	6.140000E-01
20	  0.013800000	-4.295900E+01	  0.013800000	6.127900E+01	  0.013800000	5.033900E+01	  0.013800000	6.280000E-01
21	  0.014000000	-4.272700E+01	  0.014000000	5.984100E+01	  0.014000000	5.036400E+01	  0.014000000	6.360000E-01
22	  0.014200001	-4.261000E+01	  0.014200001	5.994400E+01	  0.014200001	5.036800E+01	  0.014200001	6.450000E-01
23	  0.014400000	-4.236700E+01	  0.014400000	6.069800E+01	  0.014400000	5.036900E+01	  0.014400000	6.680000E-01
24	  0.014599999	-4.229400E+01	  0.014599999	5.932100E+01	  0.014599999	5.038800E+01	  0.014599999	6.650000E-01
25	  0.014800000	-4.232600E+01	  0.014800000	5.957600E+01	  0.014800000	5.038400E+01	  0.014800000	6.640000E-01
26	  0.015000001	-4.216100E+01	  0.015000001	6.165500E+01	  0.015000001	5.036600E+01	  0.015000001	6.910000E-01
27	  0.015200000	-4.207900E+01	  0.015200000	6.037400E+01	  0.015200000	5.038500E+01	  0.015200000	6.890000E-01
28	  0.015400000	-4.181900E+01	  0.015400000	6.134500E+01	  0.015400000	5.038500E+01	  0.015400000	7.170000E-01
29	  0.015600001	-4.187500E+01	  0.015600001	6.103400E+01	  0.015600001	5.038600E+01	  0.015600001	7.100000E-01
30	  0.015800001	-4.199000E+01	  0.015800001	6.169800E+01	  0.015800001	5.037300E+01	  0.015800001	7.050000E-01
31	  0.016000001	-4.189200E+01	  0.016000001	6.129100E+01	  0.016000001	5.038200E+01	  0.016000001	7.100000E-01
32	  0.016200000	-4.175000E+01	  0.016200000	6.258300E+01	  0.016200000	5.037200E+01	  0.016200000	7.310000E-01
33	  0.016400000	-4.172400E+01	  0.016400000	6.251200E+01	  0.016400000	5.037400E+01	  0.016400000	7.320000E-01
34	  0.016600000	-4.166800E+01	  0.016600000	6.148600E+01	  0.016600000	5.039000E+01	  0.016600000	7.300000E-01
35	  0.016799999	-4.170100E+01	  0.016799999	6.231600E+01	  0.016799999	5.037800E+01	  0.016799999	7.330000E-01
36	  0.016999999	-4.164000E+01	  0.016999999	6.145700E+01	  0.016999999	5.039100E+01	  0.016999999	7.330000E-01
37	  0.017200001	-4.179700E+01	  0.017200001	6.087400E+01	  0.017200001	5.039200E+01	  0.017200001	7.150000E-01
38	  0.017400000	-4.156200E+01	  0.017400000	6.115700E+01	  0.017400000	5.039900E+01	  0.017400000	7.370000E-01
39	  0.017600000	-4.151600E+01	  0.017600000	6.092200E+01	  0.017600000	5.040400E+01	  0.017600000	7.390000E-01
40	  0.017800000	-4.156100E+01	  0.017800000	6.058500E+01	  0.017800000	5.040600E+01	  0.017800000	7.330000E-01
41	  0.017999999	-4.177600E+01	  0.017999999	6.017200E+01	  0.017999999	5.040100E+01	  0.017999999	7.120000E-01
42	  0.018200001	-4.143600E+01	  0.018200001	5.986900E+01	  0.018200001	5.042100E+01	  0.018200001	7.390000E-01
43	  0.018400000	-4.145700E+01	  0.018400000	5.827800E+01	  0.018400000	5.044100E+01	  0.018400000	7.250000E-01
44	  0.018600000	-4.129200E+01	  0.018600000	5.778500E+01	  0.018600000	5.045600E+01	  0.018600000	7.350000E-01
45	  0.018800002	-4.122800E+01	  0.018800002	5.783600E+01	  0.018800002	5.045800E+01	  0.018800002	7.410000E-01
46	  0.019000001	-4.118500E+01	  0.019000001	5.740000E+01	  0.019000001	5.046600E+01	  0.019000001	7.410000E-01
47	  0.019200001	-4.112200E+01	  0.019200001	5.788700E+01	  0.019200001	5.046300E+01	  0.019200001	7.510000E-01
48	  0.019399999	-4.104500E+01	  0.019399999	5.733000E+01	  0.019399999	5.047500E+01	  0.019399999	7.530000E-01
49	  0.019599998	-4.093100E+01	  0.019599998	5.582200E+01	  0.019599998	5.050100E+01	  0.019599998	7.500000E-01
50	  0.019800000	-4.059500E+01	  0.019800000	5.644500E+01	  0.019800000	5.051200E+01	  0.019800000	7.860000E-01
51	  0.020000000	-4.071600E+01	  0.020000000	5.613300E+01	  0.020000000	5.050900E+01	  0.020000000	7.720000E-01
52	  0.020199999	-4.054300E+01	  0.020199999	5.522600E+01	  0.020199999	5.053200E+01	  0.020199999	7.790000E-01
53	  0.020400001	-4.038400E+01	  0.020400001	5.511200E+01	  0.020400001	5.054300E+01	  0.020400001	7.930000E-01
54	  0.020600000	-4.044500E+01	  0.020600000	5.532400E+01	  0.020600000	5.053700E+01	  0.020600000	7.890000E-01
55	  0.020800000	-4.006500E+01	  0.020800000	5.484200E+01	  0.020800000	5.056800E+01	  0.020800000	8.200000E-01
56	  0.021000000	-3.999300E+01	  0.021000000	5.553200E+01	  0.021000000	5.056200E+01	  0.021000000	8.340000E-01
57	  0.021199999	-3.984000E+01	  0.021199999	5.550300E+01	  0.021199999	5.057300E+01	  0.021199999	8.490000E-01
58	  0.021400001	-3.980700E+01	  0.021400001	5.600500E+01	  0.021400001	5.056700E+01	  0.021400001	8.570000E-01
59	  0.021600001	-3.989000E+01	  0.021600001	5.574000E+01	  0.021600001	5.056600E+01	  0.021600001	8.460000E-01
60	  0.021800000	-3.960300E+01	  0.021800000	5.532200E+01	  0.021800000	5.059100E+01	  0.021800000	8.710000E-01
61	  0.022000002	-3.958300E+01	  0.022000002	5.661300E+01	  0.022000002	5.057200E+01	  0.022000002	8.860000E-01
62	  0.022200001	-3.952600E+01	  0.022200001	5.646200E+01	  0.022200001	5.057900E+01	  0.022200001	8.900000E-01
63	  0.022399999	-3.945000E+01	  0.022399999	5.655800E+01	  0.022399999	5.058200E+01	  0.022399999	8.990000E-01
64	  0.022599999	-3.947200E+01	  0.022599999	5.724900E+01	  0.022599999	5.057000E+01	  0.022599999	9.030000E-01
65	  0.022799999	-3.928900E+01	  0.022799999	5.781500E+01	  0.022799999	5.057200E+01	  0.022799999	9.290000E-01
66	  0.023000000	-3.937400E+01	  0.023000000	5.750800E+01	  0.023000000	5.057200E+01	  0.023000000	9.160000E-01
67	  0.023200000	-3.931900E+01	  0.023200000	5.692200E+01	  0.023200000	5.058500E+01	  0.023200000	9.160000E-01
68	  0.023399999	-3.922300E+01	  0.023399999	5.779900E+01	  0.023399999	5.057700E+01	  0.023399999	9.360000E-01
69	  0.023600001	-3.934100E+01	  0.023600001	5.803200E+01	  0.023600001	5.056500E+01	  0.023600001	9.250000E-01
70	  0.023800001	-3.913600E+01	  0.023800001	5.752900E+01	  0.023800001	5.058700E+01	  0.023800001	9.420000E-01
71	  0.024000000	-3.929300E+01	  0.024000000	5.739600E+01	  0.024000000	5.057900E+01	  0.024000000	9.240000E-01
72	  0.024200000	-3.926800E+01	  0.024200000	5.778200E+01	  0.024200000	5.057400E+01	  0.024200000	9.310000E-01
73	  0.024400000	-3.918500E+01	  0.024400000	5.762200E+01	  0.024400000	5.058200E+01	  0.024400000	9.380000E-01
74	  0.024600001	-3.925800E+01	  0.024600001	5.702100E+01	  0.024600001	5.058700E+01	  0.024600001	9.240000E-01
75	  0.024800001	-3.920800E+01	  0.024800001	5.615700E+01	  0.024800001	5.060500E+01	  0.024800001	9.200000E-01
76	  0.025000000	-3.928600E+01	  0.025000000	5.686600E+01	  0.025000000	5.058800E+01	  0.025000000	9.190000E-01
77	  0.025200002	-3.924000E+01	  0.025200002	5.696100E+01	  0.025200002	5.059000E+01	  0.025200002	9.250000E-01
78	  0.025400000	-3.917500E+01	  0.025400000	5.578000E+01	  0.025400000	5.061300E+01	  0.025400000	9.200000E-01
79	  0.025599999	-3.914200E+01	  0.025599999	5.614300E+01	  0.025599999	5.061000E+01	  0.025599999	9.270000E-01
80	  0.025799999	-3.909700E+01	  0.025799999	5.593200E+01	  0.025799999	5.061600E+01	  0.025799999	9.300000E-01
81	  0.025999999	-3.889800E+01	  0.025999999	5.516900E+01	  0.025999999	5.064300E+01	  0.025999999	9.430000E-01
82	  0.026200000	-3.894600E+01	  0.026200000	5.418400E+01	  0.026200000	5.065600E+01	  0.026200000	9.270000E-01
83	  0.026400000	-3.895400E+01	  0.026400000	5.417800E+01	  0.026400000	5.065600E+01	  0.026400000	9.260000E-01
84	  0.026600000	-3.877900E+01	  0.026600000	5.350700E+01	  0.026600000	5.068000E+01	  0.026600000	9.370000E-01
85	  0.026800001	-3.877700E+01	  0.026800001	5.276400E+01	  0.026800001	5.069200E+01	  0.026800001	9.290000E-01
86	  0.027000001	-3.858000E+01	  0.027000001	5.335900E+01	  0.027000001	5.069800E+01	  0.027000001	9.580000E-01
87	  0.027200000	-3.859500E+01	  0.027200000	5.274600E+01	  0.027200000	5.070700E+01	  0.027200000	9.490000E-01
88	  0.027400000	-3.839500E+01	  0.027400000	5.254500E+01	  0.027400000	5.072700E+01	  0.027400000	9.680000E-01
89	  0.027600000	-3.843200E+01	  0.027600000	5.251100E+01	  0.027600000	5.072500E+01	  0.027600000	9.640000E-01
90	  0.027800001	-3.823600E+01	  0.027800001	5.221000E+01	  0.027800001	5.074600E+01	  0.027800001	9.820000E-01
91	  0.028000001	-3.815900E+01	  0.028000001	5.272100E+01	  0.028000001	5.074400E+01	  0.028000001	9.980000E-01
92	  0.028200001	-3.824400E+01	  0.028200001	5.361300E+01	  0.028200001	5.072100E+01	  0.028200001	9.990000E-01
93	  0.028400002	-3.796600E+01	  0.028400002	5.242700E+01	  0.028400002	5.076600E+01	  0.028400002	1.017000E+00
94	  0.028600000	-3.794300E+01	  0.028600000	5.246300E+01	  0.028600000	5.076700E+01	  0.028600000	1.020000E+00
95	  0.028800000	-3.790400E+01	  0.028800000	5.267300E+01	  0.028800000	5.076700E+01	  0.028800000	1.027000E+00
96	  0.028999999	-3.793200E+01	  0.028999999	5.332400E+01	  0.028999999	5.075300E+01	  0.028999999	1.033000E+00
97	  0.029199999	-3.790400E+01	  0.029199999	5.272400E+01	  0.029199999	5.076600E+01	  0.029199999	1.028000E+00
98	  0.029400000	-3.784400E+01	  0.029400000	5.273000E+01	  0.029400000	5.077100E+01	  0.029400000	1.035000E+00
99	  0.029600000	-3.771900E+01	  0.029600000	5.357000E+01	  0.029600000	5.076600E+01	  0.029600000	1.062000E+00
100	  0.029800000	-3.765600E+01	  0.029800000	5.371200E+01	  0.029800000	5.076900E+01	  0.029800000	1.072000E+00
101	  0.030000001	-3.769100E+01	  0.030000001	5.413700E+01	  0.030000001	5.075800E+01	  0.030000001	1.073000E+00
102	  0.030200001	-3.766200E+01	  0.030200001	5.364600E+01	  0.030200001	5.077000E+01	  0.030200001	1.070000E+00
103	  0.030400001	-3.762900E+01	  0.030400001	5.351100E+01	  0.030400001	5.077500E+01	  0.030400001	1.072000E+00
104	  0.030600000	-3.765800E+01	  0.030600000	5.389700E+01	  0.030600000	5.076600E+01	  0.030600000	1.074000E+00
105	  0.030800000	-3.765000E+01	  0.030800000	5.422500E+01	  0.030800000	5.076000E+01	  0.030800000	1.079000E+00
106	  0.031000001	-3.765400E+01	  0.031000001	5.351200E+01	  0.031000001	5.077300E+01	  0.031000001	1.069000E+00
107	  0.031200001	-3.745100E+01	  0.031200001	5.443400E+01	  0.031200001	5.077300E+01	  0.031200001	1.107000E+00
108	  0.031399999	-3.753600E+01	  0.031399999	5.315700E+01	  0.031399999	5.079100E+01	  0.031399999	1.079000E+00
109	  0.031600002	-3.762600E+01	  0.031600002	5.421900E+01	  0.031600002	5.076200E+01	  0.031600002	1.082000E+00
110	  0.031800002	-3.762200E+01	  0.031800002	5.346800E+01	  0.031800002	5.077700E+01	  0.031800002	1.073000E+00
111	  0.032000002	-3.766900E+01	  0.032000002	5.311400E+01	  0.032000002	5.077900E+01	  0.032000002	1.062000E+00
112	  0.032200001	-3.758900E+01	  0.032200001	5.266200E+01	  0.032200001	5.079500E+01	  0.032200001	1.066000E+00
113	  0.032400001	-3.761800E+01	  0.032400001	5.252500E+01	  0.032400001	5.079500E+01	  0.032400001	1.060000E+00
114	  0.032600001	-3.741000E+01	  0.032600001	5.240400E+01	  0.032600001	5.081700E+01	  0.032600001	1.085000E+00
115	  0.032800000	-3.744000E+01	  0.032800000	5.164800E+01	  0.032800000	5.082800E+01	  0.032800000	1.070000E+00
116	  0.033000000	-3.735000E+01	  0.033000000	5.168100E+01	  0.033000000	5.083600E+01	  0.033000000	1.082000E+00
117	  0.033199999	-3.733800E+01	  0.033199999	5.076000E+01	  0.033199999	5.085500E+01	  0.033199999	1.070000E+00
118	  0.033399999	-3.738400E+01	  0.033399999	5.000800E+01	  0.033399999	5.086500E+01	  0.033399999	1.053000E+00
119	  0.033599999	-3.732700E+01	  0.033599999	5.072300E+01	  0.033599999	5.085700E+01	  0.033599999	1.071000E+00
120	  0.033799998	-3.718300E+01	  0.033799998	5.057300E+01	  0.033799998	5.087400E+01	  0.033799998	1.087000E+00
121	  0.033999998	-3.709600E+01	  0.033999998	5.002100E+01	  0.033999998	5.089300E+01	  0.033999998	1.089000E+00
