! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.n.r20.2_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 06:52:35 PM	12/17/2017 06:38:14 PM
! INTERNAL TEMP:    	43.0 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-7.252000E+00	  0.010000000	1.666220E+02	  0.010000000	1.996900E+01	  0.010000000	4.939000E+00
2	  0.010195807	-7.242000E+00	  0.010195807	1.663640E+02	  0.010195807	1.995300E+01	  0.010195807	5.037000E+00
3	  0.010391613	-7.241000E+00	  0.010391613	1.660860E+02	  0.010391613	1.996000E+01	  0.010391613	5.140000E+00
4	  0.010587418	-7.242000E+00	  0.010587418	1.658010E+02	  0.010587418	1.997200E+01	  0.010587418	5.246000E+00
5	  0.010783225	-7.240000E+00	  0.010783225	1.655210E+02	  0.010783225	1.997900E+01	  0.010783225	5.350000E+00
6	  0.010979031	-7.244000E+00	  0.010979031	1.652170E+02	  0.010979031	1.999900E+01	  0.010979031	5.462000E+00
7	  0.011174837	-7.245000E+00	  0.011174837	1.649180E+02	  0.011174837	2.001300E+01	  0.011174837	5.573000E+00
8	  0.011370643	-7.241000E+00	  0.011370643	1.646570E+02	  0.011370643	2.001400E+01	  0.011370643	5.671000E+00
9	  0.011566450	-7.249000E+00	  0.011566450	1.643630E+02	  0.011566450	2.004700E+01	  0.011566450	5.779000E+00
10	  0.011762256	-7.241000E+00	  0.011762256	1.641060E+02	  0.011762256	2.003700E+01	  0.011762256	5.876000E+00
11	  0.011958062	-7.241000E+00	  0.011958062	1.638040E+02	  0.011958062	2.005000E+01	  0.011958062	5.989000E+00
12	  0.012153869	-7.241000E+00	  0.012153869	1.635570E+02	  0.012153869	2.006000E+01	  0.012153869	6.081000E+00
13	  0.012349674	-7.238000E+00	  0.012349674	1.632710E+02	  0.012349674	2.006500E+01	  0.012349674	6.188000E+00
14	  0.012545481	-7.237000E+00	  0.012545481	1.630170E+02	  0.012545481	2.007300E+01	  0.012545481	6.283000E+00
15	  0.012741288	-7.237000E+00	  0.012741288	1.627500E+02	  0.012741288	2.008600E+01	  0.012741288	6.383000E+00
16	  0.012937094	-7.237000E+00	  0.012937094	1.625640E+02	  0.012937094	2.009400E+01	  0.012937094	6.452000E+00
