! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.n_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 06:49:15 PM	12/17/2017 06:38:14 PM
! INTERNAL TEMP:    	43.3 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-6.740000E-01	  0.010000000	-5.955100E+01	  0.010000000	7.826000E+00	  0.010000000	-8.685900E+01
2	  0.010195807	-6.650000E-01	  0.010195807	-6.070700E+01	  0.010195807	7.466000E+00	  0.010195807	-8.489200E+01
3	  0.010391613	-6.700000E-01	  0.010391613	-6.192600E+01	  0.010391613	7.262000E+00	  0.010391613	-8.286700E+01
4	  0.010587418	-6.800000E-01	  0.010587418	-6.317500E+01	  0.010587418	7.108000E+00	  0.010587418	-8.085900E+01
5	  0.010783225	-6.850000E-01	  0.010783225	-6.445200E+01	  0.010783225	6.905000E+00	  0.010783225	-7.888500E+01
6	  0.010979031	-6.920000E-01	  0.010979031	-6.568100E+01	  0.010979031	6.743000E+00	  0.010979031	-7.704700E+01
7	  0.011174837	-6.990000E-01	  0.011174837	-6.691600E+01	  0.011174837	6.593000E+00	  0.011174837	-7.526000E+01
8	  0.011370643	-7.000000E-01	  0.011370643	-6.819000E+01	  0.011370643	6.387000E+00	  0.011370643	-7.348300E+01
9	  0.011566450	-7.100000E-01	  0.011566450	-6.939700E+01	  0.011566450	6.288000E+00	  0.011566450	-7.184000E+01
10	  0.011762256	-7.140000E-01	  0.011762256	-7.064900E+01	  0.011762256	6.129000E+00	  0.011762256	-7.019700E+01
11	  0.011958062	-7.240000E-01	  0.011958062	-7.193600E+01	  0.011958062	6.022000E+00	  0.011958062	-6.855300E+01
12	  0.012153869	-7.300000E-01	  0.012153869	-7.319400E+01	  0.012153869	5.891000E+00	  0.012153869	-6.699800E+01
13	  0.012349674	-7.360000E-01	  0.012349674	-7.449700E+01	  0.012349674	5.761000E+00	  0.012349674	-6.543500E+01
14	  0.012545481	-7.410000E-01	  0.012545481	-7.578000E+01	  0.012545481	5.636000E+00	  0.012545481	-6.394100E+01
15	  0.012741288	-7.450000E-01	  0.012741288	-7.702800E+01	  0.012741288	5.516000E+00	  0.012741288	-6.252900E+01
16	  0.012937094	-7.500000E-01	  0.012937094	-7.833100E+01	  0.012937094	5.399000E+00	  0.012937094	-6.109400E+01
17	  0.013132900	-7.590000E-01	  0.013132900	-7.960300E+01	  0.013132900	5.314000E+00	  0.013132900	-5.972900E+01
18	  0.013328707	-7.620000E-01	  0.013328707	-8.087600E+01	  0.013328707	5.198000E+00	  0.013328707	-5.840200E+01
19	  0.013524513	-7.660000E-01	  0.013524513	-8.215000E+01	  0.013524513	5.097000E+00	  0.013524513	-5.710700E+01
20	  0.013720319	-7.720000E-01	  0.013720319	-8.340400E+01	  0.013720319	5.006000E+00	  0.013720319	-5.586400E+01
21	  0.013916126	-7.790000E-01	  0.013916126	-8.468700E+01	  0.013916126	4.927000E+00	  0.013916126	-5.462200E+01
22	  0.014111931	-7.880000E-01	  0.014111931	-8.596400E+01	  0.014111931	4.869000E+00	  0.014111931	-5.341500E+01
23	  0.014307737	-7.950000E-01	  0.014307737	-8.724400E+01	  0.014307737	4.794000E+00	  0.014307737	-5.223400E+01
24	  0.014503544	-8.080000E-01	  0.014503544	-8.853200E+01	  0.014503544	4.759000E+00	  0.014503544	-5.106900E+01
25	  0.014699350	-8.180000E-01	  0.014699350	-8.981000E+01	  0.014699350	4.713000E+00	  0.014699350	-4.994300E+01
26	  0.014895156	-8.270000E-01	  0.014895156	-9.111400E+01	  0.014895156	4.660000E+00	  0.014895156	-4.881900E+01
27	  0.015090963	-8.350000E-01	  0.015090963	-9.242300E+01	  0.015090963	4.599000E+00	  0.015090963	-4.771600E+01
28	  0.015286769	-8.410000E-01	  0.015286769	-9.369200E+01	  0.015286769	4.536000E+00	  0.015286769	-4.667100E+01
29	  0.015482575	-8.420000E-01	  0.015482575	-9.497300E+01	  0.015482575	4.451000E+00	  0.015482575	-4.564000E+01
30	  0.015678382	-8.470000E-01	  0.015678382	-9.624800E+01	  0.015678382	4.387000E+00	  0.015678382	-4.463200E+01
31	  0.015874187	-8.530000E-01	  0.015874187	-9.753800E+01	  0.015874187	4.334000E+00	  0.015874187	-4.363200E+01
32	  0.016069993	-8.610000E-01	  0.016069993	-9.883400E+01	  0.016069993	4.287000E+00	  0.016069993	-4.264700E+01
33	  0.016265800	-8.660000E-01	  0.016265800	-1.001460E+02	  0.016265800	4.229000E+00	  0.016265800	-4.167000E+01
34	  0.016461605	-8.750000E-01	  0.016461605	-1.014590E+02	  0.016461605	4.191000E+00	  0.016461605	-4.070800E+01
35	  0.016657412	-8.790000E-01	  0.016657412	-1.027950E+02	  0.016657412	4.136000E+00	  0.016657412	-3.975000E+01
36	  0.016853219	-8.850000E-01	  0.016853219	-1.041480E+02	  0.016853219	4.087000E+00	  0.016853219	-3.879800E+01
37	  0.017049024	-8.910000E-01	  0.017049024	-1.054880E+02	  0.017049024	4.038000E+00	  0.017049024	-3.787100E+01
38	  0.017244833	-8.980000E-01	  0.017244833	-1.067930E+02	  0.017244833	4.001000E+00	  0.017244833	-3.698400E+01
39	  0.017440638	-9.080000E-01	  0.017440638	-1.081440E+02	  0.017440638	3.979000E+00	  0.017440638	-3.608000E+01
40	  0.017636444	-9.230000E-01	  0.017636444	-1.094910E+02	  0.017636444	3.974000E+00	  0.017636444	-3.519200E+01
