! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.sma.r200.v2.2_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 06:32:25 PM	12/17/2017 06:11:23 PM
! INTERNAL TEMP:    	43.8 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.534000E+00	  0.010000000	-1.080900E+01	  0.010000000	1.737760E+02	  0.010000000	-5.968600E+01
2	  0.010195807	-4.523000E+00	  0.010195807	-1.095600E+01	  0.010195807	1.735310E+02	  0.010195807	-6.055600E+01
3	  0.010391613	-4.519000E+00	  0.010391613	-1.117300E+01	  0.010391613	1.728440E+02	  0.010391613	-6.155700E+01
4	  0.010587418	-4.526000E+00	  0.010587418	-1.135400E+01	  0.010587418	1.719880E+02	  0.010587418	-6.212900E+01
5	  0.010783225	-4.525000E+00	  0.010783225	-1.159400E+01	  0.010783225	1.710990E+02	  0.010783225	-6.310100E+01
6	  0.010979031	-4.529000E+00	  0.010979031	-1.177600E+01	  0.010979031	1.703090E+02	  0.010979031	-6.372700E+01
7	  0.011174837	-4.531000E+00	  0.011174837	-1.199600E+01	  0.011174837	1.694280E+02	  0.011174837	-6.453500E+01
8	  0.011370643	-4.529000E+00	  0.011370643	-1.221400E+01	  0.011370643	1.686460E+02	  0.011370643	-6.542400E+01
9	  0.011566450	-4.533000E+00	  0.011566450	-1.242100E+01	  0.011566450	1.677510E+02	  0.011566450	-6.609800E+01
10	  0.011762256	-4.533000E+00	  0.011762256	-1.263700E+01	  0.011762256	1.669090E+02	  0.011762256	-6.688700E+01
11	  0.011958062	-4.534000E+00	  0.011958062	-1.284400E+01	  0.011958062	1.660780E+02	  0.011958062	-6.761100E+01
12	  0.012153869	-4.535000E+00	  0.012153869	-1.307600E+01	  0.012153869	1.651440E+02	  0.012153869	-6.841000E+01
13	  0.012349674	-4.540000E+00	  0.012349674	-1.329800E+01	  0.012349674	1.641340E+02	  0.012349674	-6.903200E+01
14	  0.012545481	-4.538000E+00	  0.012545481	-1.352600E+01	  0.012545481	1.632780E+02	  0.012545481	-6.986000E+01
15	  0.012741288	-4.542000E+00	  0.012741288	-1.374600E+01	  0.012741288	1.623120E+02	  0.012741288	-7.048700E+01
16	  0.012937094	-4.543000E+00	  0.012937094	-1.395800E+01	  0.012937094	1.614400E+02	  0.012937094	-7.114700E+01
