! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/255.ew.sma.r50.1_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/17/2017 05:55:14 PM	12/17/2017 05:44:58 PM
! INTERNAL TEMP:    	44.0 C	43.8 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	107.903 125 MHz	107.903 125 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.519200E+01	  0.010000000	6.896200E+01	  0.010000000	1.699000E+00	  0.010000000	3.369000E+00
2	  0.010195807	-4.521200E+01	  0.010195807	6.880800E+01	  0.010195807	1.776000E+00	  0.010195807	3.598000E+00
3	  0.010391613	-4.495100E+01	  0.010391613	6.817700E+01	  0.010391613	1.781000E+00	  0.010391613	3.664000E+00
4	  0.010587418	-4.503600E+01	  0.010587418	6.903500E+01	  0.010587418	1.763000E+00	  0.010587418	3.726000E+00
5	  0.010783225	-4.480600E+01	  0.010783225	6.921800E+01	  0.010783225	1.747000E+00	  0.010783225	3.792000E+00
6	  0.010979031	-4.498600E+01	  0.010979031	6.762100E+01	  0.010979031	1.744000E+00	  0.010979031	3.850000E+00
7	  0.011174837	-4.442200E+01	  0.011174837	6.881400E+01	  0.011174837	1.858000E+00	  0.011174837	4.089000E+00
8	  0.011370643	-4.472200E+01	  0.011370643	6.845800E+01	  0.011370643	1.881000E+00	  0.011370643	4.142000E+00
9	  0.011566450	-4.434500E+01	  0.011566450	7.031800E+01	  0.011566450	1.880000E+00	  0.011566450	4.193000E+00
10	  0.011762256	-4.432600E+01	  0.011762256	6.840100E+01	  0.011762256	1.895000E+00	  0.011762256	4.234000E+00
11	  0.011958062	-4.448100E+01	  0.011958062	7.082800E+01	  0.011958062	1.912000E+00	  0.011958062	4.280000E+00
12	  0.012153869	-4.413500E+01	  0.012153869	6.835400E+01	  0.012153869	2.038000E+00	  0.012153869	4.507000E+00
13	  0.012349674	-4.385200E+01	  0.012349674	6.603700E+01	  0.012349674	2.045000E+00	  0.012349674	4.549000E+00
14	  0.012545481	-4.398800E+01	  0.012545481	6.801700E+01	  0.012545481	2.053000E+00	  0.012545481	4.590000E+00
15	  0.012741288	-4.366200E+01	  0.012741288	6.823700E+01	  0.012741288	2.066000E+00	  0.012741288	4.631000E+00
16	  0.012937094	-4.399300E+01	  0.012937094	6.702700E+01	  0.012937094	2.072000E+00	  0.012937094	4.664000E+00
