! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ns.n.r200.12.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 04:07:53 PM	12/19/2017 03:58:02 PM
! INTERNAL TEMP:    	46.8 C	47.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-4.535000E+00	  0.010000000	-1.138400E+01	  0.010000000	1.716380E+02	  0.010000000	-6.203400E+01
2	  0.010200000	-4.523000E+00	  0.010200000	-1.159600E+01	  0.010200000	1.711450E+02	  0.010200000	-6.316500E+01
3	  0.010400000	-4.522000E+00	  0.010400000	-1.177700E+01	  0.010400000	1.704830E+02	  0.010400000	-6.390400E+01
4	  0.010600000	-4.525000E+00	  0.010600000	-1.205200E+01	  0.010600000	1.693710E+02	  0.010600000	-6.491000E+01
5	  0.010800000	-4.525000E+00	  0.010800000	-1.226100E+01	  0.010800000	1.685520E+02	  0.010800000	-6.568700E+01
6	  0.011000001	-4.528000E+00	  0.011000001	-1.251500E+01	  0.011000001	1.675090E+02	  0.011000001	-6.657500E+01
7	  0.011200000	-4.526000E+00	  0.011200000	-1.273700E+01	  0.011200000	1.666830E+02	  0.011200000	-6.743000E+01
8	  0.011399999	-4.526000E+00	  0.011399999	-1.297500E+01	  0.011399999	1.657530E+02	  0.011399999	-6.829000E+01
9	  0.011600000	-4.527000E+00	  0.011600000	-1.321600E+01	  0.011600000	1.647570E+02	  0.011600000	-6.908600E+01
10	  0.011800000	-4.529000E+00	  0.011800000	-1.344300E+01	  0.011800000	1.638260E+02	  0.011800000	-6.983400E+01
11	  0.012000000	-4.529000E+00	  0.012000000	-1.366600E+01	  0.012000000	1.629170E+02	  0.012000000	-7.056800E+01
12	  0.012200000	-4.528000E+00	  0.012200000	-1.392700E+01	  0.012200000	1.618830E+02	  0.012200000	-7.144700E+01
13	  0.012400000	-4.532000E+00	  0.012400000	-1.415000E+01	  0.012400000	1.609120E+02	  0.012400000	-7.207100E+01
14	  0.012600001	-4.533000E+00	  0.012600001	-1.439500E+01	  0.012600001	1.598960E+02	  0.012600001	-7.281900E+01
15	  0.012800000	-4.533000E+00	  0.012800000	-1.462900E+01	  0.012800000	1.589420E+02	  0.012800000	-7.353000E+01
16	  0.012999999	-4.532000E+00	  0.012999999	-1.484300E+01	  0.012999999	1.580760E+02	  0.012999999	-7.418700E+01
17	  0.013200000	-4.530000E+00	  0.013200000	-1.508600E+01	  0.013200000	1.571260E+02	  0.013200000	-7.495700E+01
18	  0.013400001	-4.534000E+00	  0.013400001	-1.530500E+01	  0.013400001	1.561400E+02	  0.013400001	-7.546700E+01
19	  0.013600000	-4.531000E+00	  0.013600000	-1.553000E+01	  0.013600000	1.552700E+02	  0.013600000	-7.617700E+01
20	  0.013800000	-4.529000E+00	  0.013800000	-1.575100E+01	  0.013800000	1.544050E+02	  0.013800000	-7.685100E+01
21	  0.014000000	-4.530000E+00	  0.014000000	-1.598600E+01	  0.014000000	1.534060E+02	  0.014000000	-7.743600E+01
22	  0.014200001	-4.534000E+00	  0.014200001	-1.622700E+01	  0.014200001	1.523470E+02	  0.014200001	-7.797000E+01
23	  0.014400000	-4.534000E+00	  0.014400000	-1.646000E+01	  0.014400000	1.513780E+02	  0.014400000	-7.855100E+01
24	  0.014599999	-4.534000E+00	  0.014599999	-1.670000E+01	  0.014599999	1.503790E+02	  0.014599999	-7.913400E+01
25	  0.014800000	-4.536000E+00	  0.014800000	-1.693500E+01	  0.014800000	1.493750E+02	  0.014800000	-7.964800E+01
26	  0.015000001	-4.537000E+00	  0.015000001	-1.715400E+01	  0.015000001	1.484480E+02	  0.015000001	-8.011800E+01
27	  0.015200000	-4.538000E+00	  0.015200000	-1.738200E+01	  0.015200000	1.474770E+02	  0.015200000	-8.059300E+01
28	  0.015400000	-4.539000E+00	  0.015400000	-1.762900E+01	  0.015400000	1.464490E+02	  0.015400000	-8.113200E+01
29	  0.015600001	-4.541000E+00	  0.015600001	-1.787400E+01	  0.015600001	1.454020E+02	  0.015600001	-8.158800E+01
30	  0.015800001	-4.542000E+00	  0.015800001	-1.809500E+01	  0.015800001	1.444670E+02	  0.015800001	-8.200400E+01
31	  0.016000001	-4.544000E+00	  0.016000001	-1.832600E+01	  0.016000001	1.435000E+02	  0.016000001	-8.243500E+01
32	  0.016200000	-4.547000E+00	  0.016200000	-1.853800E+01	  0.016200000	1.425800E+02	  0.016200000	-8.275900E+01
33	  0.016400000	-4.548000E+00	  0.016400000	-1.877600E+01	  0.016400000	1.415950E+02	  0.016400000	-8.318700E+01
34	  0.016600000	-4.550000E+00	  0.016600000	-1.900200E+01	  0.016600000	1.406390E+02	  0.016600000	-8.353500E+01
35	  0.016799999	-4.550000E+00	  0.016799999	-1.925400E+01	  0.016799999	1.396090E+02	  0.016799999	-8.398900E+01
36	  0.016999999	-4.551000E+00	  0.016999999	-1.949300E+01	  0.016999999	1.386190E+02	  0.016999999	-8.436800E+01
37	  0.017200001	-4.547000E+00	  0.017200001	-1.971800E+01	  0.017200001	1.377400E+02	  0.017200001	-8.483700E+01
38	  0.017400000	-4.548000E+00	  0.017400000	-1.994900E+01	  0.017400000	1.367910E+02	  0.017400000	-8.518600E+01
39	  0.017600000	-4.547000E+00	  0.017600000	-2.019200E+01	  0.017600000	1.358180E+02	  0.017600000	-8.558700E+01
40	  0.017800000	-4.547000E+00	  0.017800000	-2.042500E+01	  0.017800000	1.348690E+02	  0.017800000	-8.592300E+01
41	  0.017999999	-4.545000E+00	  0.017999999	-2.066000E+01	  0.017999999	1.339390E+02	  0.017999999	-8.631500E+01
42	  0.018200001	-4.547000E+00	  0.018200001	-2.088300E+01	  0.018200001	1.330190E+02	  0.018200001	-8.655000E+01
43	  0.018400000	-4.551000E+00	  0.018400000	-2.113700E+01	  0.018400000	1.319690E+02	  0.018400000	-8.679500E+01
44	  0.018600000	-4.557000E+00	  0.018600000	-2.136600E+01	  0.018600000	1.310090E+02	  0.018600000	-8.693500E+01
45	  0.018800002	-4.553000E+00	  0.018800002	-2.160000E+01	  0.018800002	1.301090E+02	  0.018800002	-8.731600E+01
46	  0.019000001	-4.551000E+00	  0.019000001	-2.184100E+01	  0.019000001	1.291650E+02	  0.019000001	-8.763000E+01
47	  0.019200001	-4.554000E+00	  0.019200001	-2.205400E+01	  0.019200001	1.283070E+02	  0.019200001	-8.780400E+01
48	  0.019399999	-4.556000E+00	  0.019399999	-2.229200E+01	  0.019399999	1.273570E+02	  0.019399999	-8.799100E+01
49	  0.019599998	-4.555000E+00	  0.019599998	-2.252500E+01	  0.019599998	1.264550E+02	  0.019599998	-8.826200E+01
50	  0.019800000	-4.555000E+00	  0.019800000	-2.276600E+01	  0.019800000	1.255170E+02	  0.019800000	-8.849100E+01
51	  0.020000000	-4.556000E+00	  0.020000000	-2.301600E+01	  0.020000000	1.245500E+02	  0.020000000	-8.871800E+01
52	  0.020199999	-4.553000E+00	  0.020199999	-2.321800E+01	  0.020199999	1.237870E+02	  0.020199999	-8.895200E+01
53	  0.020400001	-4.553000E+00	  0.020400001	-2.347000E+01	  0.020400001	1.228200E+02	  0.020400001	-8.916800E+01
54	  0.020600000	-4.552000E+00	  0.020600000	-2.372100E+01	  0.020600000	1.218670E+02	  0.020600000	-8.938000E+01
55	  0.020800000	-4.551000E+00	  0.020800000	-2.394000E+01	  0.020800000	1.210440E+02	  0.020800000	-8.957800E+01
56	  0.021000000	-4.549000E+00	  0.021000000	-2.418500E+01	  0.021000000	1.201240E+02	  0.021000000	-8.978800E+01
57	  0.021199999	-4.555000E+00	  0.021199999	-2.443200E+01	  0.021199999	1.191780E+02	  0.021199999	-8.981300E+01
58	  0.021400001	-4.551000E+00	  0.021400001	-2.466500E+01	  0.021400001	1.183210E+02	  0.021400001	-9.004600E+01
59	  0.021600001	-4.551000E+00	  0.021600001	-2.487900E+01	  0.021600001	1.175290E+02	  0.021600001	-9.016500E+01
60	  0.021800000	-4.553000E+00	  0.021800000	-2.511100E+01	  0.021800000	1.166680E+02	  0.021800000	-9.025200E+01
61	  0.022000002	-4.555000E+00	  0.022000002	-2.533900E+01	  0.022000002	1.158250E+02	  0.022000002	-9.032200E+01
62	  0.022200001	-4.556000E+00	  0.022200001	-2.557000E+01	  0.022200001	1.149830E+02	  0.022200001	-9.040500E+01
63	  0.022399999	-4.557000E+00	  0.022399999	-2.577500E+01	  0.022399999	1.142360E+02	  0.022399999	-9.047000E+01
64	  0.022599999	-4.556000E+00	  0.022599999	-2.600600E+01	  0.022599999	1.134100E+02	  0.022599999	-9.058100E+01
65	  0.022799999	-4.557000E+00	  0.022799999	-2.621600E+01	  0.022799999	1.126540E+02	  0.022799999	-9.063400E+01
66	  0.023000000	-4.556000E+00	  0.023000000	-2.646200E+01	  0.023000000	1.117830E+02	  0.023000000	-9.072700E+01
67	  0.023200000	-4.559000E+00	  0.023200000	-2.666500E+01	  0.023200000	1.110620E+02	  0.023200000	-9.072400E+01
68	  0.023399999	-4.558000E+00	  0.023399999	-2.683200E+01	  0.023399999	1.104770E+02	  0.023399999	-9.078500E+01
69	  0.023600001	-4.560000E+00	  0.023600001	-2.716000E+01	  0.023600001	1.093310E+02	  0.023600001	-9.082900E+01
70	  0.023800001	-4.559000E+00	  0.023800001	-2.737000E+01	  0.023800001	1.086080E+02	  0.023800001	-9.087600E+01
71	  0.024000000	-4.554000E+00	  0.024000000	-2.761100E+01	  0.024000000	1.077850E+02	  0.024000000	-9.103300E+01
72	  0.024200000	-4.550000E+00	  0.024200000	-2.784400E+01	  0.024200000	1.069930E+02	  0.024200000	-9.115200E+01
73	  0.024400000	-4.549000E+00	  0.024400000	-2.808700E+01	  0.024400000	1.061680E+02	  0.024400000	-9.119900E+01
74	  0.024600001	-4.551000E+00	  0.024600001	-2.831800E+01	  0.024600001	1.053910E+02	  0.024600001	-9.117900E+01
75	  0.024800001	-4.554000E+00	  0.024800001	-2.854700E+01	  0.024800001	1.046230E+02	  0.024800001	-9.112800E+01
