! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /card0/usr/256.ns.sma.r200.21.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	12/19/2017 03:51:09 PM	12/19/2017 03:30:41 PM
! INTERNAL TEMP:    	47.3 C	48.0 C
! # POINTS:         	501	501
! START FREQ:       	10.000 MHz	10.000 MHz
! STOP FREQ:        	110.000 MHz	110.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	100 Hz	100 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	N-Conn(F)	N-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.010000000	-5.064700E+01	  0.010000000	-1.066200E+02	  0.010000000	4.991500E+01	  0.010000000	-2.800000E-01
2	  0.010200000	-5.070400E+01	  0.010200000	-1.089240E+02	  0.010200000	4.990400E+01	  0.010200000	-2.750000E-01
3	  0.010400000	-5.105600E+01	  0.010400000	-1.050230E+02	  0.010400000	4.992600E+01	  0.010400000	-2.700000E-01
4	  0.010600000	-5.044400E+01	  0.010600000	-1.057620E+02	  0.010600000	4.991700E+01	  0.010600000	-2.880000E-01
5	  0.010800000	-5.012800E+01	  0.010800000	-1.078330E+02	  0.010800000	4.990300E+01	  0.010800000	-2.960000E-01
6	  0.011000001	-5.044800E+01	  0.011000001	-1.082540E+02	  0.011000001	4.990500E+01	  0.011000001	-2.840000E-01
7	  0.011200000	-4.985200E+01	  0.011200000	-1.068050E+02	  0.011200000	4.990600E+01	  0.011200000	-3.070000E-01
8	  0.011399999	-4.986000E+01	  0.011399999	-1.086960E+02	  0.011399999	4.989600E+01	  0.011399999	-3.030000E-01
9	  0.011600000	-5.009700E+01	  0.011600000	-1.144230E+02	  0.011600000	4.987000E+01	  0.011600000	-2.830000E-01
10	  0.011800000	-4.991600E+01	  0.011800000	-1.099720E+02	  0.011800000	4.989000E+01	  0.011800000	-2.990000E-01
11	  0.012000000	-5.001000E+01	  0.012000000	-1.147990E+02	  0.012000000	4.986600E+01	  0.012000000	-2.850000E-01
12	  0.012200000	-4.946500E+01	  0.012200000	-1.141930E+02	  0.012200000	4.986100E+01	  0.012200000	-3.050000E-01
13	  0.012400000	-4.949400E+01	  0.012400000	-1.154990E+02	  0.012400000	4.985500E+01	  0.012400000	-3.010000E-01
14	  0.012600001	-4.960100E+01	  0.012600001	-1.170690E+02	  0.012600001	4.984800E+01	  0.012600001	-2.930000E-01
15	  0.012800000	-4.926900E+01	  0.012800000	-1.160490E+02	  0.012800000	4.984800E+01	  0.012800000	-3.080000E-01
16	  0.012999999	-4.894300E+01	  0.012999999	-1.172350E+02	  0.012999999	4.983500E+01	  0.012999999	-3.160000E-01
17	  0.013200000	-4.909700E+01	  0.013200000	-1.194930E+02	  0.013200000	4.982600E+01	  0.013200000	-3.040000E-01
18	  0.013400001	-4.910300E+01	  0.013400001	-1.199640E+02	  0.013400001	4.982400E+01	  0.013400001	-3.020000E-01
19	  0.013600000	-4.901100E+01	  0.013600000	-1.200160E+02	  0.013600000	4.982200E+01	  0.013600000	-3.050000E-01
20	  0.013800000	-4.897400E+01	  0.013800000	-1.188520E+02	  0.013800000	4.982700E+01	  0.013800000	-3.100000E-01
21	  0.014000000	-4.882600E+01	  0.014000000	-1.211240E+02	  0.014000000	4.981200E+01	  0.014000000	-3.080000E-01
22	  0.014200001	-4.849400E+01	  0.014200001	-1.208290E+02	  0.014200001	4.980600E+01	  0.014200001	-3.210000E-01
23	  0.014400000	-4.836500E+01	  0.014400000	-1.216900E+02	  0.014400000	4.979800E+01	  0.014400000	-3.230000E-01
24	  0.014599999	-4.859100E+01	  0.014599999	-1.205120E+02	  0.014599999	4.981000E+01	  0.014599999	-3.190000E-01
25	  0.014800000	-4.825800E+01	  0.014800000	-1.224260E+02	  0.014800000	4.979200E+01	  0.014800000	-3.240000E-01
26	  0.015000001	-4.834000E+01	  0.015000001	-1.225200E+02	  0.015000001	4.979300E+01	  0.015000001	-3.210000E-01
27	  0.015200000	-4.828100E+01	  0.015200000	-1.229520E+02	  0.015200000	4.978900E+01	  0.015200000	-3.220000E-01
28	  0.015400000	-4.820300E+01	  0.015400000	-1.238760E+02	  0.015400000	4.978200E+01	  0.015400000	-3.210000E-01
29	  0.015600001	-4.791400E+01	  0.015600001	-1.247410E+02	  0.015600001	4.977000E+01	  0.015600001	-3.280000E-01
30	  0.015800001	-4.807200E+01	  0.015800001	-1.255500E+02	  0.015800001	4.976900E+01	  0.015800001	-3.190000E-01
31	  0.016000001	-4.804000E+01	  0.016000001	-1.269010E+02	  0.016000001	4.976100E+01	  0.016000001	-3.150000E-01
32	  0.016200000	-4.783200E+01	  0.016200000	-1.267980E+02	  0.016200000	4.975600E+01	  0.016200000	-3.230000E-01
33	  0.016400000	-4.784700E+01	  0.016400000	-1.274750E+02	  0.016400000	4.975300E+01	  0.016400000	-3.190000E-01
34	  0.016600000	-4.781300E+01	  0.016600000	-1.271870E+02	  0.016600000	4.975300E+01	  0.016600000	-3.220000E-01
35	  0.016799999	-4.755100E+01	  0.016799999	-1.289640E+02	  0.016799999	4.973600E+01	  0.016799999	-3.240000E-01
36	  0.016999999	-4.760700E+01	  0.016999999	-1.291620E+02	  0.016999999	4.973600E+01	  0.016999999	-3.210000E-01
37	  0.017200001	-4.749100E+01	  0.017200001	-1.282580E+02	  0.017200001	4.973800E+01	  0.017200001	-3.290000E-01
38	  0.017400000	-4.750400E+01	  0.017400000	-1.295260E+02	  0.017400000	4.973100E+01	  0.017400000	-3.230000E-01
39	  0.017600000	-4.744400E+01	  0.017600000	-1.300150E+02	  0.017600000	4.972600E+01	  0.017600000	-3.230000E-01
40	  0.017800000	-4.752600E+01	  0.017800000	-1.296060E+02	  0.017800000	4.973100E+01	  0.017800000	-3.220000E-01
41	  0.017999999	-4.736700E+01	  0.017999999	-1.313360E+02	  0.017999999	4.971600E+01	  0.017999999	-3.190000E-01
42	  0.018200001	-4.736700E+01	  0.018200001	-1.319590E+02	  0.018200001	4.971300E+01	  0.018200001	-3.160000E-01
43	  0.018400000	-4.715700E+01	  0.018400000	-1.307030E+02	  0.018400000	4.971300E+01	  0.018400000	-3.300000E-01
44	  0.018600000	-4.716500E+01	  0.018600000	-1.310890E+02	  0.018600000	4.971100E+01	  0.018600000	-3.280000E-01
45	  0.018800002	-4.690900E+01	  0.018800002	-1.313920E+02	  0.018800002	4.970100E+01	  0.018800002	-3.360000E-01
46	  0.019000001	-4.694100E+01	  0.019000001	-1.337920E+02	  0.019000001	4.968800E+01	  0.019000001	-3.220000E-01
