! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may07/256.ew.m2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/07/2018 11:52:23 AM	05/07/2018 11:47:21 AM
! INTERNAL TEMP:    	52.5 C	52.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.84°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.328 ohm, -2.916 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.190000E-01	  0.020000000	-1.258420E+02	  0.020000000	2.247000E+00	  0.020000000	-2.552100E+01
2	  0.020200402	-6.180000E-01	  0.020200402	-1.273080E+02	  0.020200402	2.215000E+00	  0.020200402	-2.472200E+01
3	  0.020400802	-6.200000E-01	  0.020400802	-1.287530E+02	  0.020400802	2.193000E+00	  0.020400802	-2.394300E+01
4	  0.020601204	-6.210000E-01	  0.020601204	-1.302160E+02	  0.020601204	2.170000E+00	  0.020601204	-2.316400E+01
5	  0.020801604	-6.250000E-01	  0.020801604	-1.317000E+02	  0.020801604	2.160000E+00	  0.020801604	-2.238300E+01
6	  0.021002004	-6.320000E-01	  0.021002004	-1.332100E+02	  0.021002004	2.159000E+00	  0.021002004	-2.159700E+01
7	  0.021202406	-6.410000E-01	  0.021202406	-1.347500E+02	  0.021202406	2.164000E+00	  0.021202406	-2.080400E+01
8	  0.021402806	-6.450000E-01	  0.021402806	-1.362720E+02	  0.021402806	2.154000E+00	  0.021402806	-2.003000E+01
9	  0.021603208	-6.510000E-01	  0.021603208	-1.378020E+02	  0.021603208	2.152000E+00	  0.021603208	-1.926100E+01
10	  0.021803608	-6.560000E-01	  0.021803608	-1.393380E+02	  0.021803608	2.148000E+00	  0.021803608	-1.849500E+01
11	  0.022004008	-6.610000E-01	  0.022004008	-1.408790E+02	  0.022004008	2.143000E+00	  0.022004008	-1.773500E+01
12	  0.022204408	-6.670000E-01	  0.022204408	-1.424330E+02	  0.022204408	2.142000E+00	  0.022204408	-1.697700E+01
13	  0.022404809	-6.730000E-01	  0.022404809	-1.440040E+02	  0.022404809	2.142000E+00	  0.022404809	-1.621600E+01
14	  0.022605211	-6.810000E-01	  0.022605211	-1.455930E+02	  0.022605211	2.148000E+00	  0.022605211	-1.545400E+01
15	  0.022805611	-6.820000E-01	  0.022805611	-1.471900E+02	  0.022805611	2.133000E+00	  0.022805611	-1.469500E+01
16	  0.023006011	-6.860000E-01	  0.023006011	-1.487830E+02	  0.023006011	2.128000E+00	  0.023006011	-1.394400E+01
