! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may07/256.ns.m1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/07/2018 02:53:31 PM	05/07/2018 02:45:31 PM
! INTERNAL TEMP:    	58.0 C	56.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.77°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.930 ohm, -2.786 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.320000E-01	  0.020000000	-1.257740E+02	  0.020000000	2.295000E+00	  0.020000000	-2.555700E+01
2	  0.020200402	-6.300000E-01	  0.020200402	-1.272470E+02	  0.020200402	2.260000E+00	  0.020200402	-2.475300E+01
3	  0.020400802	-6.320000E-01	  0.020400802	-1.286840E+02	  0.020400802	2.239000E+00	  0.020400802	-2.397800E+01
4	  0.020601204	-6.330000E-01	  0.020601204	-1.301680E+02	  0.020601204	2.215000E+00	  0.020601204	-2.318800E+01
5	  0.020801604	-6.370000E-01	  0.020801604	-1.316650E+02	  0.020801604	2.203000E+00	  0.020801604	-2.240000E+01
6	  0.021002004	-6.430000E-01	  0.021002004	-1.331860E+02	  0.021002004	2.198000E+00	  0.021002004	-2.160800E+01
7	  0.021202406	-6.510000E-01	  0.021202406	-1.347320E+02	  0.021202406	2.200000E+00	  0.021202406	-2.081300E+01
8	  0.021402806	-6.560000E-01	  0.021402806	-1.362730E+02	  0.021402806	2.193000E+00	  0.021402806	-2.002900E+01
9	  0.021603208	-6.610000E-01	  0.021603208	-1.378240E+02	  0.021603208	2.184000E+00	  0.021603208	-1.924800E+01
10	  0.021803608	-6.660000E-01	  0.021803608	-1.393720E+02	  0.021803608	2.180000E+00	  0.021803608	-1.847800E+01
11	  0.022004008	-6.730000E-01	  0.022004008	-1.409350E+02	  0.022004008	2.180000E+00	  0.022004008	-1.770700E+01
12	  0.022204408	-6.810000E-01	  0.022204408	-1.424810E+02	  0.022204408	2.187000E+00	  0.022204408	-1.695200E+01
13	  0.022404809	-6.840000E-01	  0.022404809	-1.440710E+02	  0.022404809	2.177000E+00	  0.022404809	-1.618300E+01
14	  0.022605211	-6.870000E-01	  0.022605211	-1.456870E+02	  0.022605211	2.164000E+00	  0.022605211	-1.540900E+01
15	  0.022805611	-6.900000E-01	  0.022805611	-1.473030E+02	  0.022805611	2.157000E+00	  0.022805611	-1.464100E+01
16	  0.023006011	-6.950000E-01	  0.023006011	-1.489130E+02	  0.023006011	2.154000E+00	  0.023006011	-1.388200E+01
17	  0.023206413	-6.990000E-01	  0.023206413	-1.504910E+02	  0.023206413	2.150000E+00	  0.023206413	-1.314500E+01
18	  0.023406813	-7.020000E-01	  0.023406813	-1.520970E+02	  0.023406813	2.144000E+00	  0.023406813	-1.239900E+01
19	  0.023607215	-7.040000E-01	  0.023607215	-1.536950E+02	  0.023607215	2.136000E+00	  0.023607215	-1.166300E+01
20	  0.023807615	-7.090000E-01	  0.023807615	-1.553150E+02	  0.023807615	2.139000E+00	  0.023807615	-1.092100E+01
21	  0.024008015	-7.210000E-01	  0.024008015	-1.569320E+02	  0.024008015	2.163000E+00	  0.024008015	-1.018500E+01
