! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may07/256.ns.m.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/07/2018 03:05:46 PM	05/07/2018 02:58:54 PM
! INTERNAL TEMP:    	59.5 C	58.8 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.96°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.038 ohm, -2.864 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.300000E-01	  0.020000000	-1.259600E+02	  0.020000000	2.286000E+00	  0.020000000	-2.545500E+01
2	  0.020200402	-6.300000E-01	  0.020200402	-1.274330E+02	  0.020200402	2.254000E+00	  0.020200402	-2.465300E+01
3	  0.020400802	-6.300000E-01	  0.020400802	-1.288940E+02	  0.020400802	2.227000E+00	  0.020400802	-2.386600E+01
4	  0.020601204	-6.320000E-01	  0.020601204	-1.303690E+02	  0.020601204	2.207000E+00	  0.020601204	-2.308200E+01
5	  0.020801604	-6.370000E-01	  0.020801604	-1.318760E+02	  0.020801604	2.198000E+00	  0.020801604	-2.228900E+01
6	  0.021002004	-6.420000E-01	  0.021002004	-1.333960E+02	  0.021002004	2.190000E+00	  0.021002004	-2.150000E+01
7	  0.021202406	-6.500000E-01	  0.021202406	-1.349230E+02	  0.021202406	2.191000E+00	  0.021202406	-2.071500E+01
8	  0.021402806	-6.550000E-01	  0.021402806	-1.364680E+02	  0.021402806	2.185000E+00	  0.021402806	-1.993100E+01
9	  0.021603208	-6.590000E-01	  0.021603208	-1.380030E+02	  0.021603208	2.174000E+00	  0.021603208	-1.915900E+01
10	  0.021803608	-6.630000E-01	  0.021803608	-1.395470E+02	  0.021803608	2.168000E+00	  0.021803608	-1.839100E+01
11	  0.022004008	-6.700000E-01	  0.022004008	-1.410930E+02	  0.022004008	2.167000E+00	  0.022004008	-1.763000E+01
12	  0.022204408	-6.760000E-01	  0.022204408	-1.426610E+02	  0.022204408	2.167000E+00	  0.022204408	-1.686500E+01
13	  0.022404809	-6.820000E-01	  0.022404809	-1.442390E+02	  0.022404809	2.168000E+00	  0.022404809	-1.610300E+01
14	  0.022605211	-6.880000E-01	  0.022605211	-1.458240E+02	  0.022605211	2.166000E+00	  0.022605211	-1.534300E+01
15	  0.022805611	-6.910000E-01	  0.022805611	-1.474260E+02	  0.022805611	2.158000E+00	  0.022805611	-1.458300E+01
16	  0.023006011	-6.930000E-01	  0.023006011	-1.490220E+02	  0.023006011	2.148000E+00	  0.023006011	-1.383200E+01
17	  0.023206413	-6.920000E-01	  0.023206413	-1.506210E+02	  0.023206413	2.129000E+00	  0.023206413	-1.308500E+01
18	  0.023406813	-6.980000E-01	  0.023406813	-1.522160E+02	  0.023406813	2.131000E+00	  0.023406813	-1.234400E+01
19	  0.023607215	-7.040000E-01	  0.023607215	-1.538190E+02	  0.023607215	2.134000E+00	  0.023607215	-1.160600E+01
20	  0.023807615	-7.100000E-01	  0.023807615	-1.554250E+02	  0.023807615	2.142000E+00	  0.023807615	-1.087100E+01
21	  0.024008015	-7.190000E-01	  0.024008015	-1.570610E+02	  0.024008015	2.155000E+00	  0.024008015	-1.012600E+01
