! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may07/256.ns.m9.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/07/2018 03:21:58 PM	05/07/2018 03:13:55 PM
! INTERNAL TEMP:    	61.5 C	60.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.87°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.007 ohm, -2.892 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.280000E-01	  0.020000000	-1.258700E+02	  0.020000000	2.281000E+00	  0.020000000	-2.550500E+01
2	  0.020200402	-6.280000E-01	  0.020200402	-1.273480E+02	  0.020200402	2.250000E+00	  0.020200402	-2.469900E+01
3	  0.020400802	-6.270000E-01	  0.020400802	-1.288150E+02	  0.020400802	2.219000E+00	  0.020400802	-2.390900E+01
4	  0.020601204	-6.330000E-01	  0.020601204	-1.302780E+02	  0.020601204	2.211000E+00	  0.020601204	-2.313000E+01
5	  0.020801604	-6.360000E-01	  0.020801604	-1.317880E+02	  0.020801604	2.196000E+00	  0.020801604	-2.233600E+01
6	  0.021002004	-6.420000E-01	  0.021002004	-1.333040E+02	  0.021002004	2.191000E+00	  0.021002004	-2.154700E+01
7	  0.021202406	-6.500000E-01	  0.021202406	-1.348310E+02	  0.021202406	2.193000E+00	  0.021202406	-2.076200E+01
8	  0.021402806	-6.550000E-01	  0.021402806	-1.363860E+02	  0.021402806	2.185000E+00	  0.021402806	-1.997200E+01
9	  0.021603208	-6.600000E-01	  0.021603208	-1.379280E+02	  0.021603208	2.179000E+00	  0.021603208	-1.919700E+01
10	  0.021803608	-6.640000E-01	  0.021803608	-1.394740E+02	  0.021803608	2.170000E+00	  0.021803608	-1.842700E+01
11	  0.022004008	-6.680000E-01	  0.022004008	-1.410140E+02	  0.022004008	2.162000E+00	  0.022004008	-1.766900E+01
12	  0.022204408	-6.750000E-01	  0.022204408	-1.425680E+02	  0.022204408	2.167000E+00	  0.022204408	-1.691000E+01
13	  0.022404809	-6.810000E-01	  0.022404809	-1.441420E+02	  0.022404809	2.166000E+00	  0.022404809	-1.614900E+01
14	  0.022605211	-6.870000E-01	  0.022605211	-1.457290E+02	  0.022605211	2.163000E+00	  0.022605211	-1.538900E+01
15	  0.022805611	-6.900000E-01	  0.022805611	-1.473380E+02	  0.022805611	2.157000E+00	  0.022805611	-1.462500E+01
16	  0.023006011	-6.910000E-01	  0.023006011	-1.489340E+02	  0.023006011	2.142000E+00	  0.023006011	-1.387300E+01
17	  0.023206413	-6.940000E-01	  0.023206413	-1.505450E+02	  0.023206413	2.136000E+00	  0.023206413	-1.312000E+01
18	  0.023406813	-6.960000E-01	  0.023406813	-1.521350E+02	  0.023406813	2.127000E+00	  0.023406813	-1.238200E+01
19	  0.023607215	-7.030000E-01	  0.023607215	-1.537190E+02	  0.023607215	2.134000E+00	  0.023607215	-1.165200E+01
20	  0.023807615	-7.100000E-01	  0.023807615	-1.553330E+02	  0.023807615	2.139000E+00	  0.023807615	-1.091200E+01
21	  0.024008015	-7.190000E-01	  0.024008015	-1.569590E+02	  0.024008015	2.154000E+00	  0.024008015	-1.017300E+01
22	  0.024208417	-7.290000E-01	  0.024208417	-1.586050E+02	  0.024208417	2.173000E+00	  0.024208417	-9.427000E+00
23	  0.024408817	-7.390000E-01	  0.024408817	-1.602650E+02	  0.024408817	2.191000E+00	  0.024408817	-8.680000E+00
24	  0.024609219	-7.470000E-01	  0.024609219	-1.619270E+02	  0.024609219	2.205000E+00	  0.024609219	-7.936000E+00
25	  0.024809619	-7.570000E-01	  0.024809619	-1.635940E+02	  0.024809619	2.223000E+00	  0.024809619	-7.193000E+00
26	  0.025010020	-7.700000E-01	  0.025010020	-1.652670E+02	  0.025010020	2.252000E+00	  0.025010020	-6.451000E+00
27	  0.025210422	-7.820000E-01	  0.025210422	-1.669460E+02	  0.025210422	2.280000E+00	  0.025210422	-5.708000E+00
28	  0.025410822	-7.960000E-01	  0.025410822	-1.686360E+02	  0.025410822	2.313000E+00	  0.025410822	-4.964000E+00
29	  0.025611224	-8.100000E-01	  0.025611224	-1.703430E+02	  0.025611224	2.349000E+00	  0.025611224	-4.214000E+00
30	  0.025811624	-8.240000E-01	  0.025811624	-1.720820E+02	  0.025811624	2.383000E+00	  0.025811624	-3.452000E+00
31	  0.026012026	-8.370000E-01	  0.026012026	-1.738320E+02	  0.026012026	2.414000E+00	  0.026012026	-2.687000E+00
32	  0.026212426	-8.490000E-01	  0.026212426	-1.755720E+02	  0.026212426	2.445000E+00	  0.026212426	-1.928000E+00
33	  0.026412826	-8.610000E-01	  0.026412826	-1.773210E+02	  0.026412826	2.479000E+00	  0.026412826	-1.165000E+00
34	  0.026613226	-8.760000E-01	  0.026613226	-1.790810E+02	  0.026613226	2.521000E+00	  0.026613226	-3.990000E-01
