! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/252.ns.m1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 08:51:27 AM	05/09/2018 08:47:23 AM
! INTERNAL TEMP:    	40.0 C	40.0 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(F)	K-Conn(F)
! DUT PORT 2:       	K-Conn(F)	K-Conn(F)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-124.14°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.405 ohm, -3.261 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-5.840000E-01	  0.020000000	-1.241410E+02	  0.020000000	2.152000E+00	  0.020000000	-2.646700E+01
2	  0.020200402	-5.840000E-01	  0.020200402	-1.255470E+02	  0.020200402	2.125000E+00	  0.020200402	-2.568800E+01
3	  0.020400802	-5.860000E-01	  0.020400802	-1.269830E+02	  0.020400802	2.104000E+00	  0.020400802	-2.490200E+01
4	  0.020601204	-5.890000E-01	  0.020601204	-1.284160E+02	  0.020601204	2.090000E+00	  0.020601204	-2.412700E+01
5	  0.020801604	-5.920000E-01	  0.020801604	-1.298760E+02	  0.020801604	2.078000E+00	  0.020801604	-2.334800E+01
6	  0.021002004	-6.010000E-01	  0.021002004	-1.313680E+02	  0.021002004	2.083000E+00	  0.021002004	-2.255900E+01
7	  0.021202406	-6.090000E-01	  0.021202406	-1.328620E+02	  0.021202406	2.085000E+00	  0.021202406	-2.178000E+01
8	  0.021402806	-6.140000E-01	  0.021402806	-1.343500E+02	  0.021402806	2.079000E+00	  0.021402806	-2.101200E+01
9	  0.021603208	-6.180000E-01	  0.021603208	-1.358390E+02	  0.021603208	2.073000E+00	  0.021603208	-2.025200E+01
10	  0.021803608	-6.220000E-01	  0.021803608	-1.373320E+02	  0.021803608	2.063000E+00	  0.021803608	-1.949900E+01
11	  0.022004008	-6.280000E-01	  0.022004008	-1.388390E+02	  0.022004008	2.061000E+00	  0.022004008	-1.874500E+01
12	  0.022204408	-6.360000E-01	  0.022204408	-1.403460E+02	  0.022204408	2.068000E+00	  0.022204408	-1.800000E+01
13	  0.022404809	-6.410000E-01	  0.022404809	-1.418660E+02	  0.022404809	2.064000E+00	  0.022404809	-1.725500E+01
14	  0.022605211	-6.440000E-01	  0.022605211	-1.434350E+02	  0.022605211	2.057000E+00	  0.022605211	-1.649300E+01
15	  0.022805611	-6.460000E-01	  0.022805611	-1.449960E+02	  0.022805611	2.045000E+00	  0.022805611	-1.574200E+01
16	  0.023006011	-6.510000E-01	  0.023006011	-1.465330E+02	  0.023006011	2.044000E+00	  0.023006011	-1.500900E+01
17	  0.023206413	-6.520000E-01	  0.023206413	-1.480580E+02	  0.023206413	2.030000E+00	  0.023206413	-1.428700E+01
