! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/254.ew.m12.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 12:12:58 PM	05/09/2018 12:08:51 PM
! INTERNAL TEMP:    	55.0 C	54.8 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.77°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.136 ohm, -0.753 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.340000E-01	  0.020000000	-1.267710E+02	  0.020000000	2.284000E+00	  0.020000000	-2.501200E+01
2	  0.020200402	-6.360000E-01	  0.020200402	-1.282440E+02	  0.020200402	2.260000E+00	  0.020200402	-2.421400E+01
3	  0.020400802	-6.370000E-01	  0.020400802	-1.297200E+02	  0.020400802	2.236000E+00	  0.020400802	-2.342500E+01
4	  0.020601204	-6.400000E-01	  0.020601204	-1.312270E+02	  0.020601204	2.221000E+00	  0.020601204	-2.262900E+01
5	  0.020801604	-6.420000E-01	  0.020801604	-1.327530E+02	  0.020801604	2.202000E+00	  0.020801604	-2.183300E+01
6	  0.021002004	-6.460000E-01	  0.021002004	-1.342890E+02	  0.021002004	2.188000E+00	  0.021002004	-2.104000E+01
7	  0.021202406	-6.480000E-01	  0.021202406	-1.358290E+02	  0.021202406	2.172000E+00	  0.021202406	-2.025400E+01
8	  0.021402806	-6.500000E-01	  0.021402806	-1.373760E+02	  0.021402806	2.157000E+00	  0.021402806	-1.947400E+01
9	  0.021603208	-6.530000E-01	  0.021603208	-1.389040E+02	  0.021603208	2.144000E+00	  0.021603208	-1.871100E+01
10	  0.021803608	-6.580000E-01	  0.021803608	-1.404330E+02	  0.021803608	2.137000E+00	  0.021803608	-1.795500E+01
11	  0.022004008	-6.620000E-01	  0.022004008	-1.419740E+02	  0.022004008	2.132000E+00	  0.022004008	-1.720100E+01
12	  0.022204408	-6.680000E-01	  0.022204408	-1.435410E+02	  0.022204408	2.131000E+00	  0.022204408	-1.644000E+01
13	  0.022404809	-6.730000E-01	  0.022404809	-1.451190E+02	  0.022404809	2.128000E+00	  0.022404809	-1.568100E+01
14	  0.022605211	-6.770000E-01	  0.022605211	-1.467210E+02	  0.022605211	2.121000E+00	  0.022605211	-1.491800E+01
15	  0.022805611	-6.810000E-01	  0.022805611	-1.483140E+02	  0.022805611	2.118000E+00	  0.022805611	-1.416500E+01
16	  0.023006011	-6.880000E-01	  0.023006011	-1.499000E+02	  0.023006011	2.122000E+00	  0.023006011	-1.342100E+01
17	  0.023206413	-6.920000E-01	  0.023206413	-1.514880E+02	  0.023206413	2.121000E+00	  0.023206413	-1.268200E+01
