! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/254.ns.m5.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 12:48:12 PM	05/09/2018 12:35:56 PM
! INTERNAL TEMP:    	58.0 C	56.8 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.46°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.528 ohm, -1.809 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.310000E-01	  0.020000000	-1.264570E+02	  0.020000000	2.280000E+00	  0.020000000	-2.518300E+01
2	  0.020200402	-6.370000E-01	  0.020200402	-1.279150E+02	  0.020200402	2.271000E+00	  0.020200402	-2.439100E+01
3	  0.020400802	-6.410000E-01	  0.020400802	-1.293810E+02	  0.020400802	2.257000E+00	  0.020400802	-2.360500E+01
4	  0.020601204	-6.460000E-01	  0.020601204	-1.308920E+02	  0.020601204	2.246000E+00	  0.020601204	-2.280400E+01
5	  0.020801604	-6.480000E-01	  0.020801604	-1.323980E+02	  0.020801604	2.229000E+00	  0.020801604	-2.201600E+01
6	  0.021002004	-6.500000E-01	  0.021002004	-1.339500E+02	  0.021002004	2.210000E+00	  0.021002004	-2.121400E+01
7	  0.021202406	-6.540000E-01	  0.021202406	-1.354900E+02	  0.021202406	2.198000E+00	  0.021202406	-2.042600E+01
8	  0.021402806	-6.580000E-01	  0.021402806	-1.370450E+02	  0.021402806	2.188000E+00	  0.021402806	-1.963900E+01
9	  0.021603208	-6.600000E-01	  0.021603208	-1.385840E+02	  0.021603208	2.172000E+00	  0.021603208	-1.886900E+01
10	  0.021803608	-6.670000E-01	  0.021803608	-1.401440E+02	  0.021803608	2.170000E+00	  0.021803608	-1.809600E+01
11	  0.022004008	-6.730000E-01	  0.022004008	-1.416930E+02	  0.022004008	2.172000E+00	  0.022004008	-1.733600E+01
12	  0.022204408	-6.780000E-01	  0.022204408	-1.432960E+02	  0.022204408	2.166000E+00	  0.022204408	-1.655800E+01
13	  0.022404809	-6.830000E-01	  0.022404809	-1.449140E+02	  0.022404809	2.161000E+00	  0.022404809	-1.577800E+01
14	  0.022605211	-6.860000E-01	  0.022605211	-1.465350E+02	  0.022605211	2.151000E+00	  0.022605211	-1.500600E+01
15	  0.022805611	-6.920000E-01	  0.022805611	-1.481690E+02	  0.022805611	2.154000E+00	  0.022805611	-1.423200E+01
16	  0.023006011	-6.990000E-01	  0.023006011	-1.497830E+02	  0.023006011	2.159000E+00	  0.023006011	-1.347500E+01
17	  0.023206413	-7.050000E-01	  0.023206413	-1.513920E+02	  0.023206413	2.160000E+00	  0.023206413	-1.272600E+01
18	  0.023406813	-7.090000E-01	  0.023406813	-1.530160E+02	  0.023406813	2.158000E+00	  0.023406813	-1.197400E+01
19	  0.023607215	-7.160000E-01	  0.023607215	-1.546420E+02	  0.023607215	2.165000E+00	  0.023607215	-1.122800E+01
20	  0.023807615	-7.250000E-01	  0.023807615	-1.562720E+02	  0.023807615	2.177000E+00	  0.023807615	-1.048400E+01
21	  0.024008015	-7.360000E-01	  0.024008015	-1.579280E+02	  0.024008015	2.198000E+00	  0.024008015	-9.733000E+00
22	  0.024208417	-7.440000E-01	  0.024208417	-1.595960E+02	  0.024208417	2.210000E+00	  0.024208417	-8.980000E+00
23	  0.024408817	-7.490000E-01	  0.024408817	-1.612600E+02	  0.024408817	2.213000E+00	  0.024408817	-8.234000E+00
24	  0.024609219	-7.560000E-01	  0.024609219	-1.629260E+02	  0.024609219	2.223000E+00	  0.024609219	-7.490000E+00
25	  0.024809619	-7.650000E-01	  0.024809619	-1.645930E+02	  0.024809619	2.242000E+00	  0.024809619	-6.749000E+00
26	  0.025010020	-7.760000E-01	  0.025010020	-1.662730E+02	  0.025010020	2.264000E+00	  0.025010020	-6.006000E+00
27	  0.025210422	-7.840000E-01	  0.025210422	-1.679620E+02	  0.025210422	2.280000E+00	  0.025210422	-5.260000E+00
28	  0.025410822	-7.930000E-01	  0.025410822	-1.696530E+02	  0.025410822	2.302000E+00	  0.025410822	-4.517000E+00
29	  0.025611224	-8.060000E-01	  0.025611224	-1.713460E+02	  0.025611224	2.333000E+00	  0.025611224	-3.774000E+00
30	  0.025811624	-8.170000E-01	  0.025811624	-1.730670E+02	  0.025811624	2.359000E+00	  0.025811624	-3.021000E+00
31	  0.026012026	-8.270000E-01	  0.026012026	-1.748030E+02	  0.026012026	2.385000E+00	  0.026012026	-2.263000E+00
32	  0.026212426	-8.380000E-01	  0.026212426	-1.765430E+02	  0.026212426	2.413000E+00	  0.026212426	-1.505000E+00
