! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may09/b255.ew.m1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/09/2018 08:09:47 PM	05/09/2018 08:05:48 PM
! INTERNAL TEMP:    	54.5 C	54.5 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.56°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.682 ohm, -1.521 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-9.050000E-01	  0.020000000	-1.255580E+02	  0.020000000	3.291000E+00	  0.020000000	-2.563100E+01
2	  0.020200402	-9.120000E-01	  0.020200402	-1.269990E+02	  0.020200402	3.274000E+00	  0.020200402	-2.484300E+01
3	  0.020400802	-9.210000E-01	  0.020400802	-1.284510E+02	  0.020400802	3.265000E+00	  0.020400802	-2.405900E+01
4	  0.020601204	-9.300000E-01	  0.020601204	-1.299190E+02	  0.020601204	3.259000E+00	  0.020601204	-2.327600E+01
5	  0.020801604	-9.410000E-01	  0.020801604	-1.314090E+02	  0.020801604	3.257000E+00	  0.020801604	-2.249100E+01
6	  0.021002004	-9.480000E-01	  0.021002004	-1.329260E+02	  0.021002004	3.242000E+00	  0.021002004	-2.170100E+01
7	  0.021202406	-9.560000E-01	  0.021202406	-1.344280E+02	  0.021202406	3.235000E+00	  0.021202406	-2.092800E+01
8	  0.021402806	-9.670000E-01	  0.021402806	-1.359220E+02	  0.021402806	3.234000E+00	  0.021402806	-2.016700E+01
9	  0.021603208	-9.750000E-01	  0.021603208	-1.374290E+02	  0.021603208	3.229000E+00	  0.021603208	-1.940800E+01
10	  0.021803608	-9.860000E-01	  0.021803608	-1.389230E+02	  0.021803608	3.233000E+00	  0.021803608	-1.866300E+01
11	  0.022004008	-9.970000E-01	  0.022004008	-1.404150E+02	  0.022004008	3.239000E+00	  0.022004008	-1.792600E+01
12	  0.022204408	-1.009000E+00	  0.022204408	-1.419340E+02	  0.022204408	3.245000E+00	  0.022204408	-1.718300E+01
13	  0.022404809	-1.020000E+00	  0.022404809	-1.434840E+02	  0.022404809	3.251000E+00	  0.022404809	-1.643200E+01
14	  0.022605211	-1.026000E+00	  0.022605211	-1.450520E+02	  0.022605211	3.241000E+00	  0.022605211	-1.567900E+01
15	  0.022805611	-1.037000E+00	  0.022805611	-1.466060E+02	  0.022805611	3.249000E+00	  0.022805611	-1.493900E+01
16	  0.023006011	-1.047000E+00	  0.023006011	-1.481620E+02	  0.023006011	3.256000E+00	  0.023006011	-1.420400E+01
17	  0.023206413	-1.057000E+00	  0.023206413	-1.497060E+02	  0.023206413	3.261000E+00	  0.023206413	-1.348000E+01
18	  0.023406813	-1.067000E+00	  0.023406813	-1.512640E+02	  0.023406813	3.268000E+00	  0.023406813	-1.275600E+01
19	  0.023607215	-1.079000E+00	  0.023607215	-1.528330E+02	  0.023607215	3.283000E+00	  0.023607215	-1.203100E+01
20	  0.023807615	-1.092000E+00	  0.023807615	-1.544170E+02	  0.023807615	3.302000E+00	  0.023807615	-1.130400E+01
21	  0.024008015	-1.104000E+00	  0.024008015	-1.560290E+02	  0.024008015	3.318000E+00	  0.024008015	-1.056900E+01
22	  0.024208417	-1.116000E+00	  0.024208417	-1.576540E+02	  0.024208417	3.333000E+00	  0.024208417	-9.833000E+00
23	  0.024408817	-1.128000E+00	  0.024408817	-1.592890E+02	  0.024408817	3.350000E+00	  0.024408817	-9.096000E+00
24	  0.024609219	-1.139000E+00	  0.024609219	-1.609160E+02	  0.024609219	3.365000E+00	  0.024609219	-8.367000E+00
25	  0.024809619	-1.150000E+00	  0.024809619	-1.625570E+02	  0.024809619	3.385000E+00	  0.024809619	-7.635000E+00
26	  0.025010020	-1.167000E+00	  0.025010020	-1.642080E+02	  0.025010020	3.420000E+00	  0.025010020	-6.902000E+00
27	  0.025210422	-1.182000E+00	  0.025210422	-1.658580E+02	  0.025210422	3.450000E+00	  0.025210422	-6.172000E+00
28	  0.025410822	-1.197000E+00	  0.025410822	-1.675260E+02	  0.025410822	3.482000E+00	  0.025410822	-5.437000E+00
29	  0.025611224	-1.214000E+00	  0.025611224	-1.692060E+02	  0.025611224	3.519000E+00	  0.025611224	-4.700000E+00
30	  0.025811624	-1.230000E+00	  0.025811624	-1.708970E+02	  0.025811624	3.559000E+00	  0.025811624	-3.960000E+00
31	  0.026012026	-1.245000E+00	  0.026012026	-1.726010E+02	  0.026012026	3.595000E+00	  0.026012026	-3.215000E+00
32	  0.026212426	-1.261000E+00	  0.026212426	-1.743200E+02	  0.026212426	3.633000E+00	  0.026212426	-2.466000E+00
33	  0.026412826	-1.280000E+00	  0.026412826	-1.760400E+02	  0.026412826	3.683000E+00	  0.026412826	-1.719000E+00
34	  0.026613226	-1.298000E+00	  0.026613226	-1.777710E+02	  0.026613226	3.732000E+00	  0.026613226	-9.670000E-01
35	  0.026813626	-1.319000E+00	  0.026813626	-1.795170E+02	  0.026813626	3.789000E+00	  0.026813626	-2.090000E-01
36	  0.027014028	-1.340000E+00	  0.027014028	1.787450E+02	  0.027014028	3.851000E+00	  0.027014028	5.440000E-01
37	  0.027214428	-1.362000E+00	  0.027214428	1.769910E+02	  0.027214428	3.917000E+00	  0.027214428	1.304000E+00
38	  0.027414829	-1.383000E+00	  0.027414829	1.752380E+02	  0.027414829	3.980000E+00	  0.027414829	2.065000E+00
