! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/252.ew.m10.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 06:48:54 PM	05/10/2018 06:36:47 PM
! INTERNAL TEMP:    	61.0 C	61.0 C
! # POINTS:         	487	487
! START FREQ:       	20.601 202 MHz	20.601 202 MHz
! STOP FREQ:        	117.995 991 MHz	117.995 991 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,##.##"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.579 ohm, -0.941 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020601204	-6.340000E-01	  0.020601204	-1.303080E+02	  0.020601204	2.216000E+00	  0.020601204	-2.311400E+01
2	  0.020801604	-6.370000E-01	  0.020801604	-1.318190E+02	  0.020801604	2.199000E+00	  0.020801604	-2.231900E+01
3	  0.021002004	-6.370000E-01	  0.021002004	-1.333550E+02	  0.021002004	2.174000E+00	  0.021002004	-2.152200E+01
4	  0.021202406	-6.400000E-01	  0.021202406	-1.348640E+02	  0.021202406	2.161000E+00	  0.021202406	-2.074600E+01
5	  0.021402806	-6.410000E-01	  0.021402806	-1.363830E+02	  0.021402806	2.139000E+00	  0.021402806	-1.997500E+01
6	  0.021603208	-6.420000E-01	  0.021603208	-1.379080E+02	  0.021603208	2.120000E+00	  0.021603208	-1.920800E+01
7	  0.021803608	-6.440000E-01	  0.021803608	-1.394210E+02	  0.021803608	2.107000E+00	  0.021803608	-1.845500E+01
8	  0.022004008	-6.500000E-01	  0.022004008	-1.409350E+02	  0.022004008	2.106000E+00	  0.022004008	-1.770900E+01
9	  0.022204408	-6.540000E-01	  0.022204408	-1.424850E+02	  0.022204408	2.099000E+00	  0.022204408	-1.695200E+01
10	  0.022404809	-6.630000E-01	  0.022404809	-1.440520E+02	  0.022404809	2.109000E+00	  0.022404809	-1.619400E+01
11	  0.022605211	-6.640000E-01	  0.022605211	-1.456360E+02	  0.022605211	2.093000E+00	  0.022605211	-1.543500E+01
12	  0.022805611	-6.660000E-01	  0.022805611	-1.472300E+02	  0.022805611	2.084000E+00	  0.022805611	-1.467700E+01
13	  0.023006011	-6.720000E-01	  0.023006011	-1.488240E+02	  0.023006011	2.083000E+00	  0.023006011	-1.392600E+01
14	  0.023206413	-6.750000E-01	  0.023206413	-1.504070E+02	  0.023206413	2.077000E+00	  0.023206413	-1.318500E+01
15	  0.023406813	-6.820000E-01	  0.023406813	-1.520020E+02	  0.023406813	2.084000E+00	  0.023406813	-1.244400E+01
16	  0.023607215	-6.900000E-01	  0.023607215	-1.536170E+02	  0.023607215	2.096000E+00	  0.023607215	-1.169900E+01
17	  0.023807615	-6.990000E-01	  0.023807615	-1.552500E+02	  0.023807615	2.108000E+00	  0.023807615	-1.095100E+01
