! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/255.ns.m3.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 02:22:09 PM	05/10/2018 02:13:17 PM
! INTERNAL TEMP:    	58.8 C	57.5 C
! # POINTS:         	492	492
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.396 793 MHz	118.396 793 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-125.32°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(17.319 ohm, -1.636 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.430000E-01	  0.020000000	-1.253220E+02	  0.020000000	2.345000E+00	  0.020000000	-2.580400E+01
2	  0.020200402	-6.470000E-01	  0.020200402	-1.267690E+02	  0.020200402	2.329000E+00	  0.020200402	-2.501100E+01
3	  0.020400802	-6.490000E-01	  0.020400802	-1.282170E+02	  0.020400802	2.308000E+00	  0.020400802	-2.422700E+01
4	  0.020601204	-6.530000E-01	  0.020601204	-1.296970E+02	  0.020601204	2.292000E+00	  0.020601204	-2.343500E+01
5	  0.020801604	-6.570000E-01	  0.020801604	-1.311950E+02	  0.020801604	2.279000E+00	  0.020801604	-2.264400E+01
6	  0.021002004	-6.580000E-01	  0.021002004	-1.327050E+02	  0.021002004	2.256000E+00	  0.021002004	-2.185600E+01
7	  0.021202406	-6.620000E-01	  0.021202406	-1.342250E+02	  0.021202406	2.243000E+00	  0.021202406	-2.107100E+01
8	  0.021402806	-6.640000E-01	  0.021402806	-1.357540E+02	  0.021402806	2.227000E+00	  0.021402806	-2.029100E+01
9	  0.021603208	-6.680000E-01	  0.021603208	-1.372570E+02	  0.021603208	2.216000E+00	  0.021603208	-1.953200E+01
10	  0.021803608	-6.720000E-01	  0.021803608	-1.387750E+02	  0.021803608	2.207000E+00	  0.021803608	-1.877300E+01
11	  0.022004008	-6.750000E-01	  0.022004008	-1.402960E+02	  0.022004008	2.195000E+00	  0.022004008	-1.802100E+01
12	  0.022204408	-6.820000E-01	  0.022204408	-1.418510E+02	  0.022204408	2.198000E+00	  0.022204408	-1.725900E+01
13	  0.022404809	-6.860000E-01	  0.022404809	-1.434250E+02	  0.022404809	2.190000E+00	  0.022404809	-1.649500E+01
14	  0.022605211	-6.850000E-01	  0.022605211	-1.450140E+02	  0.022605211	2.168000E+00	  0.022605211	-1.573100E+01
15	  0.022805611	-6.900000E-01	  0.022805611	-1.466030E+02	  0.022805611	2.163000E+00	  0.022805611	-1.497300E+01
16	  0.023006011	-6.950000E-01	  0.023006011	-1.481810E+02	  0.023006011	2.161000E+00	  0.023006011	-1.422600E+01
17	  0.023206413	-6.990000E-01	  0.023206413	-1.497580E+02	  0.023206413	2.160000E+00	  0.023206413	-1.348700E+01
18	  0.023406813	-7.040000E-01	  0.023406813	-1.513280E+02	  0.023406813	2.159000E+00	  0.023406813	-1.275500E+01
19	  0.023607215	-7.080000E-01	  0.023607215	-1.529290E+02	  0.023607215	2.154000E+00	  0.023607215	-1.201500E+01
20	  0.023807615	-7.150000E-01	  0.023807615	-1.545350E+02	  0.023807615	2.164000E+00	  0.023807615	-1.127700E+01
21	  0.024008015	-7.230000E-01	  0.024008015	-1.561630E+02	  0.024008015	2.173000E+00	  0.024008015	-1.053400E+01
22	  0.024208417	-7.290000E-01	  0.024208417	-1.578080E+02	  0.024208417	2.179000E+00	  0.024208417	-9.788000E+00
23	  0.024408817	-7.360000E-01	  0.024408817	-1.594510E+02	  0.024408817	2.189000E+00	  0.024408817	-9.046000E+00
