! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/256.ew.m1_1.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 10:11:07 AM	05/10/2018 10:05:08 AM
! INTERNAL TEMP:    	46.0 C	45.0 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.98°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.349 ohm, -1.322 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.160000E-01	  0.020000000	-1.269820E+02	  0.020000000	2.215000E+00	  0.020000000	-2.489900E+01
2	  0.020200402	-6.200000E-01	  0.020200402	-1.284440E+02	  0.020200402	2.200000E+00	  0.020200402	-2.410800E+01
3	  0.020400802	-6.240000E-01	  0.020400802	-1.299120E+02	  0.020400802	2.189000E+00	  0.020400802	-2.332500E+01
4	  0.020601204	-6.280000E-01	  0.020601204	-1.314050E+02	  0.020601204	2.174000E+00	  0.020601204	-2.253700E+01
5	  0.020801604	-6.320000E-01	  0.020801604	-1.329320E+02	  0.020801604	2.165000E+00	  0.020801604	-2.174100E+01
6	  0.021002004	-6.340000E-01	  0.021002004	-1.344680E+02	  0.021002004	2.146000E+00	  0.021002004	-2.095000E+01
7	  0.021202406	-6.400000E-01	  0.021202406	-1.360070E+02	  0.021202406	2.144000E+00	  0.021202406	-2.016500E+01
8	  0.021402806	-6.440000E-01	  0.021402806	-1.375390E+02	  0.021402806	2.132000E+00	  0.021402806	-1.939300E+01
9	  0.021603208	-6.460000E-01	  0.021603208	-1.390520E+02	  0.021603208	2.119000E+00	  0.021603208	-1.863800E+01
10	  0.021803608	-6.510000E-01	  0.021803608	-1.405840E+02	  0.021803608	2.115000E+00	  0.021803608	-1.788100E+01
11	  0.022004008	-6.590000E-01	  0.022004008	-1.421330E+02	  0.022004008	2.119000E+00	  0.022004008	-1.712300E+01
12	  0.022204408	-6.640000E-01	  0.022204408	-1.436950E+02	  0.022204408	2.115000E+00	  0.022204408	-1.636600E+01
13	  0.022404809	-6.720000E-01	  0.022404809	-1.453050E+02	  0.022404809	2.122000E+00	  0.022404809	-1.559200E+01
14	  0.022605211	-6.800000E-01	  0.022605211	-1.468920E+02	  0.022605211	2.129000E+00	  0.022605211	-1.483700E+01
15	  0.022805611	-6.850000E-01	  0.022805611	-1.484850E+02	  0.022805611	2.129000E+00	  0.022805611	-1.408400E+01
16	  0.023006011	-6.890000E-01	  0.023006011	-1.500820E+02	  0.023006011	2.124000E+00	  0.023006011	-1.333600E+01
17	  0.023206413	-6.940000E-01	  0.023206413	-1.516880E+02	  0.023206413	2.124000E+00	  0.023206413	-1.258900E+01
18	  0.023406813	-7.010000E-01	  0.023406813	-1.532790E+02	  0.023406813	2.131000E+00	  0.023406813	-1.185400E+01
19	  0.023607215	-7.090000E-01	  0.023607215	-1.548920E+02	  0.023607215	2.140000E+00	  0.023607215	-1.111400E+01
