! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/256.ew.m5.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 10:18:01 AM	05/10/2018 10:05:08 AM
! INTERNAL TEMP:    	46.8 C	45.0 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.94°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.397 ohm, -1.399 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.170000E-01	  0.020000000	-1.269350E+02	  0.020000000	2.219000E+00	  0.020000000	-2.492400E+01
2	  0.020200402	-6.220000E-01	  0.020200402	-1.283880E+02	  0.020200402	2.207000E+00	  0.020200402	-2.413800E+01
3	  0.020400802	-6.260000E-01	  0.020400802	-1.298450E+02	  0.020400802	2.196000E+00	  0.020400802	-2.336000E+01
4	  0.020601204	-6.310000E-01	  0.020601204	-1.313350E+02	  0.020601204	2.187000E+00	  0.020601204	-2.257300E+01
5	  0.020801604	-6.360000E-01	  0.020801604	-1.328670E+02	  0.020801604	2.179000E+00	  0.020801604	-2.177400E+01
6	  0.021002004	-6.370000E-01	  0.021002004	-1.343900E+02	  0.021002004	2.159000E+00	  0.021002004	-2.098900E+01
7	  0.021202406	-6.440000E-01	  0.021202406	-1.359250E+02	  0.021202406	2.157000E+00	  0.021202406	-2.020600E+01
8	  0.021402806	-6.470000E-01	  0.021402806	-1.374570E+02	  0.021402806	2.144000E+00	  0.021402806	-1.943300E+01
9	  0.021603208	-6.500000E-01	  0.021603208	-1.389670E+02	  0.021603208	2.131000E+00	  0.021603208	-1.868000E+01
10	  0.021803608	-6.550000E-01	  0.021803608	-1.404950E+02	  0.021803608	2.128000E+00	  0.021803608	-1.792500E+01
11	  0.022004008	-6.640000E-01	  0.022004008	-1.420410E+02	  0.022004008	2.138000E+00	  0.022004008	-1.716700E+01
12	  0.022204408	-6.710000E-01	  0.022204408	-1.436020E+02	  0.022204408	2.139000E+00	  0.022204408	-1.641000E+01
13	  0.022404809	-6.790000E-01	  0.022404809	-1.452110E+02	  0.022404809	2.146000E+00	  0.022404809	-1.563700E+01
14	  0.022605211	-6.860000E-01	  0.022605211	-1.468010E+02	  0.022605211	2.150000E+00	  0.022605211	-1.487900E+01
15	  0.022805611	-6.890000E-01	  0.022805611	-1.484070E+02	  0.022805611	2.141000E+00	  0.022805611	-1.412000E+01
16	  0.023006011	-6.950000E-01	  0.023006011	-1.500000E+02	  0.023006011	2.143000E+00	  0.023006011	-1.337400E+01
17	  0.023206413	-7.010000E-01	  0.023206413	-1.515990E+02	  0.023206413	2.145000E+00	  0.023206413	-1.263000E+01
18	  0.023406813	-7.080000E-01	  0.023406813	-1.531930E+02	  0.023406813	2.154000E+00	  0.023406813	-1.189300E+01
19	  0.023607215	-7.160000E-01	  0.023607215	-1.548110E+02	  0.023607215	2.162000E+00	  0.023607215	-1.115000E+01
20	  0.023807615	-7.270000E-01	  0.023807615	-1.564500E+02	  0.023807615	2.184000E+00	  0.023807615	-1.040300E+01
21	  0.024008015	-7.380000E-01	  0.024008015	-1.580910E+02	  0.024008015	2.202000E+00	  0.024008015	-9.659000E+00
22	  0.024208417	-7.460000E-01	  0.024208417	-1.597490E+02	  0.024208417	2.215000E+00	  0.024208417	-8.911000E+00
