! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may10/256.ns.m8.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/10/2018 11:16:44 AM	05/10/2018 11:07:23 AM
! INTERNAL TEMP:    	52.5 C	51.3 C
! # POINTS:         	494	494
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	118.797 594 MHz	118.797 594 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S22	Full S22
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S22	S22	S22	S22
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	"MK1 TR2:  20.000 MHz,PH:-126.86°"	--	--
!MK2	--	--	"MK2 TR3:  70.100 200 MHz,Z:(16.829 ohm, -1.506 ohm)"	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.060000E-01	  0.020000000	-1.268550E+02	  0.020000000	2.181000E+00	  0.020000000	-2.496900E+01
2	  0.020200402	-6.090000E-01	  0.020200402	-1.283100E+02	  0.020200402	2.165000E+00	  0.020200402	-2.418200E+01
3	  0.020400802	-6.160000E-01	  0.020400802	-1.298010E+02	  0.020400802	2.161000E+00	  0.020400802	-2.338400E+01
4	  0.020601204	-6.200000E-01	  0.020601204	-1.313100E+02	  0.020601204	2.148000E+00	  0.020601204	-2.258800E+01
5	  0.020801604	-6.230000E-01	  0.020801604	-1.328430E+02	  0.020801604	2.135000E+00	  0.020801604	-2.178800E+01
6	  0.021002004	-6.280000E-01	  0.021002004	-1.343930E+02	  0.021002004	2.126000E+00	  0.021002004	-2.098800E+01
7	  0.021202406	-6.320000E-01	  0.021202406	-1.359510E+02	  0.021202406	2.117000E+00	  0.021202406	-2.019400E+01
8	  0.021402806	-6.350000E-01	  0.021402806	-1.374950E+02	  0.021402806	2.102000E+00	  0.021402806	-1.941600E+01
9	  0.021603208	-6.390000E-01	  0.021603208	-1.390430E+02	  0.021603208	2.094000E+00	  0.021603208	-1.864400E+01
10	  0.021803608	-6.450000E-01	  0.021803608	-1.405840E+02	  0.021803608	2.094000E+00	  0.021803608	-1.788200E+01
11	  0.022004008	-6.510000E-01	  0.022004008	-1.421390E+02	  0.022004008	2.094000E+00	  0.022004008	-1.712100E+01
12	  0.022204408	-6.580000E-01	  0.022204408	-1.437180E+02	  0.022204408	2.096000E+00	  0.022204408	-1.635600E+01
13	  0.022404809	-6.630000E-01	  0.022404809	-1.453250E+02	  0.022404809	2.095000E+00	  0.022404809	-1.558300E+01
14	  0.022605211	-6.690000E-01	  0.022605211	-1.469310E+02	  0.022605211	2.096000E+00	  0.022605211	-1.481900E+01
15	  0.022805611	-6.800000E-01	  0.022805611	-1.485370E+02	  0.022805611	2.111000E+00	  0.022805611	-1.406000E+01
16	  0.023006011	-6.830000E-01	  0.023006011	-1.501390E+02	  0.023006011	2.107000E+00	  0.023006011	-1.331000E+01
17	  0.023206413	-6.870000E-01	  0.023206413	-1.517520E+02	  0.023206413	2.104000E+00	  0.023206413	-1.256000E+01
18	  0.023406813	-6.930000E-01	  0.023406813	-1.533600E+02	  0.023406813	2.106000E+00	  0.023406813	-1.181700E+01
19	  0.023607215	-7.030000E-01	  0.023607215	-1.549780E+02	  0.023607215	2.122000E+00	  0.023607215	-1.107500E+01
20	  0.023807615	-7.140000E-01	  0.023807615	-1.566110E+02	  0.023807615	2.143000E+00	  0.023807615	-1.033100E+01
21	  0.024008015	-7.240000E-01	  0.024008015	-1.582580E+02	  0.024008015	2.160000E+00	  0.024008015	-9.584000E+00
22	  0.024208417	-7.330000E-01	  0.024208417	-1.599310E+02	  0.024208417	2.177000E+00	  0.024208417	-8.830000E+00
23	  0.024408817	-7.400000E-01	  0.024408817	-1.616010E+02	  0.024408817	2.186000E+00	  0.024408817	-8.082000E+00
24	  0.024609219	-7.500000E-01	  0.024609219	-1.632780E+02	  0.024609219	2.205000E+00	  0.024609219	-7.334000E+00
25	  0.024809619	-7.620000E-01	  0.024809619	-1.649430E+02	  0.024809619	2.231000E+00	  0.024809619	-6.594000E+00
26	  0.025010020	-7.730000E-01	  0.025010020	-1.666270E+02	  0.025010020	2.256000E+00	  0.025010020	-5.849000E+00
27	  0.025210422	-7.870000E-01	  0.025210422	-1.683140E+02	  0.025210422	2.289000E+00	  0.025210422	-5.106000E+00
28	  0.025410822	-7.990000E-01	  0.025410822	-1.700120E+02	  0.025410822	2.317000E+00	  0.025410822	-4.359000E+00
29	  0.025611224	-8.140000E-01	  0.025611224	-1.717350E+02	  0.025611224	2.353000E+00	  0.025611224	-3.604000E+00
30	  0.025811624	-8.280000E-01	  0.025811624	-1.734610E+02	  0.025811624	2.391000E+00	  0.025811624	-2.849000E+00
31	  0.026012026	-8.410000E-01	  0.026012026	-1.752010E+02	  0.026012026	2.425000E+00	  0.026012026	-2.089000E+00
32	  0.026212426	-8.560000E-01	  0.026212426	-1.769540E+02	  0.026212426	2.463000E+00	  0.026212426	-1.325000E+00
33	  0.026412826	-8.720000E-01	  0.026412826	-1.787190E+02	  0.026412826	2.509000E+00	  0.026412826	-5.570000E-01
34	  0.026613226	-8.890000E-01	  0.026613226	1.795160E+02	  0.026613226	2.557000E+00	  0.026613226	2.100000E-01
