! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/2a.m2.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 07:49:36 PM	05/26/2018 07:26:54 PM
! INTERNAL TEMP:    	45.3 C	45.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-6.190000E-01	  0.020000000	-1.255860E+02	  0.020000000	2.251000E+00	  0.020000000	-2.566200E+01
2	  0.020200402	-6.150000E-01	  0.020200402	-1.270740E+02	  0.020200402	2.209000E+00	  0.020200402	-2.484900E+01
3	  0.020400802	-6.140000E-01	  0.020400802	-1.285320E+02	  0.020400802	2.177000E+00	  0.020400802	-2.406200E+01
4	  0.020601204	-6.130000E-01	  0.020601204	-1.299860E+02	  0.020601204	2.148000E+00	  0.020601204	-2.328700E+01
5	  0.020801604	-6.160000E-01	  0.020801604	-1.314690E+02	  0.020801604	2.134000E+00	  0.020801604	-2.250500E+01
6	  0.021002004	-6.210000E-01	  0.021002004	-1.329780E+02	  0.021002004	2.126000E+00	  0.021002004	-2.171800E+01
7	  0.021202406	-6.290000E-01	  0.021202406	-1.345020E+02	  0.021202406	2.127000E+00	  0.021202406	-2.093300E+01
8	  0.021402806	-6.320000E-01	  0.021402806	-1.360200E+02	  0.021402806	2.116000E+00	  0.021402806	-2.015900E+01
9	  0.021603208	-6.360000E-01	  0.021603208	-1.375480E+02	  0.021603208	2.107000E+00	  0.021603208	-1.938900E+01
10	  0.021803608	-6.400000E-01	  0.021803608	-1.390630E+02	  0.021803608	2.098000E+00	  0.021803608	-1.863300E+01
11	  0.022004008	-6.460000E-01	  0.022004008	-1.406140E+02	  0.022004008	2.098000E+00	  0.022004008	-1.786700E+01
12	  0.022204408	-6.490000E-01	  0.022204408	-1.421830E+02	  0.022204408	2.088000E+00	  0.022204408	-1.709900E+01
13	  0.022404809	-6.520000E-01	  0.022404809	-1.437540E+02	  0.022404809	2.078000E+00	  0.022404809	-1.633900E+01
14	  0.022605211	-6.520000E-01	  0.022605211	-1.453260E+02	  0.022605211	2.059000E+00	  0.022605211	-1.558400E+01
15	  0.022805611	-6.540000E-01	  0.022805611	-1.468770E+02	  0.022805611	2.048000E+00	  0.022805611	-1.484500E+01
