! Anritsu VNA Master:             	Model: MS2036C/10/77
! SN:             	1601066
! /bd0/18may26.balun/2a.r20.txt
! Existing Calibration Information:
! TYPE:             	Current Settings	Active Cal Settings
! TIME:             	05/26/2018 07:43:39 PM	05/26/2018 07:26:54 PM
! INTERNAL TEMP:    	45.0 C	45.5 C
! # POINTS:         	500	500
! START FREQ:       	20.000 MHz	20.000 MHz
! STOP FREQ:        	120.000 MHz	120.000 MHz
! SOURCE POWER:     	High	High
! IFBW:             	50 Hz	50 Hz
! AVG FACTOR:       	  1 	  1 
! REF PLANE 1:      	0 mm	0 mm
! REF PLANE 2:      	0 mm	0 mm
! CAL TYPE:         	Full S11	Full S11
! CAL METHOD:       	SOLT	SOLT
! CAL LINE TYPE:    	Coax	Coax
! DUT PORT 1:       	K-Conn(M)	K-Conn(M)
! DUT PORT 2:       	K-Conn(M)	K-Conn(M)
! CAL STATUS:       	OK: Accuracy High	--
! PROP-V:       	0.700
! CABLE LOSS:       	0.000 dB/m
! REF IMPEDANCE:       	50.0
! Trace Specific Parameters:	TR1	TR2	TR3	TR4
! TRACE.#.Y (GRAPH TYPE)	LOG MAG	PHASE	REAL IMPEDANCE	IMAGINARY IMPEDANCE
! TRACE.#.X 	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ	FREQ.GHZ
! S-PARAMETER	S11	S11	S11	S11
! SMOOTH/APERTURE %	0	0	0	0
! WINDOW	NSL	NSL	NSL	NSL
! GATING	OFF	OFF	OFF	OFF
! FGTD	OFF	OFF	OFF	OFF
Marker Information per Trace:	TR1	TR2	TR3	TR4
!MK1	--	--	--	--
!MK2	--	--	--	--
!MK3	--	--	--	--
!MK4	--	--	--	--
!MK5	--	--	--	--
!MK6	--	--	--	--
!MK7	--	--	--	--
!MK8	--	--	--	--
PNT	TR1.FREQ.GHZ	TR1.LOG MAG.dB	TR2.FREQ.GHZ	TR2.PHASE.deg	TR3.FREQ.GHZ	TR3.REAL IMPEDANCE.ohm	TR4.FREQ.GHZ	TR4.IMAGINARY IMPEDANCE.ohm
1	  0.020000000	-7.274000E+00	  0.020000000	1.544960E+02	  0.020000000	2.064100E+01	  0.020000000	9.466000E+00
2	  0.020200402	-7.274000E+00	  0.020200402	1.542600E+02	  0.020200402	2.065800E+01	  0.020200402	9.555000E+00
3	  0.020400802	-7.272000E+00	  0.020400802	1.540270E+02	  0.020400802	2.066800E+01	  0.020400802	9.644000E+00
4	  0.020601204	-7.272000E+00	  0.020601204	1.537650E+02	  0.020601204	2.068600E+01	  0.020601204	9.743000E+00
5	  0.020801604	-7.269000E+00	  0.020801604	1.535260E+02	  0.020801604	2.069500E+01	  0.020801604	9.835000E+00
6	  0.021002004	-7.268000E+00	  0.021002004	1.532890E+02	  0.021002004	2.071000E+01	  0.021002004	9.925000E+00
7	  0.021202406	-7.266000E+00	  0.021202406	1.530390E+02	  0.021202406	2.072300E+01	  0.021202406	1.002100E+01
8	  0.021402806	-7.269000E+00	  0.021402806	1.528160E+02	  0.021402806	2.074700E+01	  0.021402806	1.010400E+01
9	  0.021603208	-7.274000E+00	  0.021603208	1.525920E+02	  0.021603208	2.077600E+01	  0.021603208	1.018600E+01
10	  0.021803608	-7.277000E+00	  0.021803608	1.523390E+02	  0.021803608	2.080400E+01	  0.021803608	1.028000E+01
11	  0.022004008	-7.283000E+00	  0.022004008	1.520810E+02	  0.022004008	2.083700E+01	  0.022004008	1.037500E+01
12	  0.022204408	-7.284000E+00	  0.022204408	1.518690E+02	  0.022204408	2.085500E+01	  0.022204408	1.045500E+01
13	  0.022404809	-7.287000E+00	  0.022404809	1.516190E+02	  0.022404809	2.088200E+01	  0.022404809	1.054900E+01
14	  0.022605211	-7.288000E+00	  0.022605211	1.513510E+02	  0.022605211	2.090700E+01	  0.022605211	1.065000E+01
15	  0.022805611	-7.291000E+00	  0.022805611	1.511220E+02	  0.022805611	2.093000E+01	  0.022805611	1.073600E+01
16	  0.023006011	-7.295000E+00	  0.023006011	1.508480E+02	  0.023006011	2.096200E+01	  0.023006011	1.083800E+01
17	  0.023206413	-7.292000E+00	  0.023206413	1.505610E+02	  0.023206413	2.097800E+01	  0.023206413	1.094800E+01
18	  0.023406813	-7.294000E+00	  0.023406813	1.503010E+02	  0.023406813	2.100400E+01	  0.023406813	1.104600E+01
19	  0.023607215	-7.287000E+00	  0.023607215	1.500110E+02	  0.023607215	2.101100E+01	  0.023607215	1.116000E+01
20	  0.023807615	-7.290000E+00	  0.023807615	1.497380E+02	  0.023807615	2.104100E+01	  0.023807615	1.126200E+01
21	  0.024008015	-7.290000E+00	  0.024008015	1.494900E+02	  0.024008015	2.106200E+01	  0.024008015	1.135700E+01
22	  0.024208417	-7.290000E+00	  0.024208417	1.492470E+02	  0.024208417	2.108200E+01	  0.024208417	1.144900E+01
23	  0.024408817	-7.290000E+00	  0.024408817	1.490100E+02	  0.024408817	2.110100E+01	  0.024408817	1.154000E+01
24	  0.024609219	-7.292000E+00	  0.024609219	1.487780E+02	  0.024609219	2.112500E+01	  0.024609219	1.162800E+01
25	  0.024809619	-7.293000E+00	  0.024809619	1.485630E+02	  0.024809619	2.114700E+01	  0.024809619	1.170900E+01
26	  0.025010020	-7.290000E+00	  0.025010020	1.483010E+02	  0.025010020	2.116200E+01	  0.025010020	1.181200E+01
27	  0.025210422	-7.296000E+00	  0.025210422	1.480430E+02	  0.025210422	2.119900E+01	  0.025210422	1.190700E+01
28	  0.025410822	-7.299000E+00	  0.025410822	1.477910E+02	  0.025410822	2.123000E+01	  0.025410822	1.200100E+01
29	  0.025611224	-7.298000E+00	  0.025611224	1.475430E+02	  0.025611224	2.124900E+01	  0.025611224	1.209700E+01
30	  0.025811624	-7.293000E+00	  0.025811624	1.472570E+02	  0.025811624	2.126400E+01	  0.025811624	1.220900E+01
